dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.9100264879638494,0.9148191584644558,0.9052783406695891,0.06514476614699331,0.272271714922049,0.3741648106904232,global_target_local_source,源均值／源白化,fc3
genvideo,0.8792973069206541,0.8621970673959855,0.878782849233691,0.10243364727366702,0.22161815476427033,0.5258694027055721,global_target_local_source,源均值／源白化,fc3
videofeedback,0.8321407824619679,0.845340133309342,0.8024177819780219,0.04548470354917127,0.09736416192339627,0.5420755951363827,global_target_local_source,源均值／源白化,fc3
Average,0.8594162892267778,0.8587108894474578,0.844564381540623,0.0719546845248496,0.1665969895062678,0.5204284867363816,global_target_local_source,源均值／源白化,fc3
Macro-3,0.8738215257821572,0.8741187863899277,0.8621596572937674,0.07102103898994387,0.19708467720323852,0.4807032695107927,global_target_local_source,源均值／源白化,fc3
comgenvid,0.9100246278540285,0.9148175897896491,0.9052764945790832,0.06514476614699331,0.272271714922049,0.3741648106904232,local_d2_target_mean_source_whitening,目标均值／源白化,fc3
genvideo,0.8793013994571954,0.8622075186476124,0.8787830976151042,0.10243364727366702,0.22161815476427033,0.5258694027055721,local_d2_target_mean_source_whitening,目标均值／源白化,fc3
videofeedback,0.8321513119773253,0.8453515141514452,0.8024302377098507,0.04548470354917127,0.09736416192339627,0.5420755951363827,local_d2_target_mean_source_whitening,目标均值／源白化,fc3
Average,0.859422942696982,0.85872074007484,0.844570286092068,0.0719546845248496,0.1665969895062678,0.5204284867363816,local_d2_target_mean_source_whitening,目标均值／源白化,fc3
Macro-3,0.8738257797628498,0.8741255408629023,0.8621632766346794,0.07102103898994387,0.19708467720323852,0.4807032695107927,local_d2_target_mean_source_whitening,目标均值／源白化,fc3
comgenvid,0.9167408643806331,0.9215961595435656,0.9138737736960794,0.07126948775055679,0.30734966592427615,0.35523385300668153,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
genvideo,0.8820459182083079,0.87099005226979,0.8815499719407273,0.12165490329805839,0.2711870458794304,0.486366283116884,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
videofeedback,0.8246916925036902,0.8386620444892615,0.795333860854505,0.03806670205438813,0.06255110062260831,0.5464501755324404,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
Average,0.8576325881906495,0.8599293622246482,0.8431269450521298,0.07729659700347682,0.17454921293441514,0.5036992377408283,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
Macro-3,0.8744928250308771,0.8770827521008724,0.8635858688304371,0.07699703103433443,0.21369593747543827,0.4626834372186686,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,full,目标均值／目标完整白化,fc3
genvideo,0.8819817822756818,0.8709639520946786,0.881437983059014,0.11808347472662983,0.2676156173080018,0.4864377116883126,full,目标均值／目标完整白化,fc3
videofeedback,0.8246856150463554,0.8386588091373463,0.7953522482724721,0.03806670205438813,0.06255110062260831,0.5464501755324404,full,目标均值／目标完整白化,fc3
Average,0.8576024433872419,0.8599169316374855,0.8430885022361906,0.07574380197242092,0.17299641790335923,0.5037302936414493,full,目标均值／目标完整白化,fc3
Macro-3,0.8744719007139845,0.8770747547781038,0.8635602420846706,0.07580655484385825,0.2125054612849621,0.46270724674247815,full,目标均值／目标完整白化,fc3
comgenvid,0.9288489392413728,0.9328914731127596,0.927854909565142,0.11748329621380846,0.37806236080178174,0.29955456570155903,local_d2_target_diagonal,目标对角白化,fc3
genvideo,0.8879163946804329,0.8790062257789144,0.8847801312108858,0.10822953035399421,0.25900975643703794,0.4631623691390299,local_d2_target_diagonal,目标对角白化,fc3
videofeedback,0.7600049184548708,0.7789778163010596,0.7343640181739837,0.08827632607790908,0.10640569135283755,0.6311735130762085,local_d2_target_diagonal,目标对角白化,fc3
Average,0.830300692534376,0.8358522253620138,0.8165876230936072,0.09949136881845909,0.19637760395022416,0.5292887594187701,local_d2_target_diagonal,目标对角白化,fc3
Macro-3,0.8589234174588922,0.8636251717309111,0.8489996863166706,0.10466305088190392,0.24782593619721904,0.4646301493055991,local_d2_target_diagonal,目标对角白化,fc3
