dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,Sora,898,898,0.8943866845898583,0.8976333894931593,0.890596099519847,0.053452115812917596,0.24164810690423164,0.43318485523385303,global_target_local_source,源均值／源白化,fc3
comgenvid,VEO3,898,898,0.9256662913378406,0.9320049274357524,0.9199605818193313,0.07683741648106904,0.3028953229398664,0.3151447661469933,global_target_local_source,源均值／源白化,fc3
genvideo,Crafter,188,188,0.870246717971933,0.8262041720206975,0.89110494713046,0.20212765957446807,0.21808510638297873,0.7074468085106383,global_target_local_source,源均值／源白化,fc3
genvideo,Gen2,1380,1380,0.9502194917034237,0.9571102524131546,0.9397226287084932,0.034057971014492754,0.3144927536231884,0.21159420289855072,global_target_local_source,源均值／源白化,fc3
genvideo,HotShot,700,700,0.8239204081632653,0.8046301299163625,0.8117563785414291,0.0014285714285714286,0.09571428571428571,0.7014285714285714,global_target_local_source,源均值／源白化,fc3
genvideo,Lavie,1400,1400,0.9011012755102041,0.8850637199151974,0.9002500634324555,0.027857142857142858,0.25214285714285717,0.4764285714285714,global_target_local_source,源均值／源白化,fc3
genvideo,ModelScope,700,700,0.8764591836734694,0.8762041906383253,0.8747762542212539,0.11,0.22857142857142856,0.5171428571428571,global_target_local_source,源均值／源白化,fc3
genvideo,MoonValley,626,626,0.880335871551205,0.9017211820753714,0.8383963200075676,0.001597444089456869,0.05750798722044728,0.3498402555910543,global_target_local_source,源均值／源白化,fc3
genvideo,MorphStudio,700,700,0.8817591836734693,0.8683426010929751,0.8827575669869869,0.09857142857142857,0.25142857142857145,0.5542857142857143,global_target_local_source,源均值／源白化,fc3
genvideo,Show_1,700,700,0.8803734693877553,0.8501629466797422,0.8878649123315074,0.11,0.25857142857142856,0.6128571428571429,global_target_local_source,源均值／源白化,fc3
genvideo,Sora,56,56,0.9298469387755103,0.9327018622579695,0.933236436894703,0.35714285714285715,0.35714285714285715,0.25,global_target_local_source,源均值／源白化,fc3
genvideo,WildScrape,515,515,0.7987105287963051,0.719829616950059,0.8279629840820535,0.08155339805825243,0.1825242718446602,0.8776699029126214,global_target_local_source,源均值／源白化,fc3
videofeedback,AnimateDiff,218,218,0.8385026512919789,0.8524722233933125,0.8019963991295432,0.027522935779816515,0.06880733944954129,0.6009174311926605,global_target_local_source,源均值／源白化,fc3
videofeedback,Fast-SVD,290,290,0.9063971462544589,0.9158888177303068,0.8939178018983867,0.09310344827586207,0.18275862068965518,0.3689655172413793,global_target_local_source,源均值／源白化,fc3
videofeedback,Hotshot-XL,500,500,0.7895639999999999,0.7989246566855629,0.7584319676759579,0.008,0.07,0.64,global_target_local_source,源均值／源白化,fc3
videofeedback,LVDM,276,276,0.8896109010712036,0.9073580330320898,0.8563690764914412,0.018115942028985508,0.06521739130434782,0.35507246376811596,global_target_local_source,源均值／源白化,fc3
videofeedback,LaVie-base,258,258,0.8092737816237006,0.8222588714701626,0.7776836594313108,0.031007751937984496,0.06976744186046512,0.6589147286821705,global_target_local_source,源均值／源白化,fc3
videofeedback,ModelScope,246,246,0.8125371802498512,0.8222244684670206,0.7787813875928347,0.02032520325203252,0.052845528455284556,0.5975609756097561,global_target_local_source,源均值／源白化,fc3
videofeedback,Pika,132,132,0.8679407713498623,0.8963071277032997,0.8322936433782212,0.09090909090909091,0.13636363636363635,0.4090909090909091,global_target_local_source,源均值／源白化,fc3
videofeedback,SoRA-Clip,290,290,0.7916944114149821,0.8067818177998067,0.7791937317299222,0.06206896551724138,0.12413793103448276,0.6344827586206897,global_target_local_source,源均值／源白化,fc3
videofeedback,Text2Video-Zero,296,296,0.7468498904309714,0.7445871499565471,0.7153100751460042,0.02702702702702703,0.0472972972972973,0.7837837837837838,global_target_local_source,源均值／源白化,fc3
