dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.8550469119696826,0.8606202676490113,0.843194652406408,0.02282850779510022,0.16258351893095768,0.5183741648106904,official_single_window,原版STALL单窗,official
genvideo,0.7983615671147309,0.7969787883843104,0.7767184448519477,0.01795886535781112,0.06771908649765238,0.6620130480694549,official_single_window,原版STALL单窗,official
videofeedback,0.8434754668747874,0.8556115762643384,0.8252863510104702,0.05707055477823384,0.12622648186401345,0.5161326009908619,official_single_window,原版STALL单窗,official
Average,0.8248669404656231,0.8305545981760368,0.8057271136716289,0.03708790311864712,0.10394996536272118,0.5797538009224091,official_single_window,原版STALL单窗,official
Macro-3,0.832294648653067,0.8377368774325534,0.8150664827562754,0.032619309310381726,0.11884302909754117,0.5655066046236691,official_single_window,原版STALL单窗,official
comgenvid,0.8630143823691351,0.8722946341554991,0.8518902105072572,0.07516703786191536,0.16425389755011136,0.48106904231625836,official_global,官方Global＋FC3,fc3
genvideo,0.8252359260024704,0.8132007917919954,0.8173863669108844,0.03988155598817982,0.14831803470702515,0.6478579956638255,official_global,官方Global＋FC3,fc3
videofeedback,0.8423178255986791,0.8540991463225829,0.8234202704974446,0.0580250362152013,0.14610277746968395,0.5211423088559897,official_global,官方Global＋FC3,fc3
Average,0.8366906133194975,0.8378994693817114,0.8232724811128369,0.05162717539012363,0.14864429105813032,0.5727514538559415,official_global,官方Global＋FC3,fc3
Macro-3,0.8435227113234283,0.8465315240900259,0.8308989493051954,0.0576912100217655,0.15289156990894015,0.5500231156120245,official_global,官方Global＋FC3,fc3
comgenvid,0.8998089047177346,0.9087608146956674,0.8932569341924141,0.055122494432071276,0.2706013363028953,0.3986636971046771,global_only,目标Global＋FC3,fc3
genvideo,0.8725738938762412,0.862924166359822,0.8660426225912395,0.06907335028491111,0.18405359627647425,0.5186790462433154,global_only,目标Global＋FC3,fc3
videofeedback,0.8227058908500208,0.8435255078106337,0.7882444991318679,0.052008087036576445,0.0972172025362568,0.5290856247360024,global_only,目标Global＋FC3,fc3
Average,0.8510922411977438,0.8576323425611533,0.8312012862933812,0.059698584744156284,0.15004903753345034,0.5132199882060233,global_only,目标Global＋FC3,fc3
Macro-3,0.8650295631479988,0.871736829622041,0.8491813519718406,0.05873464391785294,0.18395737837187542,0.48214278936133165,global_only,目标Global＋FC3,fc3
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,full,完整主线,fc3
genvideo,0.8819817822756818,0.8709639520946786,0.881437983059014,0.11808347472662983,0.2676156173080018,0.4864377116883126,full,完整主线,fc3
videofeedback,0.8246856150463554,0.8386588091373463,0.7953522482724721,0.03806670205438813,0.06255110062260831,0.5464501755324404,full,完整主线,fc3
Average,0.8576024433872419,0.8599169316374855,0.8430885022361906,0.07574380197242092,0.17299641790335923,0.5037302936414493,full,完整主线,fc3
Macro-3,0.8744719007139845,0.8770747547781038,0.8635602420846706,0.07580655484385825,0.2125054612849621,0.46270724674247815,full,完整主线,fc3
