dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.91554884400375,0.9208685464247468,0.9105559288889749,0.021714922048997776,0.32293986636971045,0.3446547884187082,full,Uniform K1,uniform1
genvideo,0.8652989029916182,0.8592144074371133,0.8568126181026194,0.02367660906954188,0.16523864832797738,0.5192973941025427,full,Uniform K1,uniform1
videofeedback,0.8230042795903715,0.8393244741498223,0.7911495750708933,0.03117018646627714,0.06790135641380783,0.5238536097330072,full,Uniform K1,uniform1
Average,0.8494405997138159,0.8550630601247249,0.8300818854166944,0.02708991243141143,0.1323991798509166,0.5062901402141705,full,Uniform K1,uniform1
Macro-3,0.8679506755285799,0.8731358093372275,0.8528393740208292,0.025520572528272265,0.1853599570371652,0.46260193075141937,full,Uniform K1,uniform1
comgenvid,0.9136009990029812,0.9184668974623187,0.9099453814647116,0.09521158129175947,0.2962138084632517,0.37750556792873047,full,Feature-change K1,fc1
genvideo,0.8799293711684457,0.8694979807187286,0.8800251417669293,0.11486014167984133,0.2563641643759852,0.49383605071191317,full,Feature-change K1,fc1
videofeedback,0.8204231903629414,0.8327123020277206,0.7942935539596602,0.03913063289888324,0.08979963304215523,0.5511216298175255,full,Feature-change K1,fc1
Average,0.8543978610296861,0.8561629967137759,0.8416248380067382,0.07693311048998469,0.18016805322391577,0.511117807433451,full,Feature-change K1,fc1
Macro-3,0.8713178535114561,0.8735590600695894,0.861421359063767,0.08306745195682802,0.21412586862713068,0.4741544161527231,full,Feature-change K1,fc1
comgenvid,0.9199483137484437,0.9254336134706163,0.9159220610427035,0.044543429844097995,0.33351893095768376,0.34242761692650336,full,Uniform K3,uniform3
genvideo,0.8658344025950399,0.8527046714703495,0.8664170604134093,0.11430011032242711,0.23875734110187255,0.5297428282671554,full,Uniform K3,uniform3
videofeedback,0.8212190234238034,0.8356119943165813,0.791376815387925,0.038571343077950064,0.060891186062203624,0.5538934667090026,full,Uniform K3,uniform3
Average,0.849202170048223,0.850854168657701,0.834833030238551,0.07201620594651818,0.1619310573747101,0.5250048543618953,full,Uniform K3,uniform3
Macro-3,0.869000579922429,0.871250093085849,0.8579053122813459,0.06580496108149173,0.21105581937392,0.4753546373008872,full,Uniform K3,uniform3
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,full,Feature-change K3,fc3
genvideo,0.8819817822756818,0.8709639520946786,0.881437983059014,0.11808347472662983,0.2676156173080018,0.4864377116883126,full,Feature-change K3,fc3
videofeedback,0.8246856150463554,0.8386588091373463,0.7953522482724721,0.03806670205438813,0.06255110062260831,0.5464501755324404,full,Feature-change K3,fc3
Average,0.8576024433872419,0.8599169316374855,0.8430885022361906,0.07574380197242092,0.17299641790335923,0.5037302936414493,full,Feature-change K3,fc3
Macro-3,0.8744719007139845,0.8770747547781038,0.8635602420846706,0.07580655484385825,0.2125054612849621,0.46270724674247815,full,Feature-change K3,fc3
