dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,Sora,898,898,0.9040592556584541,0.9088656443785159,0.9004647386422144,0.0200445434298441,0.30734966592427615,0.39198218262806234,full,Uniform K1,uniform1
comgenvid,VEO3,898,898,0.9270384323490459,0.9328714484709776,0.9206471191357352,0.02338530066815145,0.33853006681514475,0.2973273942093541,full,Uniform K1,uniform1
genvideo,Crafter,188,188,0.8707559981892259,0.8576926137851282,0.8623710172536925,0.0,0.15425531914893617,0.5319148936170213,full,Uniform K1,uniform1
genvideo,Gen2,1380,1380,0.9357023209409787,0.9450346308845413,0.9230934876192719,0.06811594202898551,0.2463768115942029,0.2427536231884058,full,Uniform K1,uniform1
genvideo,HotShot,700,700,0.8238714285714286,0.8197320745801588,0.8130219374305849,0.0014285714285714286,0.11428571428571428,0.6385714285714286,full,Uniform K1,uniform1
genvideo,Lavie,1400,1400,0.865404081632653,0.8660226095365946,0.8583048916916179,0.055,0.20142857142857143,0.48214285714285715,full,Uniform K1,uniform1
genvideo,ModelScope,700,700,0.862876530612245,0.8632456342159267,0.8579893313175768,0.011428571428571429,0.20285714285714285,0.5328571428571428,full,Uniform K1,uniform1
genvideo,MoonValley,626,626,0.8819856281068501,0.9018258215056967,0.8444646274945821,0.001597444089456869,0.08626198083067092,0.3801916932907348,full,Uniform K1,uniform1
genvideo,MorphStudio,700,700,0.8570795918367347,0.8584498663203564,0.8512032276549734,0.01,0.19428571428571428,0.53,full,Uniform K1,uniform1
genvideo,Show_1,700,700,0.8526724489795918,0.8392672777958716,0.8518739326406883,0.01,0.19285714285714287,0.6142857142857143,full,Uniform K1,uniform1
genvideo,Sora,56,56,0.9161352040816326,0.9301061837342276,0.8912173604190916,0.07142857142857142,0.07142857142857142,0.3392857142857143,full,Uniform K1,uniform1
genvideo,WildScrape,515,515,0.7865057969648411,0.7107673620126311,0.8145863675041156,0.007766990291262136,0.1883495145631068,0.9009708737864077,full,Uniform K1,uniform1
videofeedback,AnimateDiff,218,218,0.8281184243750526,0.8504161840443447,0.78296800943141,0.013761467889908258,0.04128440366972477,0.5779816513761468,full,Uniform K1,uniform1
videofeedback,Fast-SVD,290,290,0.8949405469678953,0.9123276479498715,0.8651679907014891,0.034482758620689655,0.07241379310344828,0.32413793103448274,full,Uniform K1,uniform1
videofeedback,Hotshot-XL,500,500,0.779772,0.8020084960004762,0.7341337027107138,0.008,0.03,0.632,full,Uniform K1,uniform1
videofeedback,LVDM,276,276,0.8881471854652385,0.9013549489806862,0.856261397000942,0.010869565217391304,0.050724637681159424,0.358695652173913,full,Uniform K1,uniform1
videofeedback,LaVie-base,258,258,0.8038203833904212,0.8226425336466514,0.7692685478927825,0.011627906976744186,0.04263565891472868,0.5852713178294574,full,Uniform K1,uniform1
videofeedback,ModelScope,246,246,0.8023332672351113,0.8082265142555526,0.7778660501038673,0.028455284552845527,0.052845528455284556,0.6178861788617886,full,Uniform K1,uniform1
videofeedback,Pika,132,132,0.8803087695133148,0.9002893696905145,0.8621509719494229,0.08333333333333333,0.14393939393939395,0.4090909090909091,full,Uniform K1,uniform1
videofeedback,SoRA-Clip,290,290,0.7480856123662307,0.7441447503024639,0.7408547629185809,0.05517241379310345,0.08620689655172414,0.7689655172413793,full,Uniform K1,uniform1
videofeedback,Text2Video-Zero,296,296,0.7086433984660336,0.7322937572759569,0.6711538793889232,0.02027027027027027,0.02702702702702703,0.7364864864864865,full,Uniform K1,uniform1
videofeedback,VideoCrafter2,232,232,0.9028593192627825,0.9155348713246961,0.8841526589403201,0.07327586206896551,0.1853448275862069,0.28448275862068967,full,Uniform K1,uniform1
videofeedback,ZeroScope-576w,276,276,0.8160181684520058,0.8433301421768304,0.7586673547413747,0.0036231884057971015,0.014492753623188406,0.4673913043478261,full,Uniform K1,uniform1
comgenvid,Sora,898,898,0.9016876156368271,0.9054141854209637,0.8991279514030363,0.07683741648106904,0.27728285077951004,0.40757238307349664,full,Feature-change K1,fc1
comgenvid,VEO3,898,898,0.9255143823691352,0.9315196095036736,0.9207628115263868,0.11358574610244988,0.3151447661469933,0.34743875278396436,full,Feature-change K1,fc1
