dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.8675198783736192,0.8722070219355624,0.849658788659964,0.07126948775055679,0.10579064587973275,0.4832962138084632,global_source_local_source,Global源／Local源,fc3
genvideo,0.841130488780208,0.8234747584375717,0.8340459150913494,0.07339261732193483,0.16884050825019922,0.6118317602771869,global_source_local_source,Global源／Local源,fc3
videofeedback,0.8275649661151964,0.8356334492459699,0.8095139578007284,0.047354816716211244,0.16209168721687514,0.5776347130935467,global_source_local_source,Global源／Local源,fc3
Average,0.8369373596441949,0.8335273726066308,0.8236708810452799,0.060755136199947206,0.160130214506395,0.5842996467138178,global_source_local_source,Global源／Local源,fc3
Macro-3,0.8454051110896746,0.8437717432063679,0.831072887184014,0.06400564059623429,0.14557428044893572,0.5575875623930656,global_source_local_source,Global源／Local源,fc3
comgenvid,0.9090090078918259,0.913862929627811,0.9060223804804246,0.07683741648106904,0.31013363028953234,0.38028953229398665,global_source_local_target,Global源／Local目标,fc3
genvideo,0.8698615091279864,0.8543042686274669,0.8721768970830658,0.11306268574627609,0.28755120340503865,0.5365291058004665,global_source_local_target,Global源／Local目标,fc3
videofeedback,0.8249677856585873,0.8353578061913342,0.8078195417308582,0.04328346899847101,0.1304377733911929,0.5641149837288388,global_source_local_target,Global源／Local目标,fc3
Average,0.8517947282307816,0.8504219310276071,0.8443403778622153,0.07653999345252523,0.21437368704054666,0.5361363018960811,global_source_local_target,Global源／Local目标,fc3
Macro-3,0.8679461008927998,0.8678416681488708,0.8620062730981162,0.07772785707527205,0.24270753569525463,0.493644540607764,global_source_local_target,Global源／Local目标,fc3
comgenvid,0.9100264879638494,0.9148191584644558,0.9052783406695891,0.06514476614699331,0.272271714922049,0.3741648106904232,global_target_local_source,Global目标／Local源,fc3
genvideo,0.8792973069206541,0.8621970673959855,0.878782849233691,0.10243364727366702,0.22161815476427033,0.5258694027055721,global_target_local_source,Global目标／Local源,fc3
videofeedback,0.8321407824619679,0.845340133309342,0.8024177819780219,0.04548470354917127,0.09736416192339627,0.5420755951363827,global_target_local_source,Global目标／Local源,fc3
Average,0.8594162892267778,0.8587108894474578,0.844564381540623,0.0719546845248496,0.1665969895062678,0.5204284867363816,global_target_local_source,Global目标／Local源,fc3
Macro-3,0.8738215257821572,0.8741187863899277,0.8621596572937674,0.07102103898994387,0.19708467720323852,0.4807032695107927,global_target_local_source,Global目标／Local源,fc3
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,full,Global目标／Local目标,fc3
genvideo,0.8819817822756818,0.8709639520946786,0.881437983059014,0.11808347472662983,0.2676156173080018,0.4864377116883126,full,Global目标／Local目标,fc3
videofeedback,0.8246856150463554,0.8386588091373463,0.7953522482724721,0.03806670205438813,0.06255110062260831,0.5464501755324404,full,Global目标／Local目标,fc3
Average,0.8576024433872419,0.8599169316374855,0.8430885022361906,0.07574380197242092,0.17299641790335923,0.5037302936414493,full,Global目标／Local目标,fc3
Macro-3,0.8744719007139845,0.8770747547781038,0.8635602420846706,0.07580655484385825,0.2125054612849621,0.46270724674247815,full,Global目标／Local目标,fc3
