dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.9111766558697625,0.916624167031538,0.9080431275253379,0.06124721603563475,0.2978841870824054,0.37360801781737196,local_d1_target,Local归一化D1,fc3
genvideo,0.8779246035919883,0.8650073424275435,0.8799548363638798,0.11617819450173075,0.26108080721294585,0.5013395019197855,local_d1_target,Local归一化D1,fc3
videofeedback,0.8172574663907824,0.8279278752564904,0.7887308986924001,0.030949038187447278,0.05730480918203473,0.5675017231487869,local_d1_target,Local归一化D1,fc3
Average,0.8518013686068698,0.8517621037460831,0.8387684567089511,0.0706398172674129,0.16682301509985442,0.521875217803011,local_d1_target,Local归一化D1,fc3
Macro-3,0.8687862419508444,0.8698531282385239,0.8589096208605392,0.06945814957493758,0.2054232678257953,0.4808164142953148,local_d1_target,Local归一化D1,fc3
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,full,Local归一化D2,fc3
genvideo,0.8819817822756818,0.8709639520946786,0.881437983059014,0.11808347472662983,0.2676156173080018,0.4864377116883126,full,Local归一化D2,fc3
videofeedback,0.8246856150463554,0.8386588091373463,0.7953522482724721,0.03806670205438813,0.06255110062260831,0.5464501755324404,full,Local归一化D2,fc3
Average,0.8576024433872419,0.8599169316374855,0.8430885022361906,0.07574380197242092,0.17299641790335923,0.5037302936414493,full,Local归一化D2,fc3
Macro-3,0.8744719007139845,0.8770747547781038,0.8635602420846706,0.07580655484385825,0.2125054612849621,0.46270724674247815,full,Local归一化D2,fc3
comgenvid,0.6381199746033005,0.7228052495724446,0.5630590801888521,0.0011135857461024498,0.010579064587973275,0.6681514476614698,local_raw_d2_target,Local未归一化D2,fc3
genvideo,0.6109677522801794,0.6701032158602795,0.566091875182576,0.006674772036474164,0.016780195945347774,0.7618147611553128,local_raw_d2_target,Local未归一化D2,fc3
videofeedback,0.6873238863976254,0.7562631880590072,0.635555612762015,0.011059283636524085,0.05246818752511396,0.596804495248906,local_raw_d2_target,Local未归一化D2,fc3
Average,0.6498469661905336,0.7158929446259463,0.5990499414167665,0.00828813095037876,0.033309137017638164,0.6747521719397406,local_raw_d2_target,Local未归一化D2,fc3
Macro-3,0.6454705377603684,0.7163905511639105,0.5882355227111477,0.006282547139700233,0.026609149352811667,0.6755902346885628,local_raw_d2_target,Local未归一化D2,fc3
comgenvid,0.7181620502874491,0.750693095812671,0.6761780403231017,0.005011135857461025,0.04120267260579065,0.7010022271714922,local_d2_norm_target,Local D2幅度,fc3
genvideo,0.5726461993457772,0.6023385418544545,0.5492968819572683,0.0032975182223271464,0.013935224090791254,0.8537546479513687,local_d2_norm_target,Local D2幅度,fc3
videofeedback,0.7048368727619269,0.7556785486204594,0.6437933159020199,0.009856334910929635,0.024507233697796695,0.6335565182936911,local_d2_norm_target,Local D2幅度,fc3
Average,0.6485213780179941,0.6885754628258669,0.605523972832222,0.006583353824279109,0.021362485078054678,0.7351596797864033,local_d2_norm_target,Local D2幅度,fc3
Macro-3,0.6652150407983844,0.7029033954291949,0.6230894127274633,0.006054996330239269,0.0265483767981262,0.7294377978055172,local_d2_norm_target,Local D2幅度,fc3
comgenvid,0.8805018948318708,0.885587739778176,0.8807968754786445,0.051781737193763916,0.2717149220489978,0.4760579064587973,global_d2_target,Global归一化D2,fc3
genvideo,0.8535107486621063,0.8411118932276546,0.8564149322785953,0.1079819098256225,0.2295950371339961,0.5821247304360966,global_d2_target,Global归一化D2,fc3
videofeedback,0.8093405015544822,0.8245032411620308,0.7798275759701562,0.04070330592884671,0.09345543763410878,0.5872960209512201,global_d2_target,Global归一化D2,fc3
Average,0.8347329040601786,0.8370360897658797,0.8219063656267376,0.0709182146896116,0.16814739258318057,0.5753747542496513,global_d2_target,Global归一化D2,fc3
Macro-3,0.8477843816828198,0.8504009580559537,0.8390131279091321,0.06682231764941104,0.19825513227236757,0.5484928859487047,global_d2_target,Global归一化D2,fc3
