dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,Sora,898,898,0.8986698974707465,0.9032905702847499,0.897285982665079,0.0556792873051225,0.2828507795100223,0.4142538975501114,local_d1_target,Local归一化D1,fc3
comgenvid,VEO3,898,898,0.9236834142687784,0.9299577637783263,0.9188002723855968,0.066815144766147,0.3129175946547884,0.33296213808463254,local_d1_target,Local归一化D1,fc3
genvideo,Crafter,188,188,0.8880149388863738,0.8672612356200587,0.9020134904097762,0.2074468085106383,0.425531914893617,0.5053191489361702,local_d1_target,Local归一化D1,fc3
genvideo,Gen2,1380,1380,0.9458622138206259,0.9528027593440196,0.9352780365908429,0.02391304347826087,0.3101449275362319,0.21304347826086956,local_d1_target,Local归一化D1,fc3
genvideo,HotShot,700,700,0.8228051020408162,0.814939262997614,0.8205668573814958,0.04285714285714286,0.12285714285714286,0.6528571428571428,local_d1_target,Local归一化D1,fc3
genvideo,Lavie,1400,1400,0.8793147959183674,0.8714658808372207,0.877409034279736,0.02142857142857143,0.2507142857142857,0.47928571428571426,local_d1_target,Local归一化D1,fc3
genvideo,ModelScope,700,700,0.8788489795918368,0.8737383202922007,0.8806664579115397,0.09571428571428571,0.22714285714285715,0.5242857142857142,local_d1_target,Local归一化D1,fc3
genvideo,MoonValley,626,626,0.8755843685247374,0.8936359014498836,0.8458685855938799,0.01757188498402556,0.08146964856230032,0.41214057507987223,local_d1_target,Local归一化D1,fc3
genvideo,MorphStudio,700,700,0.8765326530612245,0.8708986114568633,0.8784088417446697,0.08142857142857143,0.23,0.5085714285714286,local_d1_target,Local归一化D1,fc3
genvideo,Show_1,700,700,0.8732836734693877,0.8476836878006195,0.8821225374656466,0.09142857142857143,0.25285714285714284,0.5785714285714286,local_d1_target,Local归一化D1,fc3
genvideo,Sora,56,56,0.9467474489795917,0.9504230754258371,0.9501283189792016,0.5178571428571429,0.5178571428571429,0.25,local_d1_target,Local归一化D1,fc3
genvideo,WildScrape,515,515,0.7922518616269205,0.7072246890511186,0.8270862032820097,0.062135922330097085,0.19223300970873786,0.8893203883495145,local_d1_target,Local归一化D1,fc3
videofeedback,AnimateDiff,218,218,0.8301174143590606,0.8449616377445831,0.7860530452137895,0.009174311926605505,0.03211009174311927,0.591743119266055,local_d1_target,Local归一化D1,fc3
videofeedback,Fast-SVD,290,290,0.9041498216409037,0.921215768543001,0.8747925867607595,0.04827586206896552,0.07586206896551724,0.32068965517241377,local_d1_target,Local归一化D1,fc3
videofeedback,Hotshot-XL,500,500,0.7719499999999999,0.79456105378278,0.7280312924210608,0.01,0.026,0.634,local_d1_target,Local归一化D1,fc3
videofeedback,LVDM,276,276,0.889827504725898,0.9008907417853306,0.8571746627639156,0.014492753623188406,0.025362318840579712,0.39855072463768115,local_d1_target,Local归一化D1,fc3
videofeedback,LaVie-base,258,258,0.7974580854515956,0.8092223698990644,0.7669446463189675,0.015503875968992248,0.03488372093023256,0.6317829457364341,local_d1_target,Local归一化D1,fc3
videofeedback,ModelScope,246,246,0.802771167955582,0.8035242490311583,0.777533737162732,0.02032520325203252,0.036585365853658534,0.6178861788617886,local_d1_target,Local归一化D1,fc3
videofeedback,Pika,132,132,0.871900826446281,0.8924559016042357,0.8511305059275439,0.06818181818181818,0.10606060606060606,0.4696969696969697,local_d1_target,Local归一化D1,fc3
