dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.8850600939479466,0.8865381707778336,0.8874003713152431,0.0757238307349666,0.3034521158129176,0.4782850779510022,local_d1_target_raw,Local D1（原始分数）,fc3
genvideo,0.8391107988780118,0.8269478305407736,0.8456365671774908,0.07319573171944875,0.22707903652339093,0.6246105680835242,local_d1_target_raw,Local D1（原始分数）,fc3
videofeedback,0.7459838524260477,0.7489019665969924,0.7162064067796652,0.021008589971189724,0.03977477404580773,0.6997033247341492,local_d1_target_raw,Local D1（原始分数）,fc3
Average,0.7985674153635887,0.7948033165013182,0.7873668212600741,0.048456498623804675,0.14413987440711432,0.6478005395136038,local_d1_target_raw,Local D1（原始分数）,fc3
Macro-3,0.8233849150840021,0.8207959893051998,0.816414448424133,0.05664271747520169,0.19010197546070542,0.6008663235895586,local_d1_target_raw,Local D1（原始分数）,fc3
comgenvid,0.8850458331059865,0.8862941440918619,0.8870378076468832,0.0757238307349666,0.2978841870824053,0.47884187082405344,local_d1_target_only,Local D1（视频CDF后）,fc3
genvideo,0.8396890393768874,0.8281975113120426,0.8451415670773773,0.06695776179399307,0.21512664683570337,0.6220803966227914,local_d1_target_only,Local D1（视频CDF后）,fc3
videofeedback,0.7455832147242205,0.7494903513834633,0.7149427908657768,0.013932589874080447,0.017023498964989538,0.6978710554716707,local_d1_target_only,Local D1（视频CDF后）,fc3
Average,0.7986259748672727,0.7956068376748802,0.7865157385039602,0.04236016382716299,0.12757797091898826,0.6458725790462783,local_d1_target_only,Local D1（视频CDF后）,fc3
Macro-3,0.8234393624023649,0.8213273355957892,0.8157073885300123,0.05220472746768004,0.17667811096103278,0.5995977743061719,local_d1_target_only,Local D1（视频CDF后）,fc3
comgenvid,0.8968426495900317,0.8974641837820792,0.8996348552119823,0.10133630289532294,0.31124721603563477,0.455456570155902,local_d2_target_raw,Local D2（原始分数）,fc3
genvideo,0.85031037203901,0.8387164307513386,0.8553337111303481,0.08289437896054795,0.25999761425426815,0.5864913097875459,local_d2_target_raw,Local D2（原始分数）,fc3
videofeedback,0.7597460663022889,0.773067785105725,0.7292167160368855,0.03126891334672846,0.04313335392994425,0.6559306960553504,local_d2_target_raw,Local D2（原始分数）,fc3
Average,0.8110432934302322,0.8124277526626313,0.7988691607883994,0.05980758444391906,0.16073641164536248,0.6083071258607007,local_d2_target_raw,Local D2（原始分数）,fc3
Macro-3,0.8356330293104435,0.8364161332130475,0.8280617607930719,0.07183319840086645,0.2047927280732824,0.5659595253329327,local_d2_target_raw,Local D2（原始分数）,fc3
comgenvid,0.8968671410360067,0.8972737863265313,0.899514529970886,0.10022271714922049,0.30902004454342985,0.45657015590200445,local_d2_target_only,Local D2（视频CDF后）,fc3
genvideo,0.8511022063453693,0.8401292823149354,0.8553890155819058,0.07648163226204055,0.2469729306300143,0.5825793523997571,local_d2_target_only,Local D2（视频CDF后）,fc3
videofeedback,0.7596983264336706,0.7739479937305628,0.7281585481506098,0.014444922549331064,0.019909476344160088,0.6532615691482079,local_d2_target_only,Local D2（视频CDF后）,fc3
Average,0.811366866795482,0.8134464489929831,0.7983766628442407,0.048876343693977746,0.14377276674664194,0.6054265694100811,local_d2_target_only,Local D2（视频CDF后）,fc3
Macro-3,0.8358892246050155,0.8371170207906765,0.8276873645678006,0.06371642398686403,0.1919674838392014,0.5641370258166565,local_d2_target_only,Local D2（视频CDF后）,fc3
comgenvid,0.2657731112444879,0.36938037996483297,0.3674511466598539,0.0,0.0011135857461024498,0.9916481069042317,local_raw_d2_target_raw,未归一化D2（原始分数）,fc3
genvideo,0.2505734002595236,0.38579520311336046,0.37228904315910816,0.00014285714285714287,0.0030624133148404995,0.9651118139257153,local_raw_d2_target_raw,未归一化D2（原始分数）,fc3
videofeedback,0.45091652802646875,0.5290089663071932,0.492162293654674,0.006427620796418811,0.010276819346900867,0.8524926538855745,local_raw_d2_target_raw,未归一化D2（原始分数）,fc3
Average,0.34771139275545077,0.4528613661061911,0.42919904152661753,0.003136191312572972,0.006343318150283452,0.9135579802524754,local_raw_d2_target_raw,未归一化D2（原始分数）,fc3
Macro-3,0.32242101317682675,0.4280615164617956,0.4106341611578787,0.0021901593130919847,0.004817606135947939,0.9364175249051737,local_raw_d2_target_raw,未归一化D2（原始分数）,fc3
comgenvid,0.2657898522328759,0.369532709598962,0.3678368892804742,0.0,0.0011135857461024498,0.9916481069042317,local_raw_d2_target_only,未归一化D2（视频CDF后）,fc3
genvideo,0.24932356599542657,0.3852625511995972,0.37171542692473536,0.00014285714285714287,0.002705270457697642,0.9664291142493784,local_raw_d2_target_only,未归一化D2（视频CDF后）,fc3
videofeedback,0.4489015947732459,0.5277232615827331,0.48918135112093336,0.00461202219326043,0.01059029897072532,0.8543323719044007,local_raw_d2_target_only,未归一化D2（视频CDF后）,fc3
Average,0.3462057785619879,0.4520281221132157,0.4275575178321116,0.00226786154584505,0.006337963684659122,0.915010584663072,local_raw_d2_target_only,未归一化D2（视频CDF后）,fc3
Macro-3,0.3213383376671828,0.4275061741270974,0.4095778891087143,0.0015849597787058573,0.004803051724841804,0.9374698643526701,local_raw_d2_target_only,未归一化D2（视频CDF后）,fc3
comgenvid,0.34052162439670436,0.4028735138038137,0.39174247458405437,0.0,0.0005567928730512249,0.9866369710467706,local_d2_norm_target_raw,D2幅度（原始分数）,fc3
genvideo,0.20308790154527284,0.35751357206461787,0.3530137084361178,0.00019417475728155338,0.0013169209431345354,0.9902681490154055,local_d2_norm_target_raw,D2幅度（原始分数）,fc3
videofeedback,0.4799045392342068,0.5103352534492657,0.48205088632296744,0.002850263598221227,0.005891653809328762,0.9266669180073229,local_d2_norm_target_raw,D2幅度（原始分数）,fc3
Average,0.3474292259053222,0.43454654505198814,0.4180948601339968,0.0014475933544890885,0.0034387385686984427,0.9595344143620935,local_d2_norm_target_raw,D2幅度（原始分数）,fc3
Macro-3,0.34117135505872803,0.42357411310589904,0.40893568978104655,0.0010148127851675934,0.0025884558751715077,0.9678573460231664,local_d2_norm_target_raw,D2幅度（原始分数）,fc3
comgenvid,0.3405473559158933,0.4029987206913564,0.3919440928908867,0.0,0.0005567928730512249,0.9866369710467706,local_d2_norm_target_only,D2幅度（视频CDF后）,fc3
genvideo,0.20125276381764814,0.35728355847115356,0.3525869355279438,0.0002656033287101248,0.0013169209431345354,0.9902681490154055,local_d2_norm_target_only,D2幅度（视频CDF后）,fc3
videofeedback,0.47896387715097116,0.5091703650147535,0.48003616549215894,0.0013647703555018757,0.005891653809328762,0.9284644760467603,local_d2_norm_target_only,D2幅度（视频CDF后）,fc3
Average,0.3461836955943022,0.43390030614158864,0.41696327658586774,0.0007681959651139949,0.0034387385686984427,0.9603941160331287,local_d2_norm_target_only,D2幅度（视频CDF后）,fc3
Macro-3,0.34025466562817086,0.42315088139242113,0.4081890646369965,0.0005434578947373335,0.0025884558751715077,0.9684565320363121,local_d2_norm_target_only,D2幅度（视频CDF后）,fc3
comgenvid,0.8497049865824078,0.8529116928026907,0.8549912575537051,0.07182628062360802,0.2728285077951002,0.5579064587973274,global_d2_target_raw,Global D2（原始分数）,fc3
genvideo,0.8161252243008053,0.804677634353491,0.8190367054237913,0.07666902299273848,0.18541648056726515,0.6471939759439985,global_d2_target_raw,Global D2（原始分数）,fc3
videofeedback,0.7899712422114372,0.785993976528398,0.7853361264711897,0.03191712702157751,0.16316629112465386,0.6910419609903276,global_d2_target_raw,Global D2（原始分数）,fc3
Average,0.8065367774129859,0.7999362378675078,0.8060455200229744,0.05484483427878059,0.18237613146234977,0.6604006194751411,global_d2_target_raw,Global D2（原始分数）,fc3
Macro-3,0.8186004843648834,0.81452776789486,0.8197880298162287,0.060137476879308004,0.20713709316233975,0.6320474652438844,global_d2_target_raw,Global D2（原始分数）,fc3
comgenvid,0.8496919658136617,0.8526596003864524,0.8542369056326173,0.06792873051224944,0.267260579064588,0.5584632516703787,global_d2_target_only,Global D2（视频CDF后）,fc3
genvideo,0.8161564940063819,0.8055885850608918,0.8167192155531765,0.042059270516717324,0.17326869656390873,0.6428443675053813,global_d2_target_only,Global D2（视频CDF后）,fc3
videofeedback,0.7883961379462036,0.7850177100428458,0.781021991169987,0.0009090909090909091,0.14085403621609568,0.690603174241196,global_d2_target_only,Global D2（视频CDF后）,fc3
Average,0.8057959299608426,0.7998434722544836,0.8029090378116024,0.02462826809529009,0.1659392400932746,0.6583480476107707,global_d2_target_only,Global D2（视频CDF后）,fc3
Macro-3,0.818081532588749,0.8144219651633966,0.8173260374519269,0.0369656973126859,0.1937944372815308,0.6306369311389853,global_d2_target_only,Global D2（视频CDF后）,fc3
