dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,Sora,898,898,0.8667590934568776,0.8663286842088632,0.8736998492447976,0.0779510022271715,0.29955456570155903,0.5434298440979956,local_d1_target_raw,Local D1（原始分数）,fc3
comgenvid,VEO3,898,898,0.9033610944390156,0.906747657346804,0.9011008933856886,0.07349665924276169,0.30734966592427615,0.4131403118040089,local_d1_target_raw,Local D1（原始分数）,fc3
genvideo,Crafter,188,188,0.8282028066998641,0.8083134921263,0.8453479298401072,0.13829787234042554,0.24468085106382978,0.6968085106382979,local_d1_target_raw,Local D1（原始分数）,fc3
genvideo,Gen2,1380,1380,0.9144124133585381,0.9247498367975238,0.9022182931350142,0.02681159420289855,0.2608695652173913,0.33768115942028987,local_d1_target_raw,Local D1（原始分数）,fc3
genvideo,HotShot,700,700,0.7614142857142856,0.7502811417684226,0.7703798744882884,0.018571428571428572,0.10142857142857142,0.7671428571428571,local_d1_target_raw,Local D1（原始分数）,fc3
genvideo,Lavie,1400,1400,0.8054515306122447,0.7923555379757563,0.8115062095564359,0.024285714285714285,0.17857142857142858,0.6928571428571428,local_d1_target_raw,Local D1（原始分数）,fc3
genvideo,ModelScope,700,700,0.8656224489795917,0.8558229565265412,0.8757261071941032,0.05857142857142857,0.3271428571428571,0.6,local_d1_target_raw,Local D1（原始分数）,fc3
genvideo,MoonValley,626,626,0.8511314803662384,0.8574655486391765,0.8369367330908176,0.011182108626198083,0.11182108626198083,0.5319488817891374,local_d1_target_raw,Local D1（原始分数）,fc3
genvideo,MorphStudio,700,700,0.8267979591836734,0.8119348608215788,0.83781651429276,0.03857142857142857,0.2542857142857143,0.6757142857142857,local_d1_target_raw,Local D1（原始分数）,fc3
genvideo,Show_1,700,700,0.830430612244898,0.811722650503675,0.8431322750725756,0.041428571428571426,0.2857142857142857,0.6971428571428572,local_d1_target_raw,Local D1（原始分数）,fc3
genvideo,Sora,56,56,0.9205994897959183,0.9194044892814107,0.9248396379250554,0.3392857142857143,0.3392857142857143,0.4642857142857143,local_d1_target_raw,Local D1（原始分数）,fc3
genvideo,WildScrape,515,515,0.7870449618248657,0.7374277909673508,0.8084620971797492,0.03495145631067961,0.1669902912621359,0.7825242718446602,local_d1_target_raw,Local D1（原始分数）,fc3
videofeedback,AnimateDiff,218,218,0.7521462839828298,0.7559116876177858,0.7083936506255537,0.0045871559633027525,0.03669724770642202,0.7660550458715596,local_d1_target_raw,Local D1（原始分数）,fc3
videofeedback,Fast-SVD,290,290,0.8160523186682521,0.8614108940537883,0.7336455064623421,0.006896551724137931,0.017241379310344827,0.4586206896551724,local_d1_target_raw,Local D1（原始分数）,fc3
videofeedback,Hotshot-XL,500,500,0.700176,0.7292130873213174,0.6665722443965926,0.018,0.054,0.726,local_d1_target_raw,Local D1（原始分数）,fc3
videofeedback,LVDM,276,276,0.8216367359798362,0.8382415909917109,0.787033181144158,0.025362318840579712,0.04710144927536232,0.6014492753623188,local_d1_target_raw,Local D1（原始分数）,fc3
videofeedback,LaVie-base,258,258,0.7068235082026321,0.7150717917006169,0.6708479367773855,0.003875968992248062,0.011627906976744186,0.7558139534883721,local_d1_target_raw,Local D1（原始分数）,fc3
videofeedback,ModelScope,246,246,0.7519994712142244,0.7428344496748914,0.7543601492969523,0.056910569105691054,0.08130081300813008,0.7195121951219512,local_d1_target_raw,Local D1（原始分数）,fc3
videofeedback,Pika,132,132,0.8490013774104683,0.8685634552281775,0.8164753094347597,0.05303030303030303,0.07575757575757576,0.5227272727272727,local_d1_target_raw,Local D1（原始分数）,fc3
videofeedback,SoRA-Clip,290,290,0.709334126040428,0.710118552027681,0.6772970146371766,0.0,0.0,0.7827586206896552,local_d1_target_raw,Local D1（原始分数）,fc3
videofeedback,Text2Video-Zero,296,296,0.565707176771366,0.546911805305753,0.5693974520127635,0.016891891891891893,0.02702702702702703,0.9459459459459459,local_d1_target_raw,Local D1（原始分数）,fc3
videofeedback,VideoCrafter2,232,232,0.7960203626634959,0.8057584705663846,0.7420838313792764,0.01293103448275862,0.021551724137931036,0.5301724137931034,local_d1_target_raw,Local D1（原始分数）,fc3
videofeedback,ZeroScope-576w,276,276,0.7369250157529931,0.6638858480788101,0.7521641984093567,0.03260869565217391,0.06521739130434782,0.8876811594202898,local_d1_target_raw,Local D1（原始分数）,fc3
comgenvid,Sora,898,898,0.8667330519193853,0.8660807292484005,0.8733283806951013,0.0779510022271715,0.29175946547884185,0.544543429844098,local_d1_target_only,Local D1（视频CDF后）,fc3
comgenvid,VEO3,898,898,0.9033586142925878,0.9065075589353234,0.9007472345986651,0.07349665924276169,0.3040089086859688,0.4131403118040089,local_d1_target_only,Local D1（视频CDF后）,fc3
genvideo,Crafter,188,188,0.8305794477138977,0.8130183475224093,0.8475402745060964,0.18617021276595744,0.22340425531914893,0.6968085106382979,local_d1_target_only,Local D1（视频CDF后）,fc3
genvideo,Gen2,1380,1380,0.9144092627599244,0.9244786820268394,0.9012283894087261,0.015217391304347827,0.2463768115942029,0.3384057971014493,local_d1_target_only,Local D1（视频CDF后）,fc3
genvideo,HotShot,700,700,0.7614142857142856,0.7500333620065622,0.7685027300526535,0.002857142857142857,0.09571428571428571,0.7685714285714286,local_d1_target_only,Local D1（视频CDF后）,fc3
genvideo,Lavie,1400,1400,0.8064073979591838,0.7948084006517853,0.8116588656819897,0.02642857142857143,0.16071428571428573,0.6807142857142857,local_d1_target_only,Local D1（视频CDF后）,fc3
genvideo,ModelScope,700,700,0.8656755102040816,0.855631299079151,0.8748965323218426,0.03,0.3242857142857143,0.6,local_d1_target_only,Local D1（视频CDF后）,fc3
genvideo,MoonValley,626,626,0.8510255795200523,0.8571680502397583,0.8350398538694324,0.0,0.10543130990415335,0.5319488817891374,local_d1_target_only,Local D1（视频CDF后）,fc3
genvideo,MorphStudio,700,700,0.8286857142857144,0.8170666625143518,0.8387207928181265,0.04285714285714286,0.23857142857142857,0.6642857142857143,local_d1_target_only,Local D1（视频CDF后）,fc3
genvideo,Show_1,700,700,0.8304438775510204,0.8114121736565895,0.8425060162342325,0.027142857142857142,0.28,0.6971428571428572,local_d1_target_only,Local D1（视频CDF后）,fc3
genvideo,Sora,56,56,0.9202806122448979,0.9189640034272073,0.9238565781477135,0.32142857142857145,0.32142857142857145,0.4642857142857143,local_d1_target_only,Local D1（视频CDF后）,fc3
genvideo,WildScrape,515,515,0.7879687058158168,0.7393941319957728,0.8074656377329605,0.017475728155339806,0.1553398058252427,0.7786407766990291,local_d1_target_only,Local D1（视频CDF后）,fc3
videofeedback,AnimateDiff,218,218,0.7507049069943608,0.7564898454824776,0.7075472762013273,0.0045871559633027525,0.0045871559633027525,0.7614678899082569,local_d1_target_only,Local D1（视频CDF后）,fc3
videofeedback,Fast-SVD,290,290,0.8172711058263971,0.8618280446877308,0.7352052677961508,0.0034482758620689655,0.0034482758620689655,0.4586206896551724,local_d1_target_only,Local D1（视频CDF后）,fc3
videofeedback,Hotshot-XL,500,500,0.700126,0.7288818633714762,0.664532151548924,0.016,0.05,0.726,local_d1_target_only,Local D1（视频CDF后）,fc3
videofeedback,LVDM,276,276,0.8201730203738711,0.8375537734558229,0.7842654206070583,0.018115942028985508,0.018115942028985508,0.6014492753623188,local_d1_target_only,Local D1（视频CDF后）,fc3
videofeedback,LaVie-base,258,258,0.7059596779039721,0.7166372609257036,0.6708392056354899,0.003875968992248062,0.003875968992248062,0.748062015503876,local_d1_target_only,Local D1（视频CDF后）,fc3
videofeedback,ModelScope,246,246,0.7517185537709035,0.7472200870638245,0.7519927153367367,0.04878048780487805,0.04878048780487805,0.7154471544715447,local_d1_target_only,Local D1（视频CDF后）,fc3
videofeedback,Pika,132,132,0.8490874655647382,0.8683088614162906,0.8087475297575979,0.007575757575757576,0.007575757575757576,0.5227272727272727,local_d1_target_only,Local D1（视频CDF后）,fc3
videofeedback,SoRA-Clip,290,290,0.7098454221165279,0.709649754887226,0.6815107268134555,0.0,0.0,0.7862068965517242,local_d1_target_only,Local D1（视频CDF后）,fc3
videofeedback,Text2Video-Zero,296,296,0.5661523009495981,0.5503757635571671,0.567130365660857,0.016891891891891893,0.016891891891891893,0.9358108108108109,local_d1_target_only,Local D1（视频CDF后）,fc3
