dataset,window_frames,selector,n_measurements,n_clip_ids,mean_seconds,median_seconds,mean_unique_frames,peak_gpu_mib
comgenvid,16,fc1,12,6,0.4617779953405261,0.33479639329016203,23.0,1270.11669921875
comgenvid,16,fc3,12,6,0.5987348109483719,0.454144200310111,35.0,1270.11669921875
comgenvid,16,uniform1,12,6,0.20260602142661807,0.17036107648164028,16.0,1270.11669921875
comgenvid,16,uniform3,12,6,0.5302119453748068,0.44000635854899883,46.666666666666664,1270.11669921875
genvideo,8,fc1,12,6,0.15246015818168715,0.0999762518331408,8.0,1257.67919921875
genvideo,8,fc3,12,6,0.15816755282382167,0.09313453081995246,8.0,1257.67919921875
genvideo,8,uniform1,12,6,0.15345984681819871,0.1029419777914881,8.0,1257.67919921875
genvideo,8,uniform3,12,6,0.16192286694422361,0.10292106494307515,8.0,1257.67919921875
genvideo,16,fc1,36,18,0.29164490088199574,0.2124696150422096,19.166666666666668,1270.24169921875
genvideo,16,fc3,36,18,0.3838755390089419,0.24392768926918507,24.833333333333332,1271.11669921875
genvideo,16,uniform1,36,18,0.1615629243250522,0.1452094372361898,16.0,1270.24169921875
genvideo,16,uniform3,36,18,0.3174049768389927,0.2282595699653029,28.944444444444443,1271.11669921875
videofeedback,8,fc1,12,6,0.0968959177844226,0.09213360492140049,8.0,1256.67919921875
videofeedback,8,fc3,12,6,0.09594955885161953,0.08916461560875175,8.0,1256.67919921875
videofeedback,8,uniform1,12,6,0.09943846240639682,0.0919552026316523,8.0,1256.67919921875
videofeedback,8,uniform3,12,6,0.09201846923679109,0.08884548489004371,8.0,1256.67919921875
videofeedback,16,fc1,48,24,0.16151297794810182,0.1494269054383039,16.458333333333332,1270.24169921875
videofeedback,16,fc3,48,24,0.19367260070672876,0.16250000614672894,19.333333333333332,1270.24169921875
videofeedback,16,uniform1,48,24,0.11127884499728674,0.1062173973768949,16.0,1270.24169921875
videofeedback,16,uniform3,48,24,0.1483382650185376,0.1126821907237172,19.333333333333332,1270.24169921875
