dataset,video_id,selector,repeat,duration_seconds,total_seconds,coarse_decode_prepare_seconds,selection_seconds,coarse_forward_seconds,dense_decode_prepare_seconds,dense_forward_seconds,score_seconds,cdf_seconds,coarse_frames,dense_unique_frames,effective_k,observed_unique_frames,coarse_computed_frames,dense_computed_frames,peak_gpu_allocated_mib,peak_gpu_reserved_mib,rss_mib,process_peak_rss_mib,final_score,window_frames,source_model,subset,score_error
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/sakaya5_515406421%2Fmd.mp4,uniform1,0,5.0,0.1643783804029226,1.7195940017700195e-05,6.271712481975555e-05,0.0,0.0789125300943851,0.0646468345075845,0.0199977662414312,0.0007371287792921,0,16.0,1.0,16,0.0,16.0,1270.11669921875,1382.0,1808.4453125,3117.203125,0.013375,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/ronron0319_846026845%2Fmd.mp4,uniform1,0,10.0,0.1325741410255432,2.271495759487152e-05,5.358085036277771e-05,0.0,0.053046490997076,0.0617438126355409,0.0169795732945203,0.0007243193686008,0,16.0,1.0,16,0.0,16.0,1270.11669921875,1382.0,1826.5234375,3117.203125,0.671625,16,,,
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/lw7pTwpx0K0_38_48.mp4,uniform1,0,10.01,0.4605928566306829,2.2932887077331543e-05,5.502253770828247e-05,0.0,0.3866564240306616,0.0610365867614746,0.0121090672910213,0.000708695501089,0,16.0,1.0,16,0.0,16.0,1270.11669921875,1382.0,1946.3359375,3117.203125,0.264625,16,,,
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/VxM96IYzw0Q_2_15.mp4,uniform1,0,13.013,0.1264451332390308,2.6220455765724186e-05,5.743652582168579e-05,0.0,0.0487903635948896,0.0616102330386638,0.0152268335223197,0.0007303487509489,0,16.0,1.0,16,0.0,16.0,1270.11669921875,1382.0,1946.3359375,3117.203125,0.4465,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/d5e45073-c4e6-5614-90b6-162e5011ffed.mp4,uniform1,0,8.0,0.1829879377037286,2.121180295944214e-05,5.263090133666992e-05,0.0,0.1037424895912408,0.0610733516514301,0.0173985250294208,0.0006951093673706,0,16.0,1.0,16,0.0,16.0,1270.11669921875,1382.0,1983.58203125,3117.203125,0.206875,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/86344334-97ae-5493-afc4-65be75e10b08.mp4,uniform1,0,8.0,0.1956291291862726,1.81589275598526e-05,4.749186336994171e-05,0.0,0.1060137283056974,0.0639499444514513,0.0248790383338928,0.0007157288491725,0,16.0,1.0,16,0.0,16.0,1270.11669921875,1382.0,1903.6640625,3117.203125,0.397625,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/sakaya5_515406421%2Fmd.mp4,uniform1,1,5.0,0.1432602740824222,1.5733763575553894e-05,4.842132329940796e-05,0.0,0.0652502831071615,0.0617134887725114,0.0155343655496835,0.0006934236735105,0,16.0,1.0,16,0.0,16.0,1270.11669921875,1382.0,1937.2265625,3117.203125,0.013375,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/ronron0319_846026845%2Fmd.mp4,uniform1,1,10.0,0.1454370319843292,2.1379441022872925e-05,5.058757960796356e-05,0.0,0.0605292040854692,0.0613229274749755,0.0227822847664356,0.0007270667701959,0,16.0,1.0,16,0.0,16.0,1270.11669921875,1382.0,1981.63671875,3117.203125,0.671625,16,,,
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/lw7pTwpx0K0_38_48.mp4,uniform1,1,10.01,0.3904593214392662,2.0928680896759037e-05,5.184859037399292e-05,0.0,0.304208941757679,0.0654112752526998,0.0200507007539272,0.0007118713110685,0,16.0,1.0,16,0.0,16.0,1270.11669921875,1382.0,1971.59375,3117.203125,0.264625,16,,,
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/VxM96IYzw0Q_2_15.mp4,uniform1,1,13.013,0.1240532882511615,2.5000423192977905e-05,5.298666656017304e-05,0.0,0.0383833274245262,0.0613378826528787,0.0235547348856925,0.0006958395242691,0,16.0,1.0,16,0.0,16.0,1270.11669921875,1382.0,1902.8125,3117.203125,0.4465,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/d5e45073-c4e6-5614-90b6-162e5011ffed.mp4,uniform1,1,8.0,0.1891109906136989,2.2603198885917664e-05,4.825182259082794e-05,0.0,0.1078192573040723,0.0626477040350437,0.0178590267896652,0.0007102396339178,0,16.0,1.0,16,0.0,16.0,1270.11669921875,1382.0,1945.5625,3117.203125,0.206875,16,,,
