subset,source_model,filename,fusion,global_weight,patch_spat_weight,patch_temp_weight,patch_temp_mode,match_radius,top_m,temperature,lambda_dist,patch_spat_percentile,patch_final_score,final_score,patch_temp_percentile
real,MSVD,-4wsuPCjDBc_5_15.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.08186101295641932,0.2004122497055359,0.2004122497055359,0.47703180212014135
real,MSVD,-7KMZQEsJW4_205_208.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.20906949352179033,0.21861012956419315,0.21861012956419315,0.2408716136631331
real,MSVD,-8y1Q0rA3n8_108_115.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.6725559481743227,0.5707891637220259,0.5707891637220259,0.3333333333333333
real,MSVD,-8y1Q0rA3n8_95_102.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.8315665488810365,0.6202591283863368,0.6202591283863368,0.127208480565371
real,MSVD,-AwoiGR6c8M_10_14.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.4122497055359246,0.4355712603062426,0.4355712603062426,0.48998822143698467
real,MSVD,-Cv5LsqKUXc_17_25.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.8963486454652533,0.8739104829210836,0.8739104829210836,0.8215547703180212
real,MSVD,-Cv5LsqKUXc_71_76.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.696113074204947,0.7305653710247348,0.7305653710247348,0.8109540636042403
real,MSVD,-DKuLXYoY3g_14_20.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.7673733804475854,0.8101295641931685,0.8101295641931685,0.9098939929328622
real,MSVD,-DRy7rBg0IQ_31_37.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.25382803297997647,0.38704358068315664,0.38704358068315664,0.6978798586572438
real,MSVD,-FugkxLmGO4_5_16.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.027090694935217905,0.06861012956419317,0.06861012956419317,0.16548881036513546
real,MSVD,-Ms9tsWmhyU_80_95.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.24381625441696114,0.28197879858657243,0.28197879858657243,0.3710247349823322
real,MSVD,-YI0cxuNcq8_262_272.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.5506478209658422,0.614075382803298,0.614075382803298,0.7620730270906949
real,MSVD,-_aaMGK6GGw_57_61.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.6030624263839811,0.6740871613663133,0.6740871613663133,0.839811542991755
real,MSVD,-_hbPLsZvvo_172_179.mp4,patch_only,,0.7,0.3,motion_hard,2,4,0.07,0.01,0.6949352179034158,0.6689634864546525,0.6689634864546525,0.6083627797408716
