dataset,subset,source_model,n,mean,std,q05,q25,median,q75,q95
comgenvid,annotated,Sora,1700,0.08323251028917442,0.0998172922093464,0.00611937158368916,0.019007130760426625,0.04568195711985335,0.1062075389206605,0.29494120348221203
comgenvid,annotated,VEO3,1700,0.06689835238511103,0.08411527717706341,0.004623216191248025,0.014507385731455599,0.036700709349924546,0.08087001025017973,0.250408360361702
comgenvid,real,MSVD,1698,0.3722891391054399,0.2082077482286077,0.05931033580312866,0.1952283358388657,0.3691583188219521,0.5181708777458885,0.7477392621337312
videofeedback,annotated,AnimateDiff,1399,0.10703332024154417,0.09170787530111692,0.01422243442827592,0.0428517871718982,0.07681773217855,0.1430607512175741,0.3021722764726913
videofeedback,annotated,Fast-SVD,1000,0.08018008492250873,0.07936334861967952,0.013484345528388909,0.03298056724283695,0.0565526677200393,0.0971248006565249,0.2279200060063874
videofeedback,annotated,LVDM,3172,0.08290499452422252,0.08069759585575945,0.00979653463282484,0.025752214981672277,0.05358750307917135,0.11526424825991463,0.25566554787357126
videofeedback,annotated,LaVie-base,3214,0.12815919010749813,0.11346735354209361,0.015115658838695636,0.04504187208485645,0.09145968927617396,0.17859051347073585,0.36070136284699067
videofeedback,annotated,ModelScope,4565,0.10297900910682019,0.1087934839711587,0.0082636885983903,0.0249342178937712,0.061392516443694,0.1427832666441556,0.331751820921533
videofeedback,annotated,Pika,4644,0.0909425424701026,0.08769747332815733,0.010382218811961729,0.030757354877666274,0.0621273625130677,0.12241226337869385,0.2737967890752238
videofeedback,annotated,SoRA-Clip,920,0.12514112527121335,0.12432307178465271,0.005998646688307775,0.029543277972395525,0.0782699503343133,0.1922676763500582,0.3836086656403366
videofeedback,annotated,Text2Video-Zero,4642,0.17361973045061463,0.13804940818432124,0.01715212719089526,0.06369182312572053,0.13962566277153884,0.2545969492973146,0.4369740128693986
videofeedback,annotated,VideoCrafter2,4596,0.07608335300608043,0.06766896686795108,0.010011162952663924,0.029434564194946927,0.055305342503595395,0.10093983475961815,0.21442867000369084
videofeedback,annotated,ZeroScope-576w,2178,0.09685074785725166,0.10215285584368392,0.010572406185425895,0.0279483867443839,0.05597709487901725,0.13093137735264532,0.3179062834555384
videofeedback,real,DiDeMo,1861,0.41523279126875895,0.2258968441906403,0.0755816007694805,0.2269081455386327,0.4027019267085582,0.5919470616781435,0.7978305885756412
videofeedback,real,Panda70M,2219,0.3150653646121388,0.20154847235444703,0.041268828039037565,0.1540651384980531,0.2873222008800125,0.44691269006452927,0.6966661596270147
genvideo,annotated,Crafter,188,0.13260149108628155,0.14888162561724286,0.014074176439564934,0.04215183678320605,0.07300969565057844,0.1687818231831683,0.444833907838819
genvideo,annotated,Gen2,1380,0.07973486981626843,0.07297492177528349,0.011771672975420056,0.028209250646463225,0.0548894451966643,0.1112758807734458,0.22154440939075537
genvideo,annotated,Lavie,1400,0.11076370481113669,0.11344493615781813,0.00963052435381817,0.031345867523750195,0.06937009199580099,0.15186612691589033,0.33449095800564604
genvideo,annotated,ModelScope,700,0.12661885410137658,0.12312703046452718,0.011283113793694705,0.03600640759671988,0.08265858145638125,0.18048290845602294,0.3731091030493942
genvideo,annotated,MorphStudio,700,0.1272519070241206,0.1209869112998845,0.013661475991652506,0.03859794947619372,0.08780406307326435,0.17306468435559852,0.3893413231924107
genvideo,annotated,Show_1,700,0.12164542097295276,0.1307745387703107,0.01232134636824847,0.036861597209263526,0.0768310303888181,0.15526791739799223,0.39016227703473955
genvideo,annotated,Sora,56,0.09745371735408313,0.10652287358043354,0.00792648220497935,0.030659793741686925,0.055068865021958596,0.13210831977916454,0.2997208759753542
genvideo,annotated,WildScrape,515,0.17944123120032057,0.20156266212593762,0.013214922419187472,0.039184027904618654,0.0884963033660765,0.2643409400904686,0.6456488367689899
genvideo,real,MSR-VTT,9984,0.3491375779057265,0.19479563789745064,0.053399318989891593,0.1903065188382411,0.34601808282271923,0.48083884187493575,0.6911856418265605
