dataset,beta,mode,source_model,n_real,n_fake,n_total,auc,ap
comgenvid,0.0,patch_only,Sora,1698.0,1698.0,3396.0,0.9151674664713283,0.9168179765607428
comgenvid,0.0,patch_only,VEO3,1698.0,1698.0,3396.0,0.9373653407806037,0.9418295683391809
comgenvid,0.0,patch_only,Average,1698.0,1698.0,3396.0,0.926266403625966,0.9293237724499619
comgenvid,0.0,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.9091503757625198,0.909151226316074
comgenvid,0.0,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9317989639304053,0.9347884261685322
comgenvid,0.0,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.9204746698464625,0.9219698262423031
comgenvid,0.05,patch_only,Sora,1698.0,1698.0,3396.0,0.9165577600475027,0.9186848119387006
comgenvid,0.05,patch_only,VEO3,1698.0,1698.0,3396.0,0.9380019589317995,0.9423459715450455
comgenvid,0.05,patch_only,Average,1698.0,1698.0,3396.0,0.9272798594896511,0.930515391741873
comgenvid,0.05,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.909194077144732,0.9091314201690517
comgenvid,0.05,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9314907998185353,0.934171107431123
comgenvid,0.05,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.9203424384816337,0.9216512638000873
comgenvid,0.1,patch_only,Sora,1698.0,1698.0,3396.0,0.9170761069976319,0.9198089064603632
comgenvid,0.1,patch_only,VEO3,1698.0,1698.0,3396.0,0.9375633843460263,0.942032741980261
comgenvid,0.1,patch_only,Average,1698.0,1698.0,3396.0,0.9273197456718291,0.9309208242203121
comgenvid,0.1,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.9088364888505982,0.9089123668698014
comgenvid,0.1,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9307659118119981,0.9333056722549188
comgenvid,0.1,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.9198012003312981,0.9211090195623601
comgenvid,0.15,patch_only,Sora,1698.0,1698.0,3396.0,0.916920030632588,0.9204090405961067
comgenvid,0.15,patch_only,VEO3,1698.0,1698.0,3396.0,0.936414142044753,0.9411184629803353
comgenvid,0.15,patch_only,Average,1698.0,1698.0,3396.0,0.9266670863386706,0.930763751788221
comgenvid,0.15,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.9081813149537805,0.9085225863772213
comgenvid,0.15,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9296411214745818,0.9321512469502268
comgenvid,0.15,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.9189112182141812,0.9203369166637241
comgenvid,0.2,patch_only,Sora,1698.0,1698.0,3396.0,0.9162048540443202,0.9204683754272522
comgenvid,0.2,patch_only,VEO3,1698.0,1698.0,3396.0,0.9346138878830634,0.9395992588466606
comgenvid,0.2,patch_only,Average,1698.0,1698.0,3396.0,0.9254093709636918,0.9300338171369564
comgenvid,0.2,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.9072972290548986,0.9079453039728358
comgenvid,0.2,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9282475329529233,0.9307677981800598
comgenvid,0.2,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.9177723810039109,0.9193565510764479
comgenvid,0.25,patch_only,Sora,1698.0,1698.0,3396.0,0.914982602687843,0.9201225547865317
comgenvid,0.25,patch_only,VEO3,1698.0,1698.0,3396.0,0.9323787009174516,0.9376538933685907
comgenvid,0.25,patch_only,Average,1698.0,1698.0,3396.0,0.9236806518026472,0.9288882240775612
comgenvid,0.25,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.9061745197356829,0.9072309234365852
comgenvid,0.25,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9266212172291658,0.929243507997293
comgenvid,0.25,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.9163978684824243,0.9182372157169392
comgenvid,0.3,patch_only,Sora,1698.0,1698.0,3396.0,0.913187030817105,0.9191530350635883
comgenvid,0.3,patch_only,VEO3,1698.0,1698.0,3396.0,0.9295228502735151,0.9350863127226552
comgenvid,0.3,patch_only,Average,1698.0,1698.0,3396.0,0.9213549405453101,0.9271196738931218
comgenvid,0.3,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.9047569995047178,0.9063084896490179
comgenvid,0.3,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9246900323390228,0.9274429402731057
comgenvid,0.3,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.9147235159218703,0.9168757149610618
comgenvid,0.35,patch_only,Sora,1698.0,1698.0,3396.0,0.9109292994876532,0.917668322855808
comgenvid,0.35,patch_only,VEO3,1698.0,1698.0,3396.0,0.9261790008615416,0.9319665042817286
comgenvid,0.35,patch_only,Average,1698.0,1698.0,3396.0,0.9185541501745974,0.9248174135687683
comgenvid,0.35,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.9030512582529714,0.9051269542185864
comgenvid,0.35,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9225264670831478,0.9254343003621621
comgenvid,0.35,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.9127888626680596,0.9152806272903742
comgenvid,0.4,patch_only,Sora,1698.0,1698.0,3396.0,0.907946333315298,0.9154754834623897
comgenvid,0.4,patch_only,VEO3,1698.0,1698.0,3396.0,0.9223384817723617,0.9282853756657548
comgenvid,0.4,patch_only,Average,1698.0,1698.0,3396.0,0.9151424075438298,0.9218804295640722
comgenvid,0.4,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.901144351908502,0.9037749345927722
comgenvid,0.4,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.9201471696071454,0.9232468827642359
comgenvid,0.4,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.9106457607578237,0.913510908678504
comgenvid,0.45,patch_only,Sora,1698.0,1698.0,3396.0,0.9044944443750772,0.9127454573284948
comgenvid,0.45,patch_only,VEO3,1698.0,1698.0,3396.0,0.9179208269688861,0.9239377765023469
