dataset,mode,beta,alpha,avg_auc,avg_ap,n_rows
comgenvid,patch_only,0.0,,0.926266403625966,0.9293237724499619,5098
comgenvid,fused_alpha0p60,0.0,0.6,0.9204746698464625,0.9219698262423031,5098
comgenvid,patch_only,0.05,,0.9272798594896511,0.930515391741873,5098
comgenvid,fused_alpha0p60,0.05,0.6,0.9203424384816337,0.9216512638000873,5098
comgenvid,patch_only,0.1,,0.9273197456718291,0.9309208242203121,5098
comgenvid,fused_alpha0p60,0.1,0.6,0.9198012003312981,0.9211090195623601,5098
comgenvid,patch_only,0.15,,0.9266670863386706,0.930763751788221,5098
comgenvid,fused_alpha0p60,0.15,0.6,0.9189112182141812,0.9203369166637241,5098
comgenvid,patch_only,0.2,,0.9254093709636918,0.9300338171369564,5098
comgenvid,fused_alpha0p60,0.2,0.6,0.9177723810039109,0.9193565510764479,5098
comgenvid,patch_only,0.25,,0.9236806518026472,0.9288882240775612,5098
comgenvid,fused_alpha0p60,0.25,0.6,0.9163978684824243,0.9182372157169392,5098
comgenvid,patch_only,0.3,,0.9213549405453101,0.9271196738931218,5098
comgenvid,fused_alpha0p60,0.3,0.6,0.9147235159218703,0.9168757149610618,5098
comgenvid,patch_only,0.35,,0.9185541501745974,0.9248174135687683,5098
comgenvid,fused_alpha0p60,0.35,0.6,0.9127888626680596,0.9152806272903742,5098
comgenvid,patch_only,0.4,,0.9151424075438298,0.9218804295640722,5098
comgenvid,fused_alpha0p60,0.4,0.6,0.9106457607578237,0.913510908678504,5098
comgenvid,patch_only,0.45,,0.9112076356719816,0.9183416169154208,5098
comgenvid,fused_alpha0p60,0.45,0.6,0.9081830491356144,0.911496187034653,5098
comgenvid,patch_only,0.5,,0.9067389959225917,0.9142400420256013,5098
comgenvid,fused_alpha0p60,0.5,0.6,0.9055240281298167,0.9093772302371896,5098
comgenvid,patch_only,0.55,,0.9016992900953246,0.9094944786460978,5098
comgenvid,fused_alpha0p60,0.55,0.6,0.9026709521768144,0.9070723762994877,5098
comgenvid,patch_only,0.6,,0.8959874153892683,0.9040021409545324,5098
comgenvid,fused_alpha0p60,0.6,0.6,0.899535031166716,0.9045301903092207,5098
comgenvid,patch_only,0.65,,0.8897819925333067,0.8979925344134707,5098
comgenvid,fused_alpha0p60,0.65,0.6,0.89623054768237,0.9018495368495227,5098
comgenvid,patch_only,0.7,,0.88293639645339,0.8913813485240888,5098
comgenvid,fused_alpha0p60,0.7,0.6,0.892656398922865,0.8989580866220643,5098
comgenvid,patch_only,0.75,,0.8755306596411492,0.884269222321155,5098
comgenvid,fused_alpha0p60,0.75,0.6,0.8888594077977139,0.8959270197829023,5098
comgenvid,patch_only,0.8,,0.8674530140773944,0.8766048001472607,5098
comgenvid,fused_alpha0p60,0.8,0.6,0.884818764124911,0.8926826259319591,5098
comgenvid,patch_only,0.85,,0.8589650610917576,0.8687271297327367,5098
