dataset,source_model,comparison,n_boot,delta_auc_mean,delta_auc_ci_low,delta_auc_ci_high,delta_ap_mean,delta_ap_ci_low,delta_ap_ci_high
comgenvid,Sora,alpha_minus_global,500,0.06915319965397924,0.06214945069204164,0.07642779411764702,0.06635227439672214,0.059012604735564377,0.07390169683234515
comgenvid,Sora,alpha_minus_patch,500,-0.008062988235294121,-0.012788819204152188,-0.003037166955017321,-0.010590226250059917,-0.01608086823410008,-0.005132614273990411
comgenvid,Sora,patch_minus_global,500,0.07721618788927335,0.06672379757785465,0.08858139273356412,0.07694250064678204,0.06471966673156142,0.08942701296997313
comgenvid,VEO3,alpha_minus_global,500,0.0637713615916955,0.05736564013840832,0.07063774653979231,0.06483913657404278,0.057972602162577526,0.07158112356914208
comgenvid,VEO3,alpha_minus_patch,500,-0.00690207543252596,-0.011099982698961935,-0.0026833866782006864,-0.008856834093255444,-0.013390951573368837,-0.004052748852095167
comgenvid,VEO3,patch_minus_global,500,0.07067343702422144,0.06110359429065739,0.0811119982698963,0.07369597066729824,0.06280408185744168,0.0846805282537809
videofeedback,AnimateDiff,alpha_minus_global,500,0.014573806675962262,0.004628484759613349,0.02643922366685894,0.014876718142729527,0.00658238281574956,0.023469703830898907
videofeedback,AnimateDiff,alpha_minus_patch,500,0.043423869086516916,0.03711060463386232,0.04970924677639137,0.0596706704608613,0.05022582749499182,0.06961794102512545
videofeedback,AnimateDiff,patch_minus_global,500,-0.02885006241055466,-0.043906055126683406,-0.012886879017535763,-0.044793952318131776,-0.06093801365176264,-0.028082310634689297
videofeedback,Fast-SVD,alpha_minus_global,500,0.023423887999999997,0.012702124999999995,0.033736012500000016,0.02899281757828387,0.02050201457095558,0.03705550627379597
videofeedback,Fast-SVD,alpha_minus_patch,500,0.029718262000000002,0.023384712499999957,0.03679171249999993,0.016665428582134295,0.010230711558940083,0.023025072062267844
