alpha,source_model,n_real,n_fake,n_total,auc,ap
0.0,Sora,1698.0,1698.0,3396.0,0.917078014597649,0.9197963004863037
0.0,VEO3,1698.0,1698.0,3396.0,0.9375658122005935,0.9420218552674455
0.0,Average,1698.0,1698.0,3396.0,0.9273219133991213,0.9309090778768746
0.05,Sora,1698.0,1698.0,3396.0,0.9180103107515113,0.9205324283434616
0.05,VEO3,1698.0,1698.0,3396.0,0.9385641806823242,0.9428206948772384
0.05,Average,1698.0,1698.0,3396.0,0.9282872457169178,0.93167656161035
0.1,Sora,1698.0,1698.0,3396.0,0.9186890695212687,0.9210502758872666
0.1,VEO3,1698.0,1698.0,3396.0,0.9392464078157494,0.9434390997281007
0.1,Average,1698.0,1698.0,3396.0,0.9289677386685091,0.9322446878076837
0.15,Sora,1698.0,1698.0,3396.0,0.9191288580343258,0.921375162124733
0.15,VEO3,1698.0,1698.0,3396.0,0.9396480443284624,0.9438161496225043
0.15,Average,1698.0,1698.0,3396.0,0.9293884511813941,0.9325956558736186
0.2,Sora,1698.0,1698.0,3396.0,0.9193147623269112,0.921424496235899
0.2,VEO3,1698.0,1698.0,3396.0,0.9398322144392142,0.9439885316045403
0.2,Average,1698.0,1698.0,3396.0,0.9295734883830626,0.9327065139202196
0.25,Sora,1698.0,1698.0,3396.0,0.9192499039263264,0.9211551853184659
0.25,VEO3,1698.0,1698.0,3396.0,0.9398245840391453,0.9439598415463543
0.25,Average,1698.0,1698.0,3396.0,0.9295372439827359,0.93255751343241
0.3,Sora,1698.0,1698.0,3396.0,0.9188520826136478,0.9206352795131395
0.3,VEO3,1698.0,1698.0,3396.0,0.9394933553088854,0.9436127590023449
0.3,Average,1698.0,1698.0,3396.0,0.9291727189612666,0.9321240192577422
0.35,Sora,1698.0,1698.0,3396.0,0.9182284708262058,0.9198382691956273
0.35,VEO3,1698.0,1698.0,3396.0,0.9389443133402977,0.9430467981884714
0.35,Average,1698.0,1698.0,3396.0,0.9285863920832518,0.9314425336920493
0.4,Sora,1698.0,1698.0,3396.0,0.9172611441993005,0.9186751114183296
0.4,VEO3,1698.0,1698.0,3396.0,0.9381268200238347,0.942117015143749
0.4,Average,1698.0,1698.0,3396.0,0.9276939821115676,0.9303960632810393
0.45,Sora,1698.0,1698.0,3396.0,0.9158838569868798,0.9171278017749912
0.45,VEO3,1698.0,1698.0,3396.0,0.9369212168129624,0.9407284761734668
0.45,Average,1698.0,1698.0,3396.0,0.9264025368999211,0.928928138974229
0.5,Sora,1698.0,1698.0,3396.0,0.9140882851161415,0.9150630125028523
0.5,VEO3,1698.0,1698.0,3396.0,0.9353448455260189,0.9388755799263339
0.5,Average,1698.0,1698.0,3396.0,0.9247165653210803,0.926969296214593
0.55,Sora,1698.0,1698.0,3396.0,0.9117887600044948,0.9123964989241775
0.55,VEO3,1698.0,1698.0,3396.0,0.9332454449979952,0.9363750986594086
0.55,Average,1698.0,1698.0,3396.0,0.9225171025012451,0.9243857987917931
0.6,Sora,1698.0,1698.0,3396.0,0.9088364888505982,0.9089123668698014
0.6,VEO3,1698.0,1698.0,3396.0,0.9307659118119981,0.9333056722549188
0.6,Average,1698.0,1698.0,3396.0,0.9198012003312981,0.9211090195623601
0.65,Sora,1698.0,1698.0,3396.0,0.9052651147820271,0.9047708535284574
0.65,VEO3,1698.0,1698.0,3396.0,0.9275337437101225,0.9293291659730442
0.65,Average,1698.0,1698.0,3396.0,0.9163994292460749,0.9170500097507508
0.7,Sora,1698.0,1698.0,3396.0,0.9008589055786549,0.8996966138740929
0.7,VEO3,1698.0,1698.0,3396.0,0.9236685992389021,0.9245572677935073
0.7,Average,1698.0,1698.0,3396.0,0.9122637524087784,0.9121269408338002
0.75,Sora,1698.0,1698.0,3396.0,0.8953951922930183,0.8934779363468979
0.75,VEO3,1698.0,1698.0,3396.0,0.9188721991229202,0.9187183364980278
0.75,Average,1698.0,1698.0,3396.0,0.9071336957079692,0.9060981364224628
0.8,Sora,1698.0,1698.0,3396.0,0.888800445615364,0.8862103562900633
0.8,VEO3,1698.0,1698.0,3396.0,0.9131067381981991,0.9118577078499186
0.8,Average,1698.0,1698.0,3396.0,0.9009535919067815,0.899034032069991
0.85,Sora,1698.0,1698.0,3396.0,0.8805911756504223,0.8776038030430015
0.85,VEO3,1698.0,1698.0,3396.0,0.9059136987878762,0.9038341087069952
0.85,Average,1698.0,1698.0,3396.0,0.8932524372191493,0.8907189558749984
0.9,Sora,1698.0,1698.0,3396.0,0.8704531486499046,0.8677531750761998
0.9,VEO3,1698.0,1698.0,3396.0,0.8966916666319829,0.8941323951664937
0.9,Average,1698.0,1698.0,3396.0,0.8835724076409437,0.8809427851213467
0.95,Sora,1698.0,1698.0,3396.0,0.8573427339862181,0.8560831638462236
0.95,VEO3,1698.0,1698.0,3396.0,0.8845211785222273,0.882596928051501
0.95,Average,1698.0,1698.0,3396.0,0.8709319562542227,0.8693400459488623
1.0,Sora,1698.0,1698.0,3396.0,0.8393492101148583,0.8421312276534302
1.0,VEO3,1698.0,1698.0,3396.0,0.8670080230188361,0.8685682297718984
1.0,Average,1698.0,1698.0,3396.0,0.8531786165668471,0.8553497287126643
