alpha,source_model,n_real,n_fake,n_total,auc,ap
0.0,Crafter,188.0,188.0,376.0,0.8012392485287461,0.7964993871325621
0.0,Gen2,1380.0,1380.0,2760.0,0.8697219596723379,0.8944415245502941
0.0,Lavie,1400.0,1400.0,2800.0,0.8113742346938775,0.8097157540063129
0.0,ModelScope,700.0,700.0,1400.0,0.81535,0.8199500188978376
0.0,MorphStudio,700.0,700.0,1400.0,0.776845918367347,0.7693320162088527
0.0,Show_1,700.0,700.0,1400.0,0.8053357142857143,0.8024131164378869
0.0,Sora,56.0,56.0,112.0,0.8386479591836734,0.8737613701024927
0.0,WildScrape,515.0,515.0,1030.0,0.7394099349608823,0.7076946370295354
0.0,Average,704.875,704.875,1409.75,0.8072406212115724,0.8092259780457218
0.05,Crafter,188.0,188.0,376.0,0.8039554096876415,0.7961380800666583
0.05,Gen2,1380.0,1380.0,2760.0,0.8739818315479941,0.8977861117200234
0.05,Lavie,1400.0,1400.0,2800.0,0.8159734693877551,0.8140952345897838
0.05,ModelScope,700.0,700.0,1400.0,0.8183551020408163,0.8238413643690067
0.05,MorphStudio,700.0,700.0,1400.0,0.7821918367346938,0.774222660970441
0.05,Show_1,700.0,700.0,1400.0,0.8093326530612245,0.8035544733179236
0.05,Sora,56.0,56.0,112.0,0.8392857142857143,0.8744951646454617
0.05,WildScrape,515.0,515.0,1030.0,0.7412008671882365,0.6985676445006286
0.05,Average,704.875,704.875,1409.75,0.8105346104917595,0.8103375917724909
0.1,Crafter,188.0,188.0,376.0,0.8068979176097781,0.7968821228375533
0.1,Gen2,1380.0,1380.0,2760.0,0.8780529300567108,0.9009975303494975
0.1,Lavie,1400.0,1400.0,2800.0,0.8206290816326531,0.8186627323561375
0.1,ModelScope,700.0,700.0,1400.0,0.8214183673469387,0.8273825141816881
0.1,MorphStudio,700.0,700.0,1400.0,0.7875061224489796,0.7804496710014619
0.1,Show_1,700.0,700.0,1400.0,0.8134673469387755,0.8064531841813054
0.1,Sora,56.0,56.0,112.0,0.8399234693877552,0.8750243313965103
0.1,WildScrape,515.0,515.0,1030.0,0.7430747478555944,0.6891967377322175
0.1,Average,704.875,704.875,1409.75,0.8138712479096482,0.8118811030045464
0.15,Crafter,188.0,188.0,376.0,0.8096989588048891,0.79546156356079
0.15,Gen2,1380.0,1380.0,2760.0,0.882045788699853,0.9042699527671182
0.15,Lavie,1400.0,1400.0,2800.0,0.8251714285714286,0.8237432547352066
0.15,ModelScope,700.0,700.0,1400.0,0.8238918367346939,0.8303428254376296
0.15,MorphStudio,700.0,700.0,1400.0,0.7926265306122449,0.7872839964613536
0.15,Show_1,700.0,700.0,1400.0,0.8173428571428571,0.8096103236572448
0.15,Sora,56.0,56.0,112.0,0.842155612244898,0.8769832567106681
0.15,WildScrape,515.0,515.0,1030.0,0.7449561692902253,0.6815767906189815
0.15,Average,704.875,704.875,1409.75,0.8172361477626362,0.8136589954936241
0.2,Crafter,188.0,188.0,376.0,0.8116511996378452,0.7947930537800557
0.2,Gen2,1380.0,1380.0,2760.0,0.8858543373240916,0.9074431935158975
0.2,Lavie,1400.0,1400.0,2800.0,0.829761224489796,0.8290492374017275
0.2,ModelScope,700.0,700.0,1400.0,0.8264367346938775,0.8336072101042056
0.2,MorphStudio,700.0,700.0,1400.0,0.797830612244898,0.7933397001678864
0.2,Show_1,700.0,700.0,1400.0,0.8210489795918368,0.8124082110333266
0.2,Sora,56.0,56.0,112.0,0.8421556122448979,0.8777157838257392
0.2,WildScrape,515.0,515.0,1030.0,0.746856442643039,0.6779203298523326
0.2,Average,704.875,704.875,1409.75,0.8201993928587852,0.8157845899601464
0.25,Crafter,188.0,188.0,376.0,0.8147634676324128,0.7951972365599482
0.25,Gen2,1380.0,1380.0,2760.0,0.8894454946439824,0.9104044933505895
0.25,Lavie,1400.0,1400.0,2800.0,0.8340357142857143,0.8340826846609461
0.25,ModelScope,700.0,700.0,1400.0,0.8285469387755102,0.8359056995041353
0.25,MorphStudio,700.0,700.0,1400.0,0.802934693877551,0.8000569775525443
0.25,Show_1,700.0,700.0,1400.0,0.8245510204081633,0.8153029542922787
0.25,Sora,56.0,56.0,112.0,0.8443877551020408,0.8792101608964424
0.25,WildScrape,515.0,515.0,1030.0,0.7487303233103968,0.6761790873218105
0.25,Average,704.875,704.875,1409.75,0.8234244260044714,0.8182924117673369
0.3,Crafter,188.0,188.0,376.0,0.8178191489361704,0.7952503210693683
0.3,Gen2,1380.0,1380.0,2760.0,0.8927572988867885,0.9131391862246953
0.3,Lavie,1400.0,1400.0,2800.0,0.8383132653061225,0.8392078144802804
0.3,ModelScope,700.0,700.0,1400.0,0.8304632653061224,0.8378502676078358
0.3,MorphStudio,700.0,700.0,1400.0,0.8078142857142856,0.8063012787160806
0.3,Show_1,700.0,700.0,1400.0,0.8277489795918367,0.8179593618274259
0.3,Sora,56.0,56.0,112.0,0.84375,0.878786335217633
0.3,WildScrape,515.0,515.0,1030.0,0.7505665001413894,0.6754740971900681
0.3,Average,704.875,704.875,1409.75,0.8261540929853395,0.8204960827916734
0.35,Crafter,188.0,188.0,376.0,0.8201109099139883,0.7948161205113125
0.35,Gen2,1380.0,1380.0,2760.0,0.8957839739550515,0.9156272538516284
0.35,Lavie,1400.0,1400.0,2800.0,0.8424591836734694,0.8437479678657477
0.35,ModelScope,700.0,700.0,1400.0,0.8321244897959184,0.8393290802676473
0.35,MorphStudio,700.0,700.0,1400.0,0.812542857142857,0.8123215063521437
0.35,Show_1,700.0,700.0,1400.0,0.8310693877551022,0.8204198785815084
0.35,Sora,56.0,56.0,112.0,0.84375,0.8779178336963307
0.35,WildScrape,515.0,515.0,1030.0,0.7524064473560186,0.6752397341562876
0.35,Average,704.875,704.875,1409.75,0.8287809061990508,0.8224274219103258
0.4,Crafter,188.0,188.0,376.0,0.8227138976912631,0.796961347722098
0.4,Gen2,1380.0,1380.0,2760.0,0.8985570258349087,0.9178555398517919
0.4,Lavie,1400.0,1400.0,2800.0,0.8463239795918368,0.8477349686179213
0.4,ModelScope,700.0,700.0,1400.0,0.8335142857142855,0.840829448016899
0.4,MorphStudio,700.0,700.0,1400.0,0.8173,0.8191505617394372
0.4,Show_1,700.0,700.0,1400.0,0.8339000000000001,0.8222715877385566
0.4,Sora,56.0,56.0,112.0,0.8443877551020409,0.8776344863729997
0.4,WildScrape,515.0,515.0,1030.0,0.7543821283815628,0.6760021611719145
0.4,Average,704.875,704.875,1409.75,0.8313848840394873,0.8248050126539523
0.45,Crafter,188.0,188.0,376.0,0.8248076052512449,0.7986572166537916
0.45,Gen2,1380.0,1380.0,2760.0,0.9010118672547784,0.9197060348614632
0.45,Lavie,1400.0,1400.0,2800.0,0.8499168367346938,0.851713198120111
0.45,ModelScope,700.0,700.0,1400.0,0.8345285714285715,0.8418097638689991
0.45,MorphStudio,700.0,700.0,1400.0,0.8217673469387755,0.8249815729827845
0.45,Show_1,700.0,700.0,1400.0,0.8367877551020406,0.8243650423138151
0.45,Sora,56.0,56.0,112.0,0.8418367346938775,0.8755585967831454
0.45,WildScrape,515.0,515.0,1030.0,0.755905363370723,0.676735140961169
0.45,Average,704.875,704.875,1409.75,0.8333202600968381,0.8266908208181599
0.5,Crafter,188.0,188.0,376.0,0.8270993662290629,0.7985937519354587
0.5,Gen2,1380.0,1380.0,2760.0,0.903254043268221,0.9213047603276523
0.5,Lavie,1400.0,1400.0,2800.0,0.8532500000000001,0.855103068955956
0.5,ModelScope,700.0,700.0,1400.0,0.8349836734693878,0.8419544062974057
0.5,MorphStudio,700.0,700.0,1400.0,0.8259816326530613,0.8301720107495789
0.5,Show_1,700.0,700.0,1400.0,0.8392693877551018,0.8267274713691022
0.5,Sora,56.0,56.0,112.0,0.8399234693877551,0.8701820722138588
0.5,WildScrape,515.0,515.0,1030.0,0.7574964652653408,0.6777945684474133
0.5,Average,704.875,704.875,1409.75,0.8351572547534913,0.8277290137870532
0.55,Crafter,188.0,188.0,376.0,0.8291647804436396,0.8002987312444783
0.55,Gen2,1380.0,1380.0,2760.0,0.9051423020373872,0.922393293644675
0.55,Lavie,1400.0,1400.0,2800.0,0.8563892857142857,0.8579347937131855
0.55,ModelScope,700.0,700.0,1400.0,0.8350061224489795,0.8411437068086999
0.55,MorphStudio,700.0,700.0,1400.0,0.8299204081632652,0.8348133408551008
0.55,Show_1,700.0,700.0,1400.0,0.8415367346938776,0.8277047866814455
0.55,Sora,56.0,56.0,112.0,0.8322704081632654,0.855270790146935
0.55,WildScrape,515.0,515.0,1030.0,0.7587331510981242,0.6786022404656507
0.55,Average,704.875,704.875,1409.75,0.836020399095353,0.8272702104450214
0.6,Crafter,188.0,188.0,376.0,0.8307492077863285,0.8001706798423617
0.6,Gen2,1380.0,1380.0,2760.0,0.9065868515017853,0.9229016633127417
0.6,Lavie,1400.0,1400.0,2800.0,0.8592826530612245,0.8604199711664519
0.6,ModelScope,700.0,700.0,1400.0,0.8343489795918366,0.8393805161774688
0.6,MorphStudio,700.0,700.0,1400.0,0.8337632653061224,0.8392003368806195
0.6,Show_1,700.0,700.0,1400.0,0.8433469387755099,0.8283918037705862
0.6,Sora,56.0,56.0,112.0,0.8316326530612245,0.855859448039426
0.6,WildScrape,515.0,515.0,1030.0,0.7593929682345177,0.6797673965719542
0.6,Average,704.875,704.875,1409.75,0.8373879396648187,0.8282614769702012
0.65,Crafter,188.0,188.0,376.0,0.8314282480760525,0.8000173412978941
0.65,Gen2,1380.0,1380.0,2760.0,0.9076638311279143,0.9228107799489043
0.65,Lavie,1400.0,1400.0,2800.0,0.8618586734693878,0.8621161577282583
0.65,ModelScope,700.0,700.0,1400.0,0.8328163265306123,0.8365759151007439
0.65,MorphStudio,700.0,700.0,1400.0,0.8370836734693878,0.8431168055948507
0.65,Show_1,700.0,700.0,1400.0,0.8446204081632654,0.8282895320021015
0.65,Sora,56.0,56.0,112.0,0.8287627551020408,0.8522438625208002
0.65,WildScrape,515.0,515.0,1030.0,0.7596305024036197,0.6799838559299208
0.65,Average,704.875,704.875,1409.75,0.8379830522927851,0.8281442812654343
0.7,Crafter,188.0,188.0,376.0,0.8315414214576731,0.8000286948010162
0.7,Gen2,1380.0,1380.0,2760.0,0.9083034026465028,0.9220991950067187
0.7,Lavie,1400.0,1400.0,2800.0,0.8640464285714285,0.8632889576691861
0.7,ModelScope,700.0,700.0,1400.0,0.8301142857142857,0.8320484841633464
0.7,MorphStudio,700.0,700.0,1400.0,0.8398061224489796,0.8460761124877735
0.7,Show_1,700.0,700.0,1400.0,0.8454734693877551,0.8283135178755059
0.7,Sora,56.0,56.0,112.0,0.8220663265306122,0.8409264101070277
0.7,WildScrape,515.0,515.0,1030.0,0.759245923272693,0.6805254623404436
0.7,Average,704.875,704.875,1409.75,0.8375746725037412,0.8266633543063773
0.75,Crafter,188.0,188.0,376.0,0.8316263014938886,0.8007784684989648
0.75,Gen2,1380.0,1380.0,2760.0,0.9082025834908634,0.9203960036902201
0.75,Lavie,1400.0,1400.0,2800.0,0.865725,0.8635983013781806
0.75,ModelScope,700.0,700.0,1400.0,0.8262061224489795,0.8262510640595375
0.75,MorphStudio,700.0,700.0,1400.0,0.8419448979591837,0.8483645710357274
0.75,Show_1,700.0,700.0,1400.0,0.8455510204081633,0.827000105973267
0.75,Sora,56.0,56.0,112.0,0.8156887755102041,0.8333701026941983
0.75,WildScrape,515.0,515.0,1030.0,0.757794325572627,0.6798073945157495
0.75,Average,704.875,704.875,1409.75,0.8365923783604887,0.8249457514807306
0.8,Crafter,188.0,188.0,376.0,0.8309472612041647,0.8008484670356719
0.8,Gen2,1380.0,1380.0,2760.0,0.907033711405167,0.9174973658676677
0.8,Lavie,1400.0,1400.0,2800.0,0.8665591836734694,0.8628866631788666
0.8,ModelScope,700.0,700.0,1400.0,0.821369387755102,0.8197280090596782
0.8,MorphStudio,700.0,700.0,1400.0,0.8432244897959185,0.849378509441841
0.8,Show_1,700.0,700.0,1400.0,0.844634693877551,0.8251248015482562
0.8,Sora,56.0,56.0,112.0,0.8077168367346939,0.8239496682263462
0.8,WildScrape,515.0,515.0,1030.0,0.7552945612216043,0.6782727685568686
0.8,Average,704.875,704.875,1409.75,0.8345975157084589,0.8222107816143995
0.85,Crafter,188.0,188.0,376.0,0.829928700769579,0.7989791714084634
0.85,Gen2,1380.0,1380.0,2760.0,0.9045599663936147,0.9132055573346785
0.85,Lavie,1400.0,1400.0,2800.0,0.8663556122448981,0.8608412678926614
0.85,ModelScope,700.0,700.0,1400.0,0.8156,0.8125894154125127
0.85,MorphStudio,700.0,700.0,1400.0,0.843483673469388,0.8490439718883454
0.85,Show_1,700.0,700.0,1400.0,0.842804081632653,0.8223124739703178
0.85,Sora,56.0,56.0,112.0,0.7971938775510203,0.8078168628222521
0.85,WildScrape,515.0,515.0,1030.0,0.7519426901687248,0.6766573586002294
0.85,Average,704.875,704.875,1409.75,0.8314835752787348,0.8176807599161826
0.9,Crafter,188.0,188.0,376.0,0.8276652331371662,0.7968096153789286
0.9,Gen2,1380.0,1380.0,2760.0,0.9001286494433942,0.9070482117815086
0.9,Lavie,1400.0,1400.0,2800.0,0.8646642857142857,0.8575617684773366
0.9,ModelScope,700.0,700.0,1400.0,0.8072183673469389,0.8028353443156134
0.9,MorphStudio,700.0,700.0,1400.0,0.8419346938775508,0.8472137830878078
0.9,Show_1,700.0,700.0,1400.0,0.8392428571428572,0.8181158765781202
0.9,Sora,56.0,56.0,112.0,0.7831632653061223,0.7894609452765424
0.9,WildScrape,515.0,515.0,1030.0,0.7471505325666887,0.6745914610467544
0.9,Average,704.875,704.875,1409.75,0.8263959855668754,0.8117046257428264
0.95,Crafter,188.0,188.0,376.0,0.822346084200996,0.792249150971183
0.95,Gen2,1380.0,1380.0,2760.0,0.8921045998739761,0.8982224897299518
0.95,Lavie,1400.0,1400.0,2800.0,0.8603581632653061,0.8521321684707379
0.95,ModelScope,700.0,700.0,1400.0,0.7956285714285714,0.7913297520991629
0.95,MorphStudio,700.0,700.0,1400.0,0.8377448979591837,0.8435416285000524
0.95,Show_1,700.0,700.0,1400.0,0.8322877551020409,0.8116038959528131
0.95,Sora,56.0,56.0,112.0,0.7579719387755102,0.766874181169314
0.95,WildScrape,515.0,515.0,1030.0,0.7388481477990386,0.6706434567791596
0.95,Average,704.875,704.875,1409.75,0.8171612698005779,0.8033245904590469
1.0,Crafter,188.0,188.0,376.0,0.8002348347668629,0.7800229172078545
1.0,Gen2,1380.0,1380.0,2760.0,0.8731083280823355,0.883986211823218
1.0,Lavie,1400.0,1400.0,2800.0,0.8472724489795919,0.8423498927230442
1.0,ModelScope,700.0,700.0,1400.0,0.7763244897959183,0.777609477218053
1.0,MorphStudio,700.0,700.0,1400.0,0.8259489795918367,0.836052229750005
1.0,Show_1,700.0,700.0,1400.0,0.8178244897959184,0.8020084364176767
1.0,Sora,56.0,56.0,112.0,0.7050382653061225,0.7346438525283514
1.0,WildScrape,515.0,515.0,1030.0,0.723163351871053,0.6643840131750917
1.0,Average,704.875,704.875,1409.75,0.7961143985237049,0.7901321288554117
