alpha,source_model,n_real,n_fake,n_total,auc,ap
0.0,AnimateDiff,1398.0,1398.0,2796.0,0.8225049682665406,0.8222689689852907
0.0,Fast-SVD,1000.0,1000.0,2000.0,0.8712765,0.8964649994828616
0.0,LVDM,3172.0,3172.0,6344.0,0.8629826576014273,0.8702812095419106
0.0,LaVie-base,3214.0,3214.0,6428.0,0.7812300939921757,0.7785040396403067
0.0,ModelScope,4080.0,4080.0,8160.0,0.8366704512687428,0.8394405624141584
0.0,Pika,4080.0,4080.0,8160.0,0.8724434712610535,0.892522226548319
0.0,SoRA-Clip,920.0,920.0,1840.0,0.7886844281663515,0.78156360174597
0.0,Text2Video-Zero,4080.0,4080.0,8160.0,0.6635894848135333,0.6743195683174034
0.0,VideoCrafter2,4080.0,4080.0,8160.0,0.8493516616205306,0.8681956353811462
0.0,ZeroScope-576w,2178.0,2178.0,4356.0,0.8795720794218165,0.8789013944625595
0.0,Average,2820.2,2820.2,5640.4,0.8228305796412172,0.8302462206519927
0.05,AnimateDiff,1398.0,1398.0,2796.0,0.8264468349430312,0.8293969016829468
0.05,Fast-SVD,1000.0,1000.0,2000.0,0.8742179999999999,0.8984990133947774
0.05,LVDM,3172.0,3172.0,6344.0,0.8665288686155181,0.874488118883803
0.05,LaVie-base,3214.0,3214.0,6428.0,0.785806128213955,0.7878978810442777
0.05,ModelScope,4080.0,4080.0,8160.0,0.8398171376393695,0.8432678083030489
0.05,Pika,4080.0,4080.0,8160.0,0.8747634323337177,0.8945199579136844
0.05,SoRA-Clip,920.0,920.0,1840.0,0.7923806710775048,0.7870840925931926
0.05,Text2Video-Zero,4080.0,4080.0,8160.0,0.6707695958285276,0.6831507649611345
0.05,VideoCrafter2,4080.0,4080.0,8160.0,0.8543309664552097,0.8736615777180632
0.05,ZeroScope-576w,2178.0,2178.0,4356.0,0.8808002388017415,0.8810866579116998
0.05,Average,2820.2,2820.2,5640.4,0.8265861873908575,0.8353052774406627
0.1,AnimateDiff,1398.0,1398.0,2796.0,0.830322696842618,0.8358943368070709
0.1,Fast-SVD,1000.0,1000.0,2000.0,0.877163,0.9004540221208528
0.1,LVDM,3172.0,3172.0,6344.0,0.8699951220404262,0.8785699091182482
0.1,LaVie-base,3214.0,3214.0,6428.0,0.7904036052599683,0.7957943081499089
0.1,ModelScope,4080.0,4080.0,8160.0,0.8428514273356401,0.8469528355427011
0.1,Pika,4080.0,4080.0,8160.0,0.8769694348327568,0.8964310835384814
0.1,SoRA-Clip,920.0,920.0,1840.0,0.7961318525519849,0.7924675398575132
0.1,Text2Video-Zero,4080.0,4080.0,8160.0,0.6781568987889274,0.6918991681522473
0.1,VideoCrafter2,4080.0,4080.0,8160.0,0.8593303056516723,0.8788847636794423
0.1,ZeroScope-576w,2178.0,2178.0,4356.0,0.881896011623034,0.883078145344511
0.1,Average,2820.2,2820.2,5640.4,0.8303220354927028,0.8400426112310978
0.15,AnimateDiff,1398.0,1398.0,2796.0,0.834211862030573,0.8418160741509073
0.15,Fast-SVD,1000.0,1000.0,2000.0,0.880054,0.9022980779201363
0.15,LVDM,3172.0,3172.0,6344.0,0.8734143649747397,0.8825802840721858
0.15,LaVie-base,3214.0,3214.0,6428.0,0.7949659412441447,0.802641579367366
0.15,ModelScope,4080.0,4080.0,8160.0,0.8458169934640523,0.8505470189700653
0.15,Pika,4080.0,4080.0,8160.0,0.8789846453287198,0.8981494591454311
0.15,SoRA-Clip,920.0,920.0,1840.0,0.7995663988657846,0.7977149285502844
0.15,Text2Video-Zero,4080.0,4080.0,8160.0,0.6856930627643214,0.7005309359420873
0.15,VideoCrafter2,4080.0,4080.0,8160.0,0.8643611831987696,0.8840964721409121
0.15,ZeroScope-576w,2178.0,2178.0,4356.0,0.8827381840780288,0.8846051811984359
0.15,Average,2820.2,2820.2,5640.4,0.8339806635949133,0.8444980011457812
0.2,AnimateDiff,1398.0,1398.0,2796.0,0.8380698156573565,0.847596913534286
0.2,Fast-SVD,1000.0,1000.0,2000.0,0.8828210000000001,0.9039870709444023
0.2,LVDM,3172.0,3172.0,6344.0,0.876805083573322,0.8865556246727806
0.2,LaVie-base,3214.0,3214.0,6428.0,0.7995117231743976,0.8091864589036617
0.2,ModelScope,4080.0,4080.0,8160.0,0.8487144367550942,0.8540205993591977
0.2,Pika,4080.0,4080.0,8160.0,0.8808487120338331,0.8997116872213856
0.2,SoRA-Clip,920.0,920.0,1840.0,0.8034097353497164,0.8031402597540606
0.2,Text2Video-Zero,4080.0,4080.0,8160.0,0.693390522875817,0.7090445317418771
0.2,VideoCrafter2,4080.0,4080.0,8160.0,0.8693813076701268,0.8891647287338655
0.2,ZeroScope-576w,2178.0,2178.0,4356.0,0.8834437538419506,0.8860224156184349
0.2,Average,2820.2,2820.2,5640.4,0.8376396090931614,0.8488430290483953
0.25,AnimateDiff,1398.0,1398.0,2796.0,0.8419241876295791,0.8531853054402124
0.25,Fast-SVD,1000.0,1000.0,2000.0,0.8856520000000001,0.9055761961184001
0.25,LVDM,3172.0,3172.0,6344.0,0.8801185777507796,0.890421163877336
0.25,LaVie-base,3214.0,3214.0,6428.0,0.8040765761492289,0.8153686921103536
0.25,ModelScope,4080.0,4080.0,8160.0,0.8514713691849287,0.8572552209357567
0.25,Pika,4080.0,4080.0,8160.0,0.8825022227028068,0.9010346131429486
0.25,SoRA-Clip,920.0,920.0,1840.0,0.8070049621928166,0.8080882364876334
0.25,Text2Video-Zero,4080.0,4080.0,8160.0,0.7012873053633218,0.7176064819241964
0.25,VideoCrafter2,4080.0,4080.0,8160.0,0.8744054570357556,0.8941252179612522
0.25,ZeroScope-576w,2178.0,2178.0,4356.0,0.8839071067971644,0.8871018633581027
0.25,Average,2820.2,2820.2,5640.4,0.841234976480638,0.8529762991356193
0.3,AnimateDiff,1398.0,1398.0,2796.0,0.8456475733778687,0.8582974461336119
0.3,Fast-SVD,1000.0,1000.0,2000.0,0.888261,0.9070875146239141
0.3,LVDM,3172.0,3172.0,6344.0,0.8833343735936608,0.8941250815943199
0.3,LaVie-base,3214.0,3214.0,6428.0,0.8085247762879345,0.8212023135513282
0.3,ModelScope,4080.0,4080.0,8160.0,0.8541349480968858,0.8602955661794486
0.3,Pika,4080.0,4080.0,8160.0,0.8839329825067281,0.9020943628041159
0.3,SoRA-Clip,920.0,920.0,1840.0,0.8104631379962193,0.8126270759579775
0.3,Text2Video-Zero,4080.0,4080.0,8160.0,0.7093902585544021,0.7262949592476057
0.3,VideoCrafter2,4080.0,4080.0,8160.0,0.8793786043829297,0.8989589272617782
0.3,ZeroScope-576w,2178.0,2178.0,4356.0,0.8841963334825845,0.8879306598960479
0.3,Average,2820.2,2820.2,5640.4,0.8447263988279212,0.8568913907250149
0.35,AnimateDiff,1398.0,1398.0,2796.0,0.8493182576376226,0.8635477463528267
0.35,Fast-SVD,1000.0,1000.0,2000.0,0.8908659999999999,0.9084873045189433
0.35,LVDM,3172.0,3172.0,6344.0,0.8865000779201367,0.897745959905006
0.35,LaVie-base,3214.0,3214.0,6428.0,0.8128974667069901,0.8266010865892913
0.35,ModelScope,4080.0,4080.0,8160.0,0.8566384924067665,0.8631882116849988
0.35,Pika,4080.0,4080.0,8160.0,0.8851359453094962,0.9028626404434174
0.35,SoRA-Clip,920.0,920.0,1840.0,0.8138657844990548,0.8170027117259899
0.35,Text2Video-Zero,4080.0,4080.0,8160.0,0.7176550485390235,0.7350140874758193
0.35,VideoCrafter2,4080.0,4080.0,8160.0,0.8843762014609765,0.9037203093976168
0.35,ZeroScope-576w,2178.0,2178.0,4356.0,0.8841402589211255,0.8883902248223605
0.35,Average,2820.2,2820.2,5640.4,0.8481393533401193,0.860656028291627
0.4,AnimateDiff,1398.0,1398.0,2796.0,0.8528159991485895,0.8683795656307829
0.4,Fast-SVD,1000.0,1000.0,2000.0,0.8931840000000001,0.9095099373561809
0.4,LVDM,3172.0,3172.0,6344.0,0.8895376712056471,0.9011865519704729
0.4,LaVie-base,3214.0,3214.0,6428.0,0.817171316839171,0.8315917644900637
0.4,ModelScope,4080.0,4080.0,8160.0,0.8589863874471357,0.8658325440837751
0.4,Pika,4080.0,4080.0,8160.0,0.8860402249134949,0.9032238103381016
0.4,SoRA-Clip,920.0,920.0,1840.0,0.8170888468809074,0.8206862963790983
0.4,Text2Video-Zero,4080.0,4080.0,8160.0,0.7260604094579008,0.7438852290495508
0.4,VideoCrafter2,4080.0,4080.0,8160.0,0.8893913398692811,0.9084166126545756
0.4,ZeroScope-576w,2178.0,2178.0,4356.0,0.8837481586041565,0.8884666000476849
0.4,Average,2820.2,2820.2,5640.4,0.8514024354366283,0.8641178912000287
0.45,AnimateDiff,1398.0,1398.0,2796.0,0.856207826017548,0.8729121983191891
