Generative Model,n_real,n_annotated,n_total,final_score AUC,final_score AP
AnimateDiff,1398.0,1398.0,2796.0,0.8647009523107811,0.8832627088045897
Fast-SVD,1000.0,1000.0,2000.0,0.9014270000000001,0.9116909447028934
LVDM,3172.0,3172.0,6344.0,0.9003692659128026,0.913245088596135
LaVie-base,3214.0,3214.0,6428.0,0.8326328032034708,0.8480272837833465
ModelScope,4080.0,4080.0,8160.0,0.8660551831026528,0.8732217189550036
Pika,4080.0,4080.0,8160.0,0.8862728878316033,0.9000630680071693
SoRA-Clip,920.0,920.0,1840.0,0.8286625708884688,0.8328073283169724
Text2Video-Zero,4080.0,4080.0,8160.0,0.7607197952710496,0.7782970449505653
VideoCrafter2,4080.0,4080.0,8160.0,0.9096249038831219,0.9265122828167115
ZeroScope-576w,2178.0,2178.0,4356.0,0.8772270665583962,0.8831686304710291
Average,2820.2,2820.2,5640.4,0.8627692428962348,0.8750296099404415
