Generative Model,n_real,n_annotated,n_total,final_score AUC,final_score AP
AnimateDiff,1398.0,1398.0,2796.0,0.8461656341268233,0.8659162027273873
Fast-SVD,1000.0,1000.0,2000.0,0.8771800000000001,0.8803514645119668
LVDM,3172.0,3172.0,6344.0,0.8731339419320059,0.8997678921497079
LaVie-base,3214.0,3214.0,6428.0,0.8336175757972375,0.8472577718962522
ModelScope,4080.0,4080.0,8160.0,0.8328692089580931,0.8495836105103092
Pika,4080.0,4080.0,8160.0,0.8318677611976163,0.8451749220935041
SoRA-Clip,920.0,920.0,1840.0,0.8237624054820416,0.8252624916541884
Text2Video-Zero,4080.0,4080.0,8160.0,0.8356513420319109,0.8385028106812952
VideoCrafter2,4080.0,4080.0,8160.0,0.9425133962898885,0.9493011031670711
ZeroScope-576w,2178.0,2178.0,4356.0,0.778124976284255,0.8127119261579863
Average,2820.2,2820.2,5640.4,0.8474886242099873,0.8613830195549669
