Generative Model,n_real,n_annotated,n_total,patch_final_score AUC,patch_final_score AP
AnimateDiff,1398.0,1398.0,2796.0,0.8225049682665406,0.8222689689852907
Fast-SVD,1000.0,1000.0,2000.0,0.8712765,0.8964649994828616
LVDM,3172.0,3172.0,6344.0,0.8629826576014273,0.8702812095419106
LaVie-base,3214.0,3214.0,6428.0,0.7812300939921757,0.7785040396403067
ModelScope,4080.0,4080.0,8160.0,0.8366704512687428,0.8394405624141584
Pika,4080.0,4080.0,8160.0,0.8724434712610535,0.892522226548319
SoRA-Clip,920.0,920.0,1840.0,0.7886844281663515,0.78156360174597
Text2Video-Zero,4080.0,4080.0,8160.0,0.6635894848135333,0.6743195683174034
VideoCrafter2,4080.0,4080.0,8160.0,0.8493516616205306,0.8681956353811462
ZeroScope-576w,2178.0,2178.0,4356.0,0.8795720794218165,0.8789013944625595
Average,2820.2,2820.2,5640.4,0.8228305796412172,0.8302462206519927
