dataset,scenario,condition,baseline,metric,delta,bootstrap_mean,ci95_low,ci95_high,iterations
Macro-3,A_original_calibration_to_perturbed_test,R0_original,R0_original,auc,0.0,0.0,0.0,0.0,1000
Macro-3,A_original_calibration_to_perturbed_test,R0_original,R0_original,real_positive_ap,0.0,0.0,0.0,0.0,1000
Macro-3,A_original_calibration_to_perturbed_test,R1_h264_crf23,R0_original,auc,-0.0031766666666666506,-0.003104471666666667,-0.010019458333333299,0.0029530833333333167,1000
Macro-3,A_original_calibration_to_perturbed_test,R1_h264_crf23,R0_original,real_positive_ap,-0.002365435868823575,-0.002284500417877356,-0.007138496002063871,0.0032046595081634947,1000
Macro-3,A_original_calibration_to_perturbed_test,R2_h264_crf35,R0_original,auc,-0.02007666666666666,-0.02005974166666667,-0.0286735,-0.011731291666666675,1000
Macro-3,A_original_calibration_to_perturbed_test,R2_h264_crf35,R0_original,real_positive_ap,-0.019642954909468966,-0.019192515506066335,-0.027439910846320734,-0.011208872667603313,1000
Macro-3,A_original_calibration_to_perturbed_test,R3_resize_half_restore,R0_original,auc,-0.006786666666666677,-0.006857275000000001,-0.013455125000000012,-0.0009708749999999856,1000
Macro-3,A_original_calibration_to_perturbed_test,R3_resize_half_restore,R0_original,real_positive_ap,-0.009709996125947962,-0.009124406253294763,-0.01626501058492558,-0.0030567294949347024,1000
Macro-3,A_original_calibration_to_perturbed_test,R4_drop10,R0_original,auc,-0.003003333333333316,-0.0030064816666666677,-0.006366750000000002,-3.4666666666637215e-05,1000
Macro-3,A_original_calibration_to_perturbed_test,R4_drop10,R0_original,real_positive_ap,-0.0024285422423378305,-0.0024750817796006528,-0.005674519801392413,0.0005512966875598635,1000
Macro-3,A_original_calibration_to_perturbed_test,R5_drop25,R0_original,auc,-0.004489999999999994,-0.004487508333333334,-0.008740333333333348,-0.00024795833333336384,1000
Macro-3,A_original_calibration_to_perturbed_test,R5_drop25,R0_original,real_positive_ap,-0.005055626793352871,-0.005027932312822698,-0.009943836715033728,-0.0005028423973648119,1000
Macro-3,A_original_calibration_to_perturbed_test,R6_repeat10,R0_original,auc,-0.004575000000000031,-0.004597521666666668,-0.01326929166666666,0.005225833333333344,1000
Macro-3,A_original_calibration_to_perturbed_test,R6_repeat10,R0_original,real_positive_ap,-0.007716277094492949,-0.007261078381723159,-0.015058162884312429,0.00017954416206770755,1000
Macro-3,A_original_calibration_to_perturbed_test,R7_repeat25,R0_original,auc,-0.025783333333333353,-0.02612396166666667,-0.04261920833333328,-0.010794750000000016,1000
Macro-3,A_original_calibration_to_perturbed_test,R7_repeat25,R0_original,real_positive_ap,-0.022600179381178812,-0.0224397622836871,-0.03667970167193624,-0.009921182605085115,1000
Macro-3,A_original_calibration_to_perturbed_test,R8_scene_cut,R0_original,auc,0.057673333333333306,0.057805515,0.03435841666666665,0.08339183333333339,1000
Macro-3,A_original_calibration_to_perturbed_test,R8_scene_cut,R0_original,real_positive_ap,0.05692770021783922,0.05598940257076106,0.035817730219870655,0.07710330738560488,1000
Macro-3,A_original_calibration_to_perturbed_test,R9_4fps,R0_original,auc,-0.008769999999999995,-0.008807593333333336,-0.016764916666666668,-0.0013082083333333264,1000
Macro-3,A_original_calibration_to_perturbed_test,R9_4fps,R0_original,real_positive_ap,-0.008486115846352695,-0.008445984652154464,-0.015436537833977282,-0.001219245521505182,1000
comgenvid,A_original_calibration_to_perturbed_test,R0_original,R0_original,auc,0.0,0.0,0.0,0.0,1000
comgenvid,A_original_calibration_to_perturbed_test,R0_original,R0_original,real_positive_ap,0.0,0.0,0.0,0.0,1000
comgenvid,A_original_calibration_to_perturbed_test,R1_h264_crf23,R0_original,auc,0.0009000000000000119,0.0009685000000000005,-0.012302500000000088,0.012902500000000018,1000
comgenvid,A_original_calibration_to_perturbed_test,R1_h264_crf23,R0_original,real_positive_ap,0.0049489323924951645,0.004859480174408339,-0.004931432492789896,0.01633008202762527,1000
comgenvid,A_original_calibration_to_perturbed_test,R2_h264_crf35,R0_original,auc,-0.006699999999999984,-0.0068271000000000035,-0.022102500000000063,0.006799999999999919,1000
comgenvid,A_original_calibration_to_perturbed_test,R2_h264_crf35,R0_original,real_positive_ap,-0.00015251582771197425,-0.00045387143975939964,-0.01345450274035375,0.012020498024802491,1000
comgenvid,A_original_calibration_to_perturbed_test,R3_resize_half_restore,R0_original,auc,-0.014700000000000046,-0.014938700000000001,-0.029407500000000038,-0.0031999999999999225,1000
comgenvid,A_original_calibration_to_perturbed_test,R3_resize_half_restore,R0_original,real_positive_ap,-0.01797873777296477,-0.017882427291068006,-0.033489954115647265,-0.005825884588409092,1000
comgenvid,A_original_calibration_to_perturbed_test,R4_drop10,R0_original,auc,-0.00539999999999996,-0.005543099999999999,-0.01230249999999998,2.4999999999946753e-06,1000
comgenvid,A_original_calibration_to_perturbed_test,R4_drop10,R0_original,real_positive_ap,-0.0051639438701389095,-0.0052248247860525315,-0.011660846499894255,-0.00019974650654650013,1000
comgenvid,A_original_calibration_to_perturbed_test,R5_drop25,R0_original,auc,-0.005400000000000016,-0.005435400000000001,-0.013600000000000004,0.0014999999999998931,1000
