dataset,contrast,metric,delta,ci95_low,ci95_high
comgenvid,D2_vs_SPLIT,auc,0.26392974241199196,0.23773231727546004,0.2929597515691583
comgenvid,D2_vs_SPLIT,ap_real,0.20049489410216215,0.17321107403274916,0.23531865317520842
comgenvid,D2_vs_TTR,auc,0.23926344611385852,0.21582408137047884,0.26637664427116214
comgenvid,D2_vs_TTR,ap_real,0.1855825679657308,0.16008516988050123,0.21926002822625473
comgenvid,D2_vs_pooled,auc,-0.011517800010912627,-0.018066067993249214,-0.005457083418858811
comgenvid,D2_vs_pooled,ap_real,-0.01267470332144327,-0.019204102918783727,-0.00727312686398625
comgenvid,D2_vs_Global,auc,0.01693940010218209,0.010233186747322135,0.02421237020684824
comgenvid,D2_vs_Global,ap_real,0.012840688406618894,0.006666643381608906,0.019932031392779718
comgenvid,D2raw_vs_SPLITraw,auc,0.6158284185098288,0.5909204890285331,0.6410629140195625
comgenvid,D2raw_vs_SPLITraw,ap_real,0.52596677989504,0.5033958805179667,0.5455778326009045
comgenvid,D2raw_vs_TTRraw,auc,0.5666675760536902,0.5421108054779157,0.5918454334632113
comgenvid,D2raw_vs_TTRraw,ap_real,0.49949056968133787,0.47489735475828454,0.5218148150382421
comgenvid,D2raw_vs_pooledraw,auc,-0.023385300668151365,-0.03457428515865551,-0.012936865763656252
comgenvid,D2raw_vs_pooledraw,ap_real,-0.027720566410147862,-0.04034477702584958,-0.017570003183178553
comgenvid,source_balanced_vs_clip,auc,0.004234540007242105,0.001979538323305241,0.006633409415449129
comgenvid,source_balanced_vs_clip,ap_real,0.005073745044564371,0.0020629613426229212,0.00893771284684754
genvideo,D2_vs_SPLIT,auc,0.06845450028343625,0.05301022357651978,0.08539747814954132
genvideo,D2_vs_SPLIT,ap_real,0.027518535924207388,0.013126771852692126,0.044712634959832825
genvideo,D2_vs_TTR,auc,0.021024979025934143,0.007355771139580908,0.03521518022463375
genvideo,D2_vs_TTR,ap_real,-0.010241441728708889,-0.02326524421505435,0.004395098782496984
genvideo,D2_vs_pooled,auc,0.020872673788111307,0.01549608870885812,0.0268828246732518
genvideo,D2_vs_pooled,ap_real,0.019641796726662664,0.01362927960951977,0.025896615333702067
genvideo,D2_vs_Global,auc,0.009407888399440623,0.003329673759163002,0.016237730193000365
genvideo,D2_vs_Global,ap_real,0.00803978573485653,0.0017655858240868266,0.014770934222157165
genvideo,D2raw_vs_SPLITraw,auc,0.2805590919867522,0.25124562480211776,0.3084586712933933
genvideo,D2raw_vs_SPLITraw,ap_real,0.2057448726710832,0.17859087329918216,0.23102704049958384
genvideo,D2raw_vs_TTRraw,auc,0.1680135830427677,0.14226879371560613,0.19372966986698092
genvideo,D2raw_vs_TTRraw,ap_real,0.11287508982738581,0.08837532203789705,0.13644114677085775
genvideo,D2raw_vs_pooledraw,auc,0.035314700178649794,0.024662831761378567,0.04733029362666024
genvideo,D2raw_vs_pooledraw,ap_real,0.03377537764103433,0.022889291621293748,0.04626758577368699
genvideo,source_balanced_vs_clip,auc,0.0,0.0,0.0
genvideo,source_balanced_vs_clip,ap_real,0.0,0.0,0.0
videofeedback,D2_vs_SPLIT,auc,0.07382693724067868,0.03733855401951084,0.11013722768360446
videofeedback,D2_vs_SPLIT,ap_real,0.035724704307837474,0.006070208646637907,0.06516255287022972
videofeedback,D2_vs_TTR,auc,0.033199216907534135,-0.0012195114741996747,0.06595748078885032
videofeedback,D2_vs_TTR,ap_real,0.007436569948261251,-0.02104702622001072,0.034260858325081106
videofeedback,D2_vs_pooled,auc,0.049862888861351484,0.036612041638536694,0.06316503556544542
videofeedback,D2_vs_pooled,ap_real,0.05406961052936765,0.040187234542192835,0.0674315465669608
videofeedback,D2_vs_Global,auc,0.0019797241963350753,-0.01474026310610734,0.01738164387310963
videofeedback,D2_vs_Global,ap_real,-0.004866698673287151,-0.018283465856483494,0.008270941415163626
videofeedback,D2raw_vs_SPLITraw,auc,0.21021348191916212,0.16113976559088003,0.25821812616628737
videofeedback,D2raw_vs_SPLITraw,ap_real,0.1617219032035898,0.11557128379952056,0.20266548567036816
videofeedback,D2raw_vs_TTRraw,auc,0.14165951839984992,0.09366856440581095,0.18779590426158319
videofeedback,D2raw_vs_TTRraw,ap_real,0.11753030487120975,0.07422446558056564,0.15837849698704087
videofeedback,D2raw_vs_pooledraw,auc,0.06440282440501865,0.04151665665383862,0.0874887127221826
videofeedback,D2raw_vs_pooledraw,ap_real,0.08113967290264956,0.05696659624554802,0.10297583030474945
videofeedback,source_balanced_vs_clip,auc,0.0,0.0,0.0
videofeedback,source_balanced_vs_clip,ap_real,0.0,0.0,0.0
Average,D2_vs_SPLIT,auc,0.13540372664536895,0.1191462841426672,0.1518477711752863
Average,D2_vs_SPLIT,ap_real,0.08791271144473567,0.07351576590500324,0.10405747278684621
Average,D2_vs_TTR,auc,0.0978292140157756,0.08280465582353005,0.1130293133872163
Average,D2_vs_TTR,ap_real,0.06092589872842772,0.04724720161311968,0.07614515518409766
Average,D2_vs_pooled,auc,0.019739254212850055,0.01469594842240932,0.025020397395470177
Average,D2_vs_pooled,ap_real,0.020345567978195683,0.014730301648379506,0.02566025152545339
Average,D2_vs_Global,auc,0.009442337565985929,0.003452329113460051,0.015632189424968083
Average,D2_vs_Global,ap_real,0.005337925156062758,0.00012419832139321435,0.010804572976048407
Average,D2raw_vs_SPLITraw,auc,0.36886699747191437,0.34790723764278186,0.39007586318491627
Average,D2raw_vs_SPLITraw,ap_real,0.297811185256571,0.2781484086803813,0.31467125244565997
Average,D2raw_vs_TTRraw,auc,0.29211355916543597,0.27263486281514726,0.31211351677162386
Average,D2raw_vs_TTRraw,ap_real,0.24329865479331114,0.2245401720145217,0.2602239057367554
Average,D2raw_vs_pooledraw,auc,0.025444074638505693,0.01625678256620568,0.0346450516717954
Average,D2raw_vs_pooledraw,ap_real,0.02906482804451201,0.019663116761183642,0.03819695616513665
Average,source_balanced_vs_clip,auc,0.0014115133357473681,0.0006598461077684137,0.0022111364718163766
Average,source_balanced_vs_clip,ap_real,0.0016912483481881235,0.0006876537808743069,0.0029792376156158465
