dataset,contrast,metric,delta,ci95_low,ci95_high
comgenvid,D2_vs_scalar_Gaussian,auc,0.12523251372761046,0.10951542331776505,0.14314949812131764
comgenvid,D2_vs_scalar_Gaussian,ap_real,0.11924643400509582,0.09997954306765741,0.141628036386367
comgenvid,D2raw_vs_scalar_Gaussian_raw,auc,0.3823213922549987,0.35461274650484675,0.4119886149486659
comgenvid,D2raw_vs_scalar_Gaussian_raw,ap_real,0.3798096856931341,0.34948151370717595,0.40930454947909695
comgenvid,scalar_Gaussian_vs_SPLIT,auc,0.1386972286843815,0.11479201461009449,0.16520698953822127
comgenvid,scalar_Gaussian_vs_SPLIT,ap_real,0.08124846009706632,0.060091217547973405,0.10643107020837983
genvideo,D2_vs_scalar_Gaussian,auc,0.1162204182816926,0.10078919730616862,0.131916745788605
genvideo,D2_vs_scalar_Gaussian,ap_real,0.10640807270830055,0.08736619096049614,0.12533141224498584
genvideo,D2raw_vs_scalar_Gaussian_raw,auc,0.3317729509973909,0.30789544115030415,0.35576814681642166
genvideo,D2raw_vs_scalar_Gaussian_raw,ap_real,0.30749107765749006,0.28081638431543743,0.33094694041477357
genvideo,scalar_Gaussian_vs_SPLIT,auc,-0.04776591799825636,-0.06574689436202544,-0.029228406137748585
genvideo,scalar_Gaussian_vs_SPLIT,ap_real,-0.07888953678409316,-0.09547354963393102,-0.06014535255837335
videofeedback,D2_vs_scalar_Gaussian,auc,0.04627119554035908,0.020288518855367706,0.07247284236638589
videofeedback,D2_vs_scalar_Gaussian,ap_real,0.043220675692338784,0.01986304473018023,0.06744122901987462
videofeedback,D2raw_vs_scalar_Gaussian_raw,auc,0.15276504058493412,0.1079026581778905,0.19530504884902397
videofeedback,D2raw_vs_scalar_Gaussian_raw,ap_real,0.16320198426276,0.11933552442399255,0.20340485935659558
videofeedback,scalar_Gaussian_vs_SPLIT,auc,0.027555741700319603,-0.005856816637231454,0.061622326635594096
videofeedback,scalar_Gaussian_vs_SPLIT,ap_real,-0.00749597138450131,-0.03473172537321686,0.019800831422900105
Average,D2_vs_scalar_Gaussian,auc,0.09590804251655405,0.08399705863098489,0.10837597430218322
Average,D2_vs_scalar_Gaussian,ap_real,0.08962506080191172,0.07774480764964892,0.10232158585570648
Average,D2raw_vs_scalar_Gaussian_raw,auc,0.2889531279457746,0.2704583777233821,0.30746593607206063
Average,D2raw_vs_scalar_Gaussian_raw,ap_real,0.2835009158711281,0.2631754800677178,0.3014014706482586
Average,scalar_Gaussian_vs_SPLIT,auc,0.03949568412881491,0.024727636211454684,0.05567966031197569
Average,scalar_Gaussian_vs_SPLIT,ap_real,-0.00171234935717605,-0.013987929176413422,0.011662413872970918
