dataset,contrast,metric,delta,ci95_low,ci95_high
comgenvid,clean_Local_increment,auc,0.00010000000000010001,-0.03354555883778094,0.03425720987270042
comgenvid,clean_Local_increment,ap_real,-0.0057679948254938385,-0.04384466901561928,0.032226760217609215
comgenvid,crf23_Local_increment,auc,0.005400000000000071,-0.0288375922469301,0.040593961765252026
comgenvid,crf23_Local_increment,ap_real,-0.003844981003038206,-0.0425906839953434,0.034857112144857524
comgenvid,crf35_Local_increment,auc,0.006299999999999972,-0.025001991868175755,0.03743357924492116
comgenvid,crf35_Local_increment,ap_real,0.0032063862913893626,-0.02999738680183977,0.040437755683648706
comgenvid,crf23_Full_drop,auc,0.0021999999999999797,-0.006344624965425966,0.012585757707338253
comgenvid,crf23_Full_drop,ap_real,-0.0009787157551294223,-0.011401682434724447,0.009022473667359325
comgenvid,crf23_Local_interaction,auc,0.005299999999999971,-0.006888709473150898,0.017348651984549747
comgenvid,crf23_Local_interaction,ap_real,0.0019230138224556326,-0.011076547053195131,0.014372840526041777
comgenvid,crf35_Full_drop,auc,-0.015800000000000036,-0.03205284056511747,-0.0014906144203018234
comgenvid,crf35_Full_drop,ap_real,-0.01694838189194514,-0.036592289169247866,-0.00091585908225553
comgenvid,crf35_Local_interaction,auc,0.006199999999999872,-0.011020380320849482,0.023997111944985546
comgenvid,crf35_Local_interaction,ap_real,0.008974381116883201,-0.010387070907959647,0.030830344761178866
genvideo,clean_Local_increment,auc,0.0031600000000001627,-0.010379337561994597,0.01586152361275785
genvideo,clean_Local_increment,ap_real,0.0046356777820223405,-0.010641331765156069,0.017465241025433915
genvideo,crf23_Local_increment,auc,0.0048599999999999755,-0.00878715846660649,0.017882159976781713
genvideo,crf23_Local_increment,ap_real,0.0062777158458116045,-0.010568492214457641,0.01971669078931278
genvideo,crf35_Local_increment,auc,0.0044399999999999995,-0.008741808437611218,0.0169110228991365
genvideo,crf35_Local_increment,ap_real,0.0042081747846521855,-0.010059475197511047,0.01927210080941138
genvideo,crf23_Full_drop,auc,-0.0008400000000000629,-0.007053126101708274,0.004592230231799225
genvideo,crf23_Full_drop,ap_real,-0.004517163228154986,-0.010780504317254075,0.002343638218953678
genvideo,crf23_Local_interaction,auc,0.0016999999999998128,-0.004447950827717534,0.00773758810099295
genvideo,crf23_Local_interaction,ap_real,0.001642038063789264,-0.005501967175771874,0.008752680358248546
genvideo,crf35_Full_drop,auc,0.0018399999999999528,-0.008382933320145728,0.012674207136710122
genvideo,crf35_Full_drop,ap_real,-0.00339128932892796,-0.012228119560901049,0.006053435398694086
genvideo,crf35_Local_interaction,auc,0.0012799999999998368,-0.007545562360307276,0.010086873369255667
genvideo,crf35_Local_interaction,ap_real,-0.00042750299737015496,-0.010312611706990502,0.012948831624722006
videofeedback,clean_Local_increment,auc,0.003690909090909078,-0.030574081285433218,0.03880827838924512
videofeedback,clean_Local_increment,ap_real,-0.010369479537438386,-0.045909621805646846,0.025334741700435738
videofeedback,crf23_Local_increment,auc,0.0021999999999998687,-0.02812590912606009,0.03257063901317166
videofeedback,crf23_Local_increment,ap_real,-0.007248146137061151,-0.04036411540764681,0.023568439500616614
videofeedback,crf35_Local_increment,auc,0.025563636363636344,-0.006459638658159304,0.05936618115452196
videofeedback,crf35_Local_increment,ap_real,0.01109204918221951,-0.024276358085689103,0.04797061835777924
videofeedback,crf23_Full_drop,auc,-0.0038363636363636378,-0.013789755626939288,0.006174385066473646
videofeedback,crf23_Full_drop,ap_real,-0.008938963191298499,-0.020454777066307862,0.003326628823112575
videofeedback,crf23_Local_interaction,auc,-0.0014909090909092093,-0.012345467664990992,0.009654397446412373
videofeedback,crf23_Local_interaction,ap_real,0.0031213334003772353,-0.011456543833901893,0.016033516361680485
videofeedback,crf35_Full_drop,auc,-0.028654545454545377,-0.0427956158129191,-0.014029270910235725
videofeedback,crf35_Full_drop,ap_real,-0.03851413746407506,-0.054713761612893,-0.01986306352712072
videofeedback,crf35_Local_interaction,auc,0.021872727272727266,0.008888909840557261,0.034639197195039544
videofeedback,crf35_Local_interaction,ap_real,0.021461528719657896,0.0055845857702572915,0.03867460771148621
Average,clean_Local_increment,auc,0.0023169696969697804,-0.014011050620622276,0.019130491085416545
Average,clean_Local_increment,ap_real,-0.003833932193636628,-0.0210601429436806,0.013615515681548325
Average,crf23_Local_increment,auc,0.004153333333333305,-0.011330392858798603,0.019804834998835077
Average,crf23_Local_increment,ap_real,-0.0016051370980959174,-0.019013493127358873,0.014835974438947706
Average,crf35_Local_increment,auc,0.012101212121212105,-0.003263637245189913,0.028470724249534226
Average,crf35_Local_increment,ap_real,0.006168870086087019,-0.010613893062928799,0.024606580050301464
Average,crf23_Full_drop,auc,-0.0008254545454545736,-0.00546801892791271,0.004277296282776078
Average,crf23_Full_drop,ap_real,-0.004811614058194302,-0.010520538261782569,0.0011809978301613934
Average,crf23_Local_interaction,auc,0.001836363636363525,-0.003590324621683589,0.007692968093606559
Average,crf23_Local_interaction,ap_real,0.0022287950955407108,-0.004644444904197669,0.008411290808077922
Average,crf35_Full_drop,auc,-0.014204848484848487,-0.02164026249828566,-0.006207893746722355
Average,crf35_Full_drop,ap_real,-0.019617936228316053,-0.028387985434520292,-0.01051489857447369
Average,crf35_Local_interaction,auc,0.009784242424242326,0.0017124009330908158,0.01740926900750779
Average,crf35_Local_interaction,ap_real,0.010002802279723647,0.0009768589894904821,0.020059401522930488
