dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,condition,variant
comgenvid,0.9228000000000001,0.9206572713937321,0.9329577031760298,0.49,0.49,0.52,clean,full
genvideo,0.8926000000000001,0.8963300417232499,0.8862697992597217,0.22400000000000003,0.22400000000000003,0.414,clean,full
videofeedback,0.8067272727272727,0.8186690320400668,0.7688847570360212,0.05090909090909091,0.05090909090909091,0.5890909090909091,clean,full
comgenvid,0.9227000000000001,0.9264252662192258,0.9285342160374509,0.47,0.47,0.36,clean,global_only
genvideo,0.8894399999999999,0.8916943639412278,0.8848250662376891,0.24,0.24,0.43200000000000005,clean,global_only
videofeedback,0.8030363636363635,0.8290385115775055,0.7647293428047834,0.08727272727272728,0.08727272727272728,0.5727272727272728,clean,global_only
comgenvid,0.8846,0.8668484437713964,0.9020476910350637,0.32,0.32,0.6000000000000001,clean,local_raw
genvideo,0.86388,0.8614080094353719,0.85640331078127,0.13,0.13,0.528,clean,local_raw
videofeedback,0.7569818181818182,0.7632259605262306,0.7591656903488992,0.14545454545454548,0.14545454545454548,0.6763636363636364,clean,local_raw
comgenvid,0.6759999999999999,0.7555811259155358,0.608493251067971,0.01,0.01,0.6200000000000001,clean,split
genvideo,0.8180400000000001,0.8520226829959485,0.7951412330969246,0.16999999999999998,0.16999999999999998,0.476,clean,split
videofeedback,0.7384181818181819,0.7866803139129265,0.7060750263526252,0.09818181818181819,0.09818181818181819,0.5672727272727273,clean,split
comgenvid,0.3228,0.4250074018482193,0.39739727601808267,0.0,0.0,0.95,clean,split_raw
genvideo,0.55716,0.6223873668661308,0.5712429875231856,0.018,0.018,0.766,clean,split_raw
videofeedback,0.5503272727272728,0.6129232406206543,0.5824995561040925,0.08545454545454546,0.08545454545454546,0.7818181818181817,clean,split_raw
comgenvid,0.694,0.7707688986840856,0.6391446358239423,0.03,0.03,0.5900000000000001,clean,ttr
