dataset,contrast,metric,delta,ci95_low,ci95_high
comgenvid,new_Full_vs_Global,auc,0.013993048149562703,0.0077607910707255656,0.02076313092171582
comgenvid,new_Full_vs_Global,ap_real,0.009558775411583065,0.004120993390295596,0.01613735726701346
comgenvid,new_source_vs_clip,auc,-0.0001347959583534175,-0.0012110058727286925,0.000797411182981755
comgenvid,new_source_vs_clip,ap_real,-0.0003241450851943217,-0.0015381733269183941,0.0009196898125779166
comgenvid,new_D2_vs_D1,auc,0.004699939484427118,0.0037410743357435853,0.005788932477333522
comgenvid,new_D2_vs_D1,ap_real,0.004375210509388211,0.0033341833183015692,0.005675212586760636
comgenvid,new_full_vs_position_matched,auc,0.0005318053977906578,0.0002665951457377705,0.0008052292863474308
comgenvid,new_full_vs_position_matched,ap_real,0.0005255597829774694,0.0002917910236240245,0.0007930100023213994
comgenvid,original_full_vs_position_matched,auc,4.7122782129038754e-05,-0.00042862113585113716,0.0005016961517106426
comgenvid,original_full_vs_position_matched,ap_real,2.090223392947621e-05,-0.00033031424948424534,0.00037856627584791053
comgenvid,position_matched_vs_pooled,auc,-0.011564922793041665,-0.018091807857922745,-0.005419106957500364
comgenvid,position_matched_vs_pooled,ap_real,-0.012695605555372746,-0.019283802540916536,-0.007166752334355369
comgenvid,matched_raw_vs_pooled_raw,auc,-0.023935893175133005,-0.035392175669999935,-0.013372932327884524
comgenvid,matched_raw_vs_pooled_raw,ap_real,-0.027998748238087345,-0.0406820839355362,-0.01759773513392836
genvideo,new_Full_vs_Global,auc,0.003289787232248542,-0.0029471871939099987,0.009713663310438003
genvideo,new_Full_vs_Global,ap_real,0.0020577039775336314,-0.004077703075243054,0.008308161546804162
genvideo,new_source_vs_clip,auc,-2.7755575615628914e-17,-5.551115123125783e-17,5.551115123125783e-17
genvideo,new_source_vs_clip,ap_real,0.0,-5.551115123125783e-17,5.551115123125783e-17
genvideo,new_D2_vs_D1,auc,0.004434248445513967,0.003065952076954015,0.005693603420982763
genvideo,new_D2_vs_D1,ap_real,0.005754509795025242,0.0044444121992124,0.006948614428888509
genvideo,new_full_vs_position_matched,auc,0.00048288226148418545,0.0002521109235291419,0.0007042232813005825
