dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,original_full
genvideo,0.8819817822756818,0.8709639520946786,0.881437983059014,0.11808347472662983,0.2676156173080018,0.4864377116883126,original_full
videofeedback,0.8246856150463554,0.8386588091373463,0.7953522482724721,0.03806670205438813,0.06255110062260831,0.5464501755324404,original_full
comgenvid,0.8998089047177346,0.9087608146956674,0.8932569341924141,0.055122494432071276,0.2706013363028953,0.3986636971046771,original_global
genvideo,0.8725738938762412,0.862924166359822,0.8660426225912395,0.06907335028491111,0.18405359627647425,0.5186790462433154,original_global
videofeedback,0.8227058908500208,0.8435255078106337,0.7882444991318679,0.052008087036576445,0.0972172025362568,0.5290856247360024,original_global
comgenvid,0.9167011820377875,0.921580600868357,0.9140961072963667,0.08129175946547884,0.3028953229398664,0.35634743875278396,original_matched
genvideo,0.8824586908659295,0.8716475289482217,0.8818367508883774,0.1219864068073773,0.2691654060347119,0.48612691116651874,original_matched
videofeedback,0.8249319246306345,0.8392258177569851,0.7956958889850465,0.04173801375179171,0.060957530094202024,0.5388347881185743,original_matched
comgenvid,0.8962920570830502,0.8971860019541397,0.8990199281711246,0.09576837416481068,0.33129175946547884,0.4537861915367483,original_matched_raw
genvideo,0.8525323688350582,0.841165456601054,0.8576198827609487,0.08509308772591602,0.2688324623967561,0.5788549879439037,original_matched_raw
videofeedback,0.7576233557010287,0.7728361697754487,0.7272314560035303,0.03366305596824017,0.04732669724001433,0.6531991805973458,original_matched_raw
comgenvid,0.8968426495900317,0.8974641837820792,0.8996348552119823,0.10133630289532294,0.31124721603563477,0.455456570155902,original_raw
genvideo,0.85031037203901,0.8387164307513386,0.8553337111303481,0.08289437896054795,0.25999761425426815,0.5864913097875459,original_raw
videofeedback,0.7597460663022889,0.773067785105725,0.7292167160368855,0.03126891334672846,0.04313335392994425,0.6559306960553504,original_raw
comgenvid,0.9256551306789153,0.9296234661430849,0.9230632211249099,0.06458797327394208,0.3257238307349666,0.33908685968819596,s17_d1
genvideo,0.8849965132454415,0.8739589285792875,0.8872632432439882,0.12486026133632547,0.2907346575601785,0.48951106200260097,s17_d1
videofeedback,0.8146577470211898,0.8215222744470254,0.7910604915591661,0.028991428897158097,0.0906244265538373,0.6050271709057057,s17_d1
comgenvid,0.9306656464997694,0.9342596037846793,0.9281716675360265,0.0824053452115813,0.3374164810690423,0.3190423162583519,s17_full
genvideo,0.8888885604205644,0.8792627924514042,0.889137943979297,0.12134217024783563,0.29009574239488706,0.47845938111255826,s17_full
videofeedback,0.8233175622969465,0.8333290142207254,0.7972413290173518,0.03336566120110676,0.09854105183520452,0.5837842410863612,s17_full
comgenvid,0.9163889936061825,0.9244866459251324,0.9078839090601387,0.07906458797327394,0.25278396436525613,0.35356347438752783,s17_global
genvideo,0.8882480082942203,0.8794645233997873,0.8826117941338291,0.10038903230386753,0.2541044127154916,0.4786552193773329,s17_global
videofeedback,0.8126767432264074,0.833060080102172,0.7778653925076449,0.03525181043924948,0.1176349705653283,0.5525156070247893,s17_global
comgenvid,0.9299755457562215,0.9335677062391989,0.9275713491580163,0.0757238307349666,0.33129175946547884,0.3301781737193764,s17_matched
genvideo,0.8879557343737053,0.8782948212602651,0.8880200367264031,0.11853421024607358,0.29025916313406996,0.48455157456197223,s17_matched
videofeedback,0.8218602799814133,0.8322902994736203,0.7958750783256618,0.03544535245655897,0.09317123101688111,0.5812242731415554,s17_matched
comgenvid,0.9309973660844936,0.9344381167977238,0.9289993153892518,0.09131403118040089,0.321826280623608,0.3195991091314031,s17_source
genvideo,0.8888885604205644,0.8792627924514042,0.889137943979297,0.12134217024783563,0.29009574239488706,0.47845938111255826,s17_source
