dataset,variant,auc_mean,auc_sd,ap_mean,ap_sd
Average,global,0.8664186454105473,0.0048064449516442695,0.874678648343649,0.003995182128792062
Average,full,0.8761400323826409,0.004236101654378753,0.8786163051970508,0.003512925923050307
Average,source,0.876095100396523,0.004452870306957918,0.8785082568353193,0.00377572628539829
Average,d1,0.8707922955500169,0.0040893508814631085,0.8720886231089733,0.003482635183168163
Average,matched,0.8760621030040179,0.0039631041579017935,0.8785602921126889,0.003287288565796473
comgenvid,global,0.9152177444556328,0.004239011372473117,0.923423208086421,0.0032897528488671115
comgenvid,full,0.9292107926051953,0.002200062429451488,0.9329819834980041,0.0019082476439437302
comgenvid,source,0.9290759966468419,0.0022620304203122463,0.9326578384128099,0.002158186082490537
comgenvid,d1,0.9245108531207682,0.0024025333631205884,0.9286067729886158,0.0020861436899719883
comgenvid,matched,0.9286789872074047,0.0023469469834382865,0.9324564237150265,0.0020231529857181953
genvideo,global,0.8794990637595251,0.00628882046430005,0.8706879899039116,0.006422505697128038
genvideo,full,0.8827888509917738,0.004537382685376085,0.8727456938814452,0.004478203725102387
genvideo,source,0.8827888509917738,0.004537382685376085,0.8727456938814452,0.004478203725102387
genvideo,d1,0.8783546025462599,0.004606552926290249,0.8669911840864201,0.004533426635218766
genvideo,matched,0.8823059687302897,0.004474876585261311,0.8722388721300007,0.004371893163603087
videofeedback,global,0.8045391280164838,0.012451807549248142,0.8299247470406138,0.009522308342727532
videofeedback,full,0.8164204535509537,0.011919770679392105,0.8301212382117031,0.008878502947746557
videofeedback,source,0.8164204535509537,0.011919770679392105,0.8301212382117031,0.008878502947746557
videofeedback,d1,0.8095114309830229,0.011375594785567364,0.8206679122518837,0.00873286299484038
videofeedback,matched,0.8172013530743595,0.012015392362330325,0.8309855804930393,0.009195682852553526
