family,dataset,generator,config,config_name,n_real,n_fake,auc,ap,delta_auc_vs_base,delta_ap_vs_base,base_config
multiscale,videofeedback,Pika,MS0,Dataset-specific region reference,300,300,0.8657333333333334,0.887264425293447,0.0,0.0,MS0
multiscale,videofeedback,Pika,MS1,Unified region 1,300,300,0.8657444444444444,0.8872704071159219,1.111111111107288e-05,5.981822474909748e-06,MS0
multiscale,videofeedback,Pika,MS2,Unified region 2,300,300,0.8478500000000002,0.8704600307892303,-0.01788333333333314,-0.01680439450421667,MS0
multiscale,videofeedback,Pika,MS3,Unified equal region 1+2,300,300,0.8567055555555556,0.878500431316976,-0.009027777777777746,-0.008763993976470985,MS0
multiscale,videofeedback,Pika,MS4,Unified equal region 1+2+3,300,300,0.8498555555555556,0.8716290012559992,-0.01587777777777777,-0.015635424037447776,MS0
multiscale,videofeedback,SoRA-Clip,MS0,Dataset-specific region reference,300,300,0.80365,0.8040939487876853,0.0,0.0,MS0
multiscale,videofeedback,SoRA-Clip,MS1,Unified region 1,300,300,0.8037000000000001,0.8041580823907067,5.0000000000105516e-05,6.413360302148785e-05,MS0
multiscale,videofeedback,SoRA-Clip,MS2,Unified region 2,300,300,0.7947055555555557,0.7885767707120577,-0.00894444444444431,-0.01551717807562758,MS0
multiscale,videofeedback,SoRA-Clip,MS3,Unified equal region 1+2,300,300,0.8006722222222222,0.7981526551064682,-0.002977777777777746,-0.005941293681217097,MS0
multiscale,videofeedback,SoRA-Clip,MS4,Unified equal region 1+2+3,300,300,0.7986777777777778,0.7956827512291867,-0.004972222222222156,-0.008411197558498507,MS0
multiscale,videofeedback,Text2Video-Zero,MS0,Dataset-specific region reference,300,300,0.7965722222222222,0.7791262279873197,0.0,0.0,MS0
multiscale,videofeedback,Text2Video-Zero,MS1,Unified region 1,300,300,0.7967055555555557,0.7796694849419755,0.00013333333333342967,0.0005432569546558463,MS0
multiscale,videofeedback,Text2Video-Zero,MS2,Unified region 2,300,300,0.7978555555555554,0.7546522184131091,0.001283333333333192,-0.02447400957421053,MS0
multiscale,videofeedback,Text2Video-Zero,MS3,Unified equal region 1+2,300,300,0.8011555555555555,0.7701953669420949,0.004583333333333273,-0.00893086104522478,MS0
multiscale,videofeedback,Text2Video-Zero,MS4,Unified equal region 1+2+3,300,300,0.8027833333333334,0.7605117961491556,0.006211111111111167,-0.018614431838164025,MS0
multiscale,videofeedback,ZeroScope-576w,MS0,Dataset-specific region reference,300,300,0.8065500000000001,0.8329721651308849,0.0,0.0,MS0
multiscale,videofeedback,ZeroScope-576w,MS1,Unified region 1,300,300,0.8065500000000001,0.8329721336596024,0.0,-3.147128246894226e-08,MS0
multiscale,videofeedback,ZeroScope-576w,MS2,Unified region 2,300,300,0.7776777777777778,0.8034072621127422,-0.0288722222222223,-0.02956490301814274,MS0
multiscale,videofeedback,ZeroScope-576w,MS3,Unified equal region 1+2,300,300,0.7942555555555555,0.820731516535312,-0.012294444444444608,-0.012240648595572945,MS0
multiscale,videofeedback,ZeroScope-576w,MS4,Unified equal region 1+2+3,300,300,0.7842222222222224,0.8088482151535875,-0.022327777777777724,-0.024123949977297388,MS0
multiscale,genvideo,Crafter,MS0,Dataset-specific region reference,188,188,0.8240012449071978,0.7901305726336402,0.0,0.0,MS0
multiscale,genvideo,Crafter,MS1,Unified region 1,188,188,0.8215538705296513,0.7945192441569515,-0.0024473743775464962,0.004388671523311349,MS0
multiscale,genvideo,Crafter,MS2,Unified region 2,188,188,0.8240861249434134,0.7903973159661741,8.488003621553997e-05,0.00026674333253395854,MS0
multiscale,genvideo,Crafter,MS3,Unified equal region 1+2,188,188,0.823053417836125,0.7931660636565783,-0.000947827071072882,0.003035491022938097,MS0
multiscale,genvideo,Crafter,MS4,Unified equal region 1+2+3,188,188,0.8218933906745134,0.7901971770461513,-0.0021078542326844474,6.6604412511162e-05,MS0
layer,videofeedback,Pika,H0,Final layer 23,300,300,0.8657333333333334,0.887264425293447,0.0,0.0,H0
layer,videofeedback,Pika,H1,Mid layer 11,300,300,0.9175444444444444,0.9279783012915296,0.05181111111111103,0.04071387599808263,H0
