dataset,scope,comparison,new_config,base_config,metric,delta,ci95_low,ci95_high,bootstrap_iterations
comgenvid,generator_macro,H1-H0,H1,H0,auc,0.005902748498271382,-0.0008517597878980848,0.013090925888264427,1000
comgenvid,generator_macro,H1-H0,H1,H0,ap,-0.007071488872054554,-0.014079552136776653,-3.3864581721067507e-06,1000
comgenvid,generator_macro,H2-H0,H2,H0,auc,0.01814072102816955,0.011492363009112124,0.02444985701955846,1000
comgenvid,generator_macro,H2-H0,H2,H0,ap,0.0066343504275254706,0.000561016938748582,0.01257959668544134,1000
comgenvid,generator_macro,H3-H0,H3,H0,auc,0.011400923110500505,0.00558284836136725,0.016848944511684134,1000
comgenvid,generator_macro,H3-H0,H3,H0,ap,0.003074787363191611,-0.0019053678289963612,0.007572899563448325,1000
comgenvid,generator_macro,H4-H0,H4,H0,auc,0.01829511014330293,0.013791388993606171,0.023013960744242504,1000
comgenvid,generator_macro,H4-H0,H4,H0,ap,0.010792417471616023,0.006688013663630235,0.015126597647834061,1000
comgenvid,generator_macro,H5-H0,H5,H0,auc,0.01685910536158064,0.011074861359814666,0.02284389245341053,1000
comgenvid,generator_macro,H5-H0,H5,H0,ap,0.00671824145757316,0.0015357058396220078,0.012017645136020851,1000
videofeedback,generator_macro,H1-H0,H1,H0,auc,-0.0409788888888889,-0.0474231944444445,-0.034741875,1000
videofeedback,generator_macro,H1-H0,H1,H0,ap,-0.03469871988452468,-0.04027452145515187,-0.029669023905985296,1000
videofeedback,generator_macro,H2-H0,H2,H0,auc,-0.018698333333333317,-0.023725833333333363,-0.01366984722222223,1000
videofeedback,generator_macro,H2-H0,H2,H0,ap,-0.018339476363557605,-0.022636096649006836,-0.013665202361343375,1000
videofeedback,generator_macro,H3-H0,H3,H0,auc,-0.014276666666666637,-0.017551152777777777,-0.011002791666666647,1000
videofeedback,generator_macro,H3-H0,H3,H0,ap,-0.013263166900355516,-0.015820939624930336,-0.010474422238665463,1000
videofeedback,generator_macro,H4-H0,H4,H0,auc,-0.004032222222222215,-0.006777263888888857,-0.0010980555555555355,1000
videofeedback,generator_macro,H4-H0,H4,H0,ap,-0.005285418111825146,-0.007444655533114359,-0.002776488340455908,1000
videofeedback,generator_macro,H5-H0,H5,H0,auc,-0.014139999999999996,-0.01801644444444446,-0.010141291666666661,1000
videofeedback,generator_macro,H5-H0,H5,H0,ap,-0.014241612552919513,-0.017319026846636876,-0.01087126798565463,1000
genvideo,generator_macro,H1-H0,H1,H0,auc,-0.01036818890082522,-0.016125210953545376,-0.00461818087729617,1000
genvideo,generator_macro,H1-H0,H1,H0,ap,-0.013332493374638987,-0.019356280213058658,-0.007184513458909843,1000
genvideo,generator_macro,H2-H0,H2,H0,auc,-0.016047562743219057,-0.02149116632653826,-0.010828642438928948,1000
genvideo,generator_macro,H2-H0,H2,H0,ap,-0.013828784962914023,-0.019231010627546816,-0.008510469296421456,1000
genvideo,generator_macro,H3-H0,H3,H0,auc,-0.0023103021188656814,-0.006155668727756705,0.0015665315508796933,1000
genvideo,generator_macro,H3-H0,H3,H0,ap,-0.0042982676609769205,-0.008152497258660272,-0.0003512142590046782,1000
genvideo,generator_macro,H4-H0,H4,H0,auc,-0.0059697364293769956,-0.009273910985192169,-0.0028245789673219212,1000
genvideo,generator_macro,H4-H0,H4,H0,ap,-0.005016216386747055,-0.008320389927583629,-0.001846167511309547,1000
genvideo,generator_macro,H5-H0,H5,H0,auc,-0.00572807739986074,-0.010364894348220835,-0.0016884581583956253,1000
genvideo,generator_macro,H5-H0,H5,H0,ap,-0.007059461383325194,-0.011258752337143135,-0.0029564062083275054,1000
Macro-3,,H1-H0,H1,H0,auc,-0.015148109763814246,-0.01879363624521616,-0.01142813202349988,1000
Macro-3,,H1-H0,H1,H0,ap,-0.01836756737707274,-0.021989356564038057,-0.01448840984797094,1000
Macro-3,,H2-H0,H2,H0,auc,-0.005535058349460942,-0.00880711772565536,-0.0023033290175367765,1000
Macro-3,,H2-H0,H2,H0,ap,-0.008511303632982052,-0.011525002112328313,-0.0053542712986797605,1000
Macro-3,,H3-H0,H3,H0,auc,-0.0017286818916772712,-0.004442781402284357,0.0008070394561807588,1000
Macro-3,,H3-H0,H3,H0,ap,-0.004828882399380275,-0.0072136833954641755,-0.0026871143226448817,1000
Macro-3,,H4-H0,H4,H0,auc,0.002764383830567906,0.0006111664912471591,0.005050535222799357,1000
Macro-3,,H4-H0,H4,H0,ap,0.0001635943243479404,-0.0017560140966659072,0.002165261231792973,1000
Macro-3,,H5-H0,H5,H0,auc,-0.0010029906794266988,-0.0037723068125455265,0.0017791729790106712,1000
Macro-3,,H5-H0,H5,H0,ap,-0.004860944159557182,-0.007154096036153138,-0.0023562147673250587,1000
