dataset,config,config_name,n_generators,auc,ap
comgenvid,H0,Final layer 23,2,0.8857359338495344,0.8995801839907221
comgenvid,H1,Mid layer 11,2,0.8916386823478057,0.8925086951186676
comgenvid,H2,Late layer 17,2,0.903876654877704,0.9062145344182476
comgenvid,H3,Equal calibrated layer 11+23,2,0.8971368569600349,0.9026549713539138
comgenvid,H4,Equal calibrated layer 17+23,2,0.9040310439928374,0.9103726014623381
comgenvid,H5,Equal calibrated layer 11+17+23,2,0.9025950392111151,0.9062984254482953
genvideo,H0,Final layer 23,8,0.8601294963915669,0.8410272889879644
genvideo,H1,Mid layer 11,8,0.8497613074907417,0.8276947956133254
genvideo,H2,Late layer 17,8,0.8440819336483478,0.8271985040250504
genvideo,H3,Equal calibrated layer 11+23,8,0.8578191942727013,0.8367290213269875
genvideo,H4,Equal calibrated layer 17+23,8,0.85415975996219,0.8360110726012173
genvideo,H5,Equal calibrated layer 11+17+23,8,0.8544014189917062,0.8339678276046392
videofeedback,H0,Final layer 23,10,0.8622572222222222,0.8684111477215204
videofeedback,H1,Mid layer 11,10,0.8212783333333334,0.8337124278369956
videofeedback,H2,Late layer 17,10,0.8435588888888889,0.8500716713579626
videofeedback,H3,Equal calibrated layer 11+23,10,0.8479805555555556,0.8551479808211647
videofeedback,H4,Equal calibrated layer 17+23,10,0.858225,0.8631257296096951
videofeedback,H5,Equal calibrated layer 11+17+23,10,0.8481172222222222,0.8541695351686007
Macro-3,H0,Final layer 23,20,0.8693742174877745,0.8696728735667357
Macro-3,H1,Mid layer 11,20,0.8542261077239602,0.8513053061896629
Macro-3,H2,Late layer 17,20,0.8638391591383136,0.8611615699337536
Macro-3,H3,Equal calibrated layer 11+23,20,0.8676455355960973,0.8648439911673553
Macro-3,H4,Equal calibrated layer 17+23,20,0.8721386013183424,0.8698364678910835
Macro-3,H5,Equal calibrated layer 11+17+23,20,0.8683712268083479,0.8648119294071783
