dataset,generator,config,delta_auc_vs_H0,delta_ap_vs_H0
comgenvid,Sora,H0,0.0,0.0
comgenvid,Sora,H1,0.004540528072777605,-0.014169013189230473
comgenvid,Sora,H2,0.01671060659421353,0.0009139557460705605
comgenvid,Sora,H3,0.010442656534441985,-0.0011720140897316655
comgenvid,Sora,H4,0.017485652352915104,0.00762924692976541
comgenvid,Sora,H5,0.015173535845556474,0.001356327957705572
comgenvid,VEO3,H0,0.0,0.0
comgenvid,VEO3,H1,0.007264968923765158,2.603544512136402e-05
comgenvid,VEO3,H2,0.01957083546212557,0.01235474510898038
comgenvid,VEO3,H3,0.012359189686559025,0.007321588816114888
comgenvid,VEO3,H4,0.019104567933690753,0.013955588013466635
comgenvid,VEO3,H5,0.018544674877604805,0.012080154957440747
genvideo,Crafter,H0,0.0,0.0
genvideo,Crafter,H1,0.009025577184246125,-0.016158383258484288
genvideo,Crafter,H2,-0.0036639882299682736,-0.01994440632162886
genvideo,Crafter,H3,0.008091896785875963,-0.012398889218229625
genvideo,Crafter,H4,0.0012166138524219994,-0.011927398578730597
genvideo,Crafter,H5,0.007030896333182324,-0.01580957084074197
genvideo,Gen2,H0,0.0,0.0
genvideo,Gen2,H1,0.025037544633480402,0.02341664251693576
genvideo,Gen2,H2,0.019309493803822853,0.018819773791952654
genvideo,Gen2,H3,0.01915327662255828,0.017603214159306213
genvideo,Gen2,H4,0.014781821045998789,0.014115391787789866
genvideo,Gen2,H5,0.02008139046418822,0.01885995424421294
genvideo,Lavie,H0,0.0,0.0
genvideo,Lavie,H1,-0.023723214285714334,-0.038972079479914656
genvideo,Lavie,H2,-0.030864795918367438,-0.04074910227353268
genvideo,Lavie,H3,-0.009422704081632705,-0.01713610158805612
genvideo,Lavie,H4,-0.014949234693877655,-0.019503938996676573
genvideo,Lavie,H5,-0.01605433673469392,-0.025548403652926766
genvideo,ModelScope,H0,0.0,0.0
genvideo,ModelScope,H1,0.003614285714285903,0.00620583864165547
genvideo,ModelScope,H2,-0.013668367346938659,-0.009449046628301816
genvideo,ModelScope,H3,0.005817346938775558,0.01013378010346544
genvideo,ModelScope,H4,-0.004731632653061202,0.00029630579556594316
genvideo,ModelScope,H5,0.00156020408163271,0.007103083751874628
genvideo,MorphStudio,H0,0.0,0.0
genvideo,MorphStudio,H1,-0.0436193877551021,-0.0532370744619709
genvideo,MorphStudio,H2,-0.03551428571428572,-0.03563867799320819
genvideo,MorphStudio,H3,-0.024157142857142766,-0.028251047940121787
genvideo,MorphStudio,H4,-0.019941836734693963,-0.01929885126000752
genvideo,MorphStudio,H5,-0.028394897959183596,-0.03162861065304645
genvideo,Show_1,H0,0.0,0.0
genvideo,Show_1,H1,-0.0015397959183671706,-0.009938531374103166
genvideo,Show_1,H2,-0.011860204081632686,-0.014020102001830792
genvideo,Show_1,H3,0.004808163265306198,-0.0002495165249127851
genvideo,Show_1,H4,-0.0036693877551020604,-0.005343332460471029
genvideo,Show_1,H5,0.001518367346938776,-0.00385057790025245
genvideo,Sora,H0,0.0,0.0
genvideo,Sora,H1,-0.026307397959183576,-0.012699058736345581
genvideo,Sora,H2,-0.04974489795918369,-0.03979412829324336
genvideo,Sora,H3,-0.011957908163265252,-0.0001935101061796285
genvideo,Sora,H4,-0.022002551020408156,-0.013630955295060643
genvideo,Sora,H5,-0.025350765306122458,-0.013498080272542623
genvideo,WildScrape,H0,0.0,0.0
genvideo,WildScrape,H1,-0.02543312282024701,-0.005277300844884536
genvideo,WildScrape,H2,-0.002373456499198845,0.030145410016480856
genvideo,WildScrape,H3,-0.010815345461400727,-0.003894070173087072
genvideo,WildScrape,H4,0.0015383165237062846,0.015163047913614114
genvideo,WildScrape,H5,-0.006215477424827975,0.007896514256821141
videofeedback,AnimateDiff,H0,0.0,0.0
videofeedback,AnimateDiff,H1,-0.023305555555555357,-0.03370730495930596
videofeedback,AnimateDiff,H2,-0.0201055555555556,-0.028111745563950796
videofeedback,AnimateDiff,H3,-0.006927777777777644,-0.012586354061054905
videofeedback,AnimateDiff,H4,-0.004261111111110938,-0.00838294572026177
videofeedback,AnimateDiff,H5,-0.01048888888888877,-0.018383534325272843
videofeedback,Fast-SVD,H0,0.0,0.0
videofeedback,Fast-SVD,H1,0.007222222222222241,0.00297859741046258
videofeedback,Fast-SVD,H2,0.01340000000000019,0.011749076972739081
videofeedback,Fast-SVD,H3,0.012766666666666926,0.009544013839983934
videofeedback,Fast-SVD,H4,0.011750000000000038,0.009203767081839564
videofeedback,Fast-SVD,H5,0.01519444444444451,0.011751960913031101
videofeedback,LVDM,H0,0.0,0.0
videofeedback,LVDM,H1,-0.1412888888888889,-0.10488419102603219
videofeedback,LVDM,H2,-0.03591666666666671,-0.035495313598106204
videofeedback,LVDM,H3,-0.05802777777777779,-0.044840405175526454
videofeedback,LVDM,H4,-0.009383333333333299,-0.010835787793367024
videofeedback,LVDM,H5,-0.04756666666666676,-0.0404187018709683
videofeedback,LaVie-base,H0,0.0,0.0
videofeedback,LaVie-base,H1,-0.04578888888888888,-0.04787683257069042
videofeedback,LaVie-base,H2,-0.04417777777777765,-0.043398174621185226
videofeedback,LaVie-base,H3,-0.018966666666666687,-0.021330280756861275
videofeedback,LaVie-base,H4,-0.017627777777777798,-0.01856773146747981
videofeedback,LaVie-base,H5,-0.025416666666666643,-0.028166091701068208
videofeedback,ModelScope,H0,0.0,0.0
videofeedback,ModelScope,H1,-0.05396666666666672,-0.05050273939573491
videofeedback,ModelScope,H2,-0.028661111111111137,-0.0304140565523493
videofeedback,ModelScope,H3,-0.022361111111111054,-0.021697164917680478
videofeedback,ModelScope,H4,-0.00921111111111117,-0.012604500372876637
videofeedback,ModelScope,H5,-0.023433333333333306,-0.024651487554537832
videofeedback,Pika,H0,0.0,0.0
videofeedback,Pika,H1,0.05181111111111103,0.040713875998082516
videofeedback,Pika,H2,0.04362222222222234,0.03373605925927492
videofeedback,Pika,H3,0.031472222222222235,0.023483452069672506
videofeedback,Pika,H4,0.02629999999999988,0.01901316176369816
videofeedback,Pika,H5,0.03731111111111107,0.028175672039522426
videofeedback,SoRA-Clip,H0,0.0,0.0
videofeedback,SoRA-Clip,H1,-0.00377777777777788,-0.01559148687692935
videofeedback,SoRA-Clip,H2,-0.020927777777777656,-0.029884248378388434
videofeedback,SoRA-Clip,H3,0.0007611111111112123,-0.006544830490986642
videofeedback,SoRA-Clip,H4,-0.0063722222222222236,-0.010309471189699382
videofeedback,SoRA-Clip,H5,-0.005099999999999882,-0.013312436909463488
videofeedback,Text2Video-Zero,H0,0.0,0.0
videofeedback,Text2Video-Zero,H1,-0.17394444444444446,-0.11479184684668053
videofeedback,Text2Video-Zero,H2,-0.14227777777777773,-0.09707715813514528
videofeedback,Text2Video-Zero,H3,-0.08697222222222223,-0.05916192231205919
videofeedback,Text2Video-Zero,H4,-0.06523888888888885,-0.044307565823832995
videofeedback,Text2Video-Zero,H5,-0.10797222222222225,-0.07369697248172158
videofeedback,VideoCrafter2,H0,0.0,0.0
videofeedback,VideoCrafter2,H1,0.0072888888888889,0.010494963722447181
videofeedback,VideoCrafter2,H2,0.003933333333333233,0.0057609921864231195
videofeedback,VideoCrafter2,H3,0.00911111111111107,0.00894374628657535
videofeedback,VideoCrafter2,H4,0.006149999999999989,0.005411361632251976
videofeedback,VideoCrafter2,H5,0.009466666666666623,0.009186805288927014
videofeedback,ZeroScope-576w,H0,0.0,0.0
videofeedback,ZeroScope-576w,H1,-0.03403888888888895,-0.03382023430086567
videofeedback,ZeroScope-576w,H2,0.044127777777777544,0.029739804795112068
videofeedback,ZeroScope-576w,H3,-0.0036222222222224154,-0.008441923485618008
videofeedback,ZeroScope-576w,H4,0.02757222222222222,0.01852553077147645
videofeedback,ZeroScope-576w,H5,0.01660555555555543,0.007098661072356571
