dataset,generator,config,config_name,n_real,n_fake,auc,ap
comgenvid,Sora,H0,Final layer 23,898,898,0.8726202995024824,0.8890250135177924
comgenvid,Sora,H1,Mid layer 11,898,898,0.87716082757526,0.8748560003285619
comgenvid,Sora,H2,Late layer 17,898,898,0.889330906096696,0.889938969263863
comgenvid,Sora,H3,Equal calibrated layer 11+23,898,898,0.8830629560369244,0.8878529994280607
comgenvid,Sora,H4,Equal calibrated layer 17+23,898,898,0.8901059518553975,0.8966542604475578
comgenvid,Sora,H5,Equal calibrated layer 11+17+23,898,898,0.8877938353480389,0.890381341475498
comgenvid,VEO3,H0,Final layer 23,898,898,0.8988515681965864,0.9101353544636519
comgenvid,VEO3,H1,Mid layer 11,898,898,0.9061165371203516,0.9101613899087733
comgenvid,VEO3,H2,Late layer 17,898,898,0.918422403658712,0.9224900995726323
comgenvid,VEO3,H3,Equal calibrated layer 11+23,898,898,0.9112107578831454,0.9174569432797668
comgenvid,VEO3,H4,Equal calibrated layer 17+23,898,898,0.9179561361302772,0.9240909424771185
comgenvid,VEO3,H5,Equal calibrated layer 11+17+23,898,898,0.9173962430741912,0.9222155094210926
videofeedback,AnimateDiff,H0,Final layer 23,300,300,0.8751944444444444,0.8867794648362821
videofeedback,AnimateDiff,H1,Mid layer 11,300,300,0.851888888888889,0.8530721598769762
videofeedback,AnimateDiff,H2,Late layer 17,300,300,0.8550888888888888,0.8586677192723313
videofeedback,AnimateDiff,H3,Equal calibrated layer 11+23,300,300,0.8682666666666667,0.8741931107752272
videofeedback,AnimateDiff,H4,Equal calibrated layer 17+23,300,300,0.8709333333333334,0.8783965191160203
videofeedback,AnimateDiff,H5,Equal calibrated layer 11+17+23,300,300,0.8647055555555556,0.8683959305110093
videofeedback,Fast-SVD,H0,Final layer 23,300,300,0.9181166666666666,0.9249638423635024
videofeedback,Fast-SVD,H1,Mid layer 11,300,300,0.9253388888888888,0.927942439773965
videofeedback,Fast-SVD,H2,Late layer 17,300,300,0.9315166666666668,0.9367129193362415
videofeedback,Fast-SVD,H3,Equal calibrated layer 11+23,300,300,0.9308833333333335,0.9345078562034863
videofeedback,Fast-SVD,H4,Equal calibrated layer 17+23,300,300,0.9298666666666666,0.9341676094453419
videofeedback,Fast-SVD,H5,Equal calibrated layer 11+17+23,300,300,0.9333111111111111,0.9367158032765335
videofeedback,LVDM,H0,Final layer 23,300,300,0.9143,0.9253609179682173
videofeedback,LVDM,H1,Mid layer 11,300,300,0.7730111111111111,0.8204767269421851
videofeedback,LVDM,H2,Late layer 17,300,300,0.8783833333333333,0.8898656043701111
videofeedback,LVDM,H3,Equal calibrated layer 11+23,300,300,0.8562722222222222,0.8805205127926908
videofeedback,LVDM,H4,Equal calibrated layer 17+23,300,300,0.9049166666666667,0.9145251301748503
videofeedback,LVDM,H5,Equal calibrated layer 11+17+23,300,300,0.8667333333333332,0.884942216097249
videofeedback,LaVie-base,H0,Final layer 23,300,300,0.8519277777777778,0.8569620010310194
videofeedback,LaVie-base,H1,Mid layer 11,300,300,0.806138888888889,0.809085168460329
videofeedback,LaVie-base,H2,Late layer 17,300,300,0.8077500000000002,0.8135638264098342
videofeedback,LaVie-base,H3,Equal calibrated layer 11+23,300,300,0.8329611111111112,0.8356317202741581
videofeedback,LaVie-base,H4,Equal calibrated layer 17+23,300,300,0.8343,0.8383942695635396
videofeedback,LaVie-base,H5,Equal calibrated layer 11+17+23,300,300,0.8265111111111112,0.8287959093299512
videofeedback,ModelScope,H0,Final layer 23,300,300,0.8430055555555556,0.8402053757893146
videofeedback,ModelScope,H1,Mid layer 11,300,300,0.7890388888888888,0.7897026363935797
videofeedback,ModelScope,H2,Late layer 17,300,300,0.8143444444444444,0.8097913192369653
videofeedback,ModelScope,H3,Equal calibrated layer 11+23,300,300,0.8206444444444445,0.8185082108716342
videofeedback,ModelScope,H4,Equal calibrated layer 17+23,300,300,0.8337944444444444,0.827600875416438
videofeedback,ModelScope,H5,Equal calibrated layer 11+17+23,300,300,0.8195722222222223,0.8155538882347768
videofeedback,Pika,H0,Final layer 23,300,300,0.8657333333333334,0.887264425293447
videofeedback,Pika,H1,Mid layer 11,300,300,0.9175444444444444,0.9279783012915295
videofeedback,Pika,H2,Late layer 17,300,300,0.9093555555555557,0.9210004845527219
videofeedback,Pika,H3,Equal calibrated layer 11+23,300,300,0.8972055555555556,0.9107478773631195
videofeedback,Pika,H4,Equal calibrated layer 17+23,300,300,0.8920333333333332,0.9062775870571451
videofeedback,Pika,H5,Equal calibrated layer 11+17+23,300,300,0.9030444444444444,0.9154400973329694
videofeedback,SoRA-Clip,H0,Final layer 23,300,300,0.80365,0.8040939487876853
videofeedback,SoRA-Clip,H1,Mid layer 11,300,300,0.7998722222222221,0.7885024619107559
videofeedback,SoRA-Clip,H2,Late layer 17,300,300,0.7827222222222223,0.7742097004092968
videofeedback,SoRA-Clip,H3,Equal calibrated layer 11+23,300,300,0.8044111111111112,0.7975491182966986
videofeedback,SoRA-Clip,H4,Equal calibrated layer 17+23,300,300,0.7972777777777778,0.7937844775979859
videofeedback,SoRA-Clip,H5,Equal calibrated layer 11+17+23,300,300,0.7985500000000001,0.7907815118782218
videofeedback,Text2Video-Zero,H0,Final layer 23,300,300,0.7965722222222222,0.7791262279873197
videofeedback,Text2Video-Zero,H1,Mid layer 11,300,300,0.6226277777777778,0.6643343811406391
videofeedback,Text2Video-Zero,H2,Late layer 17,300,300,0.6542944444444445,0.6820490698521744
videofeedback,Text2Video-Zero,H3,Equal calibrated layer 11+23,300,300,0.7096,0.7199643056752605
videofeedback,Text2Video-Zero,H4,Equal calibrated layer 17+23,300,300,0.7313333333333334,0.7348186621634867
videofeedback,Text2Video-Zero,H5,Equal calibrated layer 11+17+23,300,300,0.6886,0.7054292555055981
videofeedback,VideoCrafter2,H0,Final layer 23,300,300,0.9475222222222223,0.9463831080275305
videofeedback,VideoCrafter2,H1,Mid layer 11,300,300,0.9548111111111112,0.9568780717499776
videofeedback,VideoCrafter2,H2,Late layer 17,300,300,0.9514555555555555,0.9521441002139536
videofeedback,VideoCrafter2,H3,Equal calibrated layer 11+23,300,300,0.9566333333333333,0.9553268543141058
videofeedback,VideoCrafter2,H4,Equal calibrated layer 17+23,300,300,0.9536722222222223,0.9517944696597824
videofeedback,VideoCrafter2,H5,Equal calibrated layer 11+17+23,300,300,0.9569888888888889,0.9555699133164575
videofeedback,ZeroScope-576w,H0,Final layer 23,300,300,0.8065500000000001,0.8329721651308849
videofeedback,ZeroScope-576w,H1,Mid layer 11,300,300,0.7725111111111111,0.7991519308300192
videofeedback,ZeroScope-576w,H2,Late layer 17,300,300,0.8506777777777776,0.862711969925997
videofeedback,ZeroScope-576w,H3,Equal calibrated layer 11+23,300,300,0.8029277777777777,0.8245302416452669
videofeedback,ZeroScope-576w,H4,Equal calibrated layer 17+23,300,300,0.8341222222222223,0.8514976959023614
videofeedback,ZeroScope-576w,H5,Equal calibrated layer 11+17+23,300,300,0.8231555555555555,0.8400708262032415
genvideo,Crafter,H0,Final layer 23,188,188,0.8240012449071978,0.7901305726336402
genvideo,Crafter,H1,Mid layer 11,188,188,0.833026822091444,0.7739721893751559
genvideo,Crafter,H2,Late layer 17,188,188,0.8203372566772296,0.7701861663120113
genvideo,Crafter,H3,Equal calibrated layer 11+23,188,188,0.8320931416930738,0.7777316834154105
genvideo,Crafter,H4,Equal calibrated layer 17+23,188,188,0.8252178587596198,0.7782031740549096
genvideo,Crafter,H5,Equal calibrated layer 11+17+23,188,188,0.8310321412403802,0.7743210017928982
genvideo,Gen2,H0,Final layer 23,1380,1380,0.9376953371140516,0.9422742341496206
genvideo,Gen2,H1,Mid layer 11,1380,1380,0.962732881747532,0.9656908766665564
genvideo,Gen2,H2,Late layer 17,1380,1380,0.9570048309178745,0.9610940079415733
genvideo,Gen2,H3,Equal calibrated layer 11+23,1380,1380,0.9568486137366099,0.9598774483089269
genvideo,Gen2,H4,Equal calibrated layer 17+23,1380,1380,0.9524771581600504,0.9563896259374105
genvideo,Gen2,H5,Equal calibrated layer 11+17+23,1380,1380,0.9577767275782398,0.9611341883938336
genvideo,Lavie,H0,Final layer 23,1400,1400,0.8847007653061225,0.8783268387091532
genvideo,Lavie,H1,Mid layer 11,1400,1400,0.8609775510204082,0.8393547592292385
genvideo,Lavie,H2,Late layer 17,1400,1400,0.8538359693877551,0.8375777364356205
genvideo,Lavie,H3,Equal calibrated layer 11+23,1400,1400,0.8752780612244898,0.8611907371210971
genvideo,Lavie,H4,Equal calibrated layer 17+23,1400,1400,0.8697515306122449,0.8588228997124766
genvideo,Lavie,H5,Equal calibrated layer 11+17+23,1400,1400,0.8686464285714286,0.8527784350562264
genvideo,ModelScope,H0,Final layer 23,700,700,0.8540755102040816,0.8515416807925239
genvideo,ModelScope,H1,Mid layer 11,700,700,0.8576897959183675,0.8577475194341794
genvideo,ModelScope,H2,Late layer 17,700,700,0.8404071428571429,0.8420926341642221
genvideo,ModelScope,H3,Equal calibrated layer 11+23,700,700,0.8598928571428571,0.8616754608959893
genvideo,ModelScope,H4,Equal calibrated layer 17+23,700,700,0.8493438775510204,0.8518379865880898
genvideo,ModelScope,H5,Equal calibrated layer 11+17+23,700,700,0.8556357142857143,0.8586447645443985
genvideo,MorphStudio,H0,Final layer 23,700,700,0.8461244897959184,0.8479402738401393
genvideo,MorphStudio,H1,Mid layer 11,700,700,0.8025051020408163,0.7947031993781684
genvideo,MorphStudio,H2,Late layer 17,700,700,0.8106102040816326,0.8123015958469311
genvideo,MorphStudio,H3,Equal calibrated layer 11+23,700,700,0.8219673469387756,0.8196892259000175
genvideo,MorphStudio,H4,Equal calibrated layer 17+23,700,700,0.8261826530612244,0.8286414225801317
genvideo,MorphStudio,H5,Equal calibrated layer 11+17+23,700,700,0.8177295918367348,0.8163116631870928
genvideo,Show_1,H0,Final layer 23,700,700,0.8752867346938775,0.8430001014937374
genvideo,Show_1,H1,Mid layer 11,700,700,0.8737469387755104,0.8330615701196342
genvideo,Show_1,H2,Late layer 17,700,700,0.8634265306122448,0.8289799994919066
genvideo,Show_1,H3,Equal calibrated layer 11+23,700,700,0.8800948979591837,0.8427505849688246
genvideo,Show_1,H4,Equal calibrated layer 17+23,700,700,0.8716173469387755,0.8376567690332664
genvideo,Show_1,H5,Equal calibrated layer 11+17+23,700,700,0.8768051020408163,0.8391495235934849
genvideo,Sora,H0,Final layer 23,56,56,0.8875956632653061,0.8918487796871898
genvideo,Sora,H1,Mid layer 11,56,56,0.8612882653061226,0.8791497209508442
genvideo,Sora,H2,Late layer 17,56,56,0.8378507653061225,0.8520546513939464
genvideo,Sora,H3,Equal calibrated layer 11+23,56,56,0.8756377551020409,0.8916552695810102
genvideo,Sora,H4,Equal calibrated layer 17+23,56,56,0.865593112244898,0.8782178243921291
genvideo,Sora,H5,Equal calibrated layer 11+17+23,56,56,0.8622448979591837,0.8783506994146472
genvideo,WildScrape,H0,Final layer 23,515,515,0.7715562258459798,0.6831558305977109
genvideo,WildScrape,H1,Mid layer 11,515,515,0.7461231030257328,0.6778785297528264
genvideo,WildScrape,H2,Late layer 17,515,515,0.769182769346781,0.7133012406141918
genvideo,WildScrape,H3,Equal calibrated layer 11+23,515,515,0.7607408803845791,0.6792617604246238
genvideo,WildScrape,H4,Equal calibrated layer 17+23,515,515,0.7730945423696861,0.698318878511325
genvideo,WildScrape,H5,Equal calibrated layer 11+17+23,515,515,0.7653407484211519,0.691052344854532
