fake_motion_group,dataset,config,config_name,n_generators,auc,ap
low,comgenvid,H0,Final layer 23,2,0.9049149061760606,0.9160446458493238
low,comgenvid,H1,Mid layer 11,2,0.9329551316709739,0.9390060990818909
low,comgenvid,H2,Late layer 17,2,0.9362664371704504,0.9425565199333296
low,comgenvid,H3,Equal calibrated layer 11+23,2,0.9309753547849464,0.9371420516595117
low,comgenvid,H4,Equal calibrated layer 17+23,2,0.930504747000263,0.9372192401472463
low,comgenvid,H5,Equal calibrated layer 11+17+23,2,0.9354027261769535,0.9411475735067307
low,genvideo,H0,Final layer 23,8,0.9127380646655433,0.9190067389575618
low,genvideo,H1,Mid layer 11,8,0.9337289380779874,0.9382425422637565
low,genvideo,H2,Late layer 17,8,0.9234735960962571,0.9312153250344948
low,genvideo,H3,Equal calibrated layer 11+23,8,0.9302361558327543,0.9352998669444235
low,genvideo,H4,Equal calibrated layer 17+23,8,0.9227055111416362,0.9305296100741443
low,genvideo,H5,Equal calibrated layer 11+17+23,8,0.9302780798092019,0.936719279226267
low,videofeedback,H0,Final layer 23,10,0.9283248682227285,0.9379782238589118
low,videofeedback,H1,Mid layer 11,10,0.9499053926955433,0.9589774383142344
low,videofeedback,H2,Late layer 17,10,0.9521881921912566,0.9585182864651871
low,videofeedback,H3,Equal calibrated layer 11+23,10,0.9468997341556264,0.9537465486697382
low,videofeedback,H4,Equal calibrated layer 17+23,10,0.9456175957465071,0.9514677874401432
low,videofeedback,H5,Equal calibrated layer 11+17+23,10,0.9510347772365254,0.956826744001711
low,Macro-3,H0,Final layer 23,20,0.9153259463547775,0.9243432028885992
low,Macro-3,H1,Mid layer 11,20,0.9388631541481681,0.9454086932199606
low,Macro-3,H2,Late layer 17,20,0.9373094084859881,0.9440967104776705
low,Macro-3,H3,Equal calibrated layer 11+23,20,0.9360370815911091,0.9420628224245577
low,Macro-3,H4,Equal calibrated layer 17+23,20,0.9329426179628021,0.9397388792205112
low,Macro-3,H5,Equal calibrated layer 11+17+23,20,0.9389051944075603,0.9448978655782362
mid,comgenvid,H0,Final layer 23,2,0.8630710390167035,0.8817741783767119
mid,comgenvid,H1,Mid layer 11,2,0.8461770288334739,0.8647508933914614
mid,comgenvid,H2,Late layer 17,2,0.8637170366093558,0.8784552396818956
mid,comgenvid,H3,Equal calibrated layer 11+23,2,0.8599912065013162,0.8792526944889985
mid,comgenvid,H4,Equal calibrated layer 17+23,2,0.8723259766450111,0.8890814648555041
mid,comgenvid,H5,Equal calibrated layer 11+17+23,2,0.8657598426530599,0.8834254033921105
mid,genvideo,H0,Final layer 23,8,0.8514986284128915,0.8494399710908597
mid,genvideo,H1,Mid layer 11,8,0.8322089601309537,0.8449530487407101
mid,genvideo,H2,Late layer 17,8,0.8245461457847427,0.8374947541748432
mid,genvideo,H3,Equal calibrated layer 11+23,8,0.845287477676505,0.8530732370191705
mid,genvideo,H4,Equal calibrated layer 17+23,8,0.8401694114759859,0.8485086808343327
mid,genvideo,H5,Equal calibrated layer 11+17+23,8,0.840720567152036,0.8504492103108985
mid,videofeedback,H0,Final layer 23,10,0.8622899893698242,0.8897664104950319
mid,videofeedback,H1,Mid layer 11,10,0.848027034189173,0.8851219754006123
mid,videofeedback,H2,Late layer 17,10,0.869946503464036,0.8968848653802557
mid,videofeedback,H3,Equal calibrated layer 11+23,10,0.8640872238994943,0.893677403488032
mid,videofeedback,H4,Equal calibrated layer 17+23,10,0.8722665647433393,0.8967190171346748
mid,videofeedback,H5,Equal calibrated layer 11+17+23,10,0.8683155015983806,0.8970493439403162
mid,Macro-3,H0,Final layer 23,20,0.8589532189331397,0.8736601866542012
mid,Macro-3,H1,Mid layer 11,20,0.8421376743845336,0.8649419725109279
mid,Macro-3,H2,Late layer 17,20,0.8527365619527115,0.8709449530789982
mid,Macro-3,H3,Equal calibrated layer 11+23,20,0.8564553026924385,0.8753344449987336
mid,Macro-3,H4,Equal calibrated layer 17+23,20,0.8615873176214454,0.8781030542748373
mid,Macro-3,H5,Equal calibrated layer 11+17+23,20,0.8582653038011588,0.8769746525477751
high,comgenvid,H0,Final layer 23,2,0.7793969921089414,0.7944726066942498
high,comgenvid,H1,Mid layer 11,2,0.5777005172305052,0.5948777710754899
high,comgenvid,H2,Late layer 17,2,0.6298189717341061,0.6414918025219329
high,comgenvid,H3,Equal calibrated layer 11+23,2,0.6361172276313767,0.6656588087682417
high,comgenvid,H4,Equal calibrated layer 17+23,2,0.6760577553812359,0.7000655044162656
high,comgenvid,H5,Equal calibrated layer 11+17+23,2,0.6369025025223112,0.6550029505367609
high,genvideo,H0,Final layer 23,7,0.7264000378990183,0.7030490409087659
high,genvideo,H1,Mid layer 11,7,0.6261748286970519,0.6338357044372523
high,genvideo,H2,Late layer 17,7,0.6395674224677982,0.6412125036408771
high,genvideo,H3,Equal calibrated layer 11+23,7,0.6635265697903299,0.6564271557225325
high,genvideo,H4,Equal calibrated layer 17+23,7,0.6721458892509047,0.6603094703669768
high,genvideo,H5,Equal calibrated layer 11+17+23,7,0.6533139013721245,0.6466651521162972
high,videofeedback,H0,Final layer 23,10,0.6678344369326678,0.7569019667218425
high,videofeedback,H1,Mid layer 11,10,0.5742989696888342,0.6907773138726101
high,videofeedback,H2,Late layer 17,10,0.6089586793632435,0.7138313125980318
high,videofeedback,H3,Equal calibrated layer 11+23,10,0.6236064210627219,0.7250046847247905
high,videofeedback,H4,Equal calibrated layer 17+23,10,0.6413338625993211,0.737045922728176
high,videofeedback,H5,Equal calibrated layer 11+17+23,10,0.6169138346380049,0.7193802395065257
high,Macro-3,H0,Final layer 23,19,0.7245438223135424,0.751474538108286
high,Macro-3,H1,Mid layer 11,19,0.5927247718721304,0.6398302631284508
high,Macro-3,H2,Late layer 17,19,0.6261150245217159,0.6655118729202806
