dataset,scope,comparison,new_config,base_config,metric,delta,ci95_low,ci95_high,bootstrap_iterations
comgenvid,generator_macro,MS1-MS0,MS1,MS0,auc,0.001791595775814614,-8.93317741480895e-05,0.003659029779118055,1000
comgenvid,generator_macro,MS1-MS0,MS1,MS0,ap,0.001593139080760364,-0.00029801178251721155,0.0033635090163245114,1000
comgenvid,generator_macro,MS2-MS0,MS2,MS0,auc,0.003389430111953917,0.002077122633320434,0.004716657221442329,1000
comgenvid,generator_macro,MS2-MS0,MS2,MS0,ap,0.0025517176946381337,0.001522344612337384,0.00354051348915787,1000
comgenvid,generator_macro,MS3-MS0,MS3,MS0,auc,0.0030232984955432807,0.0014361520404164315,0.0046168468286368605,1000
comgenvid,generator_macro,MS3-MS0,MS3,MS0,ap,0.0027581306685021123,0.0014698176383899323,0.004115164671038036,1000
comgenvid,generator_macro,MS4-MS0,MS4,MS0,auc,0.0023180068551247324,0.0009591733795962732,0.003709058982842242,1000
comgenvid,generator_macro,MS4-MS0,MS4,MS0,ap,0.002288069649101554,0.0011886440799363477,0.0034409283743931166,1000
videofeedback,generator_macro,MS1-MS0,MS1,MS0,auc,3.833333333336242e-05,1.388888888889106e-05,7.000000000001505e-05,1000
videofeedback,generator_macro,MS1-MS0,MS1,MS0,ap,8.5427030849472e-05,1.3835603673247599e-05,0.00020916279876190293,1000
videofeedback,generator_macro,MS2-MS0,MS2,MS0,auc,-0.010248333333333304,-0.012510097222222242,-0.007804736111111115,1000
videofeedback,generator_macro,MS2-MS0,MS2,MS0,ap,-0.012317881819933785,-0.014761833596260524,-0.009409864513801497,1000
videofeedback,generator_macro,MS3-MS0,MS3,MS0,auc,-0.0036172222222222604,-0.004863944444444413,-0.0023420277777777367,1000
videofeedback,generator_macro,MS3-MS0,MS3,MS0,ap,-0.004650457199870772,-0.006181408154127427,-0.0029801667863326308,1000
videofeedback,generator_macro,MS4-MS0,MS4,MS0,auc,-0.006493888888888832,-0.008448902777777748,-0.004638277777777788,1000
videofeedback,generator_macro,MS4-MS0,MS4,MS0,ap,-0.008464520794799235,-0.01059038875476759,-0.005928446361247251,1000
genvideo,generator_macro,MS1-MS0,MS1,MS0,auc,-0.003829051005874412,-0.006007094821508195,-0.001986500027277942,1000
genvideo,generator_macro,MS1-MS0,MS1,MS0,ap,-0.0020670081730822104,-0.0059465682961344505,0.0012036709599390642,1000
genvideo,generator_macro,MS2-MS0,MS2,MS0,auc,1.9605898643734743e-05,-8.171954552221514e-06,5.316264427057994e-05,1000
genvideo,generator_macro,MS2-MS0,MS2,MS0,ap,5.154522939836148e-05,6.584077320815479e-06,0.0001588551625053158,1000
genvideo,generator_macro,MS3-MS0,MS3,MS0,auc,-0.002001037616270948,-0.0034972075190080904,-0.0006733930770753459,1000
genvideo,generator_macro,MS3-MS0,MS3,MS0,ap,-0.0010475283721303325,-0.0033273927947373117,0.0008957188569307175,1000
genvideo,generator_macro,MS4-MS0,MS4,MS0,auc,-0.0018037220790505515,-0.0028241014397897323,-0.0009075885008895307,1000
genvideo,generator_macro,MS4-MS0,MS4,MS0,ap,-0.0011458714292243571,-0.0023968856436193354,3.589570601635664e-05,1000
Macro-3,,MS1-MS0,MS1,MS0,auc,-0.0006663739655754786,-0.0016800382583487595,0.00031010076652090236,1000
Macro-3,,MS1-MS0,MS1,MS0,ap,-0.00012948068715745815,-0.0016209859041944044,0.001194812032510213,1000
Macro-3,,MS2-MS0,MS2,MS0,auc,-0.0022797657742452174,-0.003188238206687809,-0.0013878508342974054,1000
Macro-3,,MS2-MS0,MS2,MS0,ap,-0.00323820629863243,-0.00413892915945836,-0.002148001257590144,1000
Macro-3,,MS3-MS0,MS3,MS0,auc,-0.0008649871143166426,-0.0016749333380512664,4.473784151748348e-05,1000
Macro-3,,MS3-MS0,MS3,MS0,ap,-0.0009799516344996641,-0.0019278307528457707,8.119479992197933e-05,1000
Macro-3,,MS4-MS0,MS4,MS0,auc,-0.001993201370938217,-0.002806267680238842,-0.0011566443685107782,1000
Macro-3,,MS4-MS0,MS4,MS0,ap,-0.002440774191640679,-0.0033814753807438645,-0.0014601668732104342,1000
