dataset,config,config_name,n_generators,auc,ap
comgenvid,MS0,Dataset-specific region reference,2,0.8857359338495344,0.8995801839907221
comgenvid,MS1,Unified region 1,2,0.8875275296253491,0.9011733230714825
comgenvid,MS2,Unified region 2,2,0.8891253639614883,0.9021319016853603
comgenvid,MS3,Unified equal region 1+2,2,0.8887592323450777,0.9023383146592243
comgenvid,MS4,Unified equal region 1+2+3,2,0.8880539407046592,0.9018682536398237
genvideo,MS0,Dataset-specific region reference,8,0.8601294963915669,0.8410272889879644
genvideo,MS1,Unified region 1,8,0.8563004453856925,0.8389602808148822
genvideo,MS2,Unified region 2,8,0.8601491022902107,0.8410788342173627
genvideo,MS3,Unified equal region 1+2,8,0.858128458775296,0.8399797606158341
genvideo,MS4,Unified equal region 1+2+3,8,0.8583257743125163,0.83988141755874
videofeedback,MS0,Dataset-specific region reference,10,0.8622572222222222,0.8684111477215204
videofeedback,MS1,Unified region 1,10,0.8622955555555556,0.8684965747523699
videofeedback,MS2,Unified region 2,10,0.8520088888888889,0.8560932659015865
videofeedback,MS3,Unified equal region 1+2,10,0.85864,0.8637606905216495
videofeedback,MS4,Unified equal region 1+2+3,10,0.8557633333333333,0.8599466269267211
Macro-3,MS0,Dataset-specific region reference,20,0.8693742174877745,0.8696728735667357
Macro-3,MS1,Unified region 1,20,0.868707843522199,0.8695433928795783
Macro-3,MS2,Unified region 2,20,0.8670944517135294,0.8664346672681033
Macro-3,MS3,Unified equal region 1+2,20,0.868509230373458,0.868692921932236
Macro-3,MS4,Unified equal region 1+2+3,20,0.8673810161168363,0.8672320993750949
