dataset,generator,config,delta_auc_vs_MS0,delta_ap_vs_MS0
comgenvid,Sora,MS0,0.0,0.0
comgenvid,Sora,MS1,0.0009139339586610173,0.0006011058391535151
comgenvid,Sora,MS2,0.004172846364849603,0.002964995890957889
comgenvid,Sora,MS3,0.002836667476848076,0.002337176085547288
comgenvid,Sora,MS4,0.0021397463306234155,0.001915800015934277
comgenvid,VEO3,MS0,0.0,0.0
comgenvid,VEO3,MS1,0.0026692575929682105,0.002585172322367213
comgenvid,VEO3,MS2,0.0026060138590582316,0.0021384394983183785
comgenvid,VEO3,MS3,0.0032099295142384854,0.0031790852514569368
comgenvid,VEO3,MS4,0.0024962673796260493,0.002660339282268831
genvideo,Crafter,MS0,0.0,0.0
genvideo,Crafter,MS1,-0.0024473743775464962,0.004388671523311349
genvideo,Crafter,MS2,8.488003621553997e-05,0.00026674333253395854
genvideo,Crafter,MS3,-0.000947827071072882,0.003035491022938097
genvideo,Crafter,MS4,-0.0021078542326844474,6.6604412511162e-05
genvideo,Gen2,MS0,0.0,0.0
genvideo,Gen2,MS1,0.002450378071833903,0.0031788080640543503
genvideo,Gen2,MS2,-7.088846880831667e-06,-8.31784899790744e-06
genvideo,Gen2,MS3,0.001960197437513189,0.00239493550626646
genvideo,Gen2,MS4,0.0015359168241965149,0.0018319785854027382
genvideo,Lavie,MS0,0.0,0.0
genvideo,Lavie,MS1,-0.017832653061224613,-0.019258476498720922
genvideo,Lavie,MS2,3.77551020407374e-05,3.7965024762054433e-05
genvideo,Lavie,MS3,-0.00976147959183693,-0.010564869430605306
genvideo,Lavie,MS4,-0.0069984693877550574,-0.007175616754586334
genvideo,ModelScope,MS0,0.0,0.0
genvideo,ModelScope,MS1,-0.0013142857142857123,0.002418590411512045
genvideo,ModelScope,MS2,-7.142857142761194e-06,-2.4096586055399882e-06
genvideo,ModelScope,MS3,-0.0003897959183671862,0.001908840705701187
genvideo,ModelScope,MS4,-0.001588775510203977,-0.00022544005433522418
genvideo,MorphStudio,MS0,0.0,0.0
