dataset,generator,config,config_name,n_real,n_fake,auc,ap
comgenvid,Sora,MS0,Dataset-specific region reference,898,898,0.8726202995024824,0.8890250135177924
comgenvid,Sora,MS1,Unified region 1,898,898,0.8735342334611435,0.8896261193569459
comgenvid,Sora,MS2,Unified region 2,898,898,0.876793145867332,0.8919900094087503
comgenvid,Sora,MS3,Unified equal region 1+2,898,898,0.8754569669793305,0.8913621896033397
comgenvid,Sora,MS4,Unified equal region 1+2+3,898,898,0.8747600458331058,0.8909408135337267
comgenvid,VEO3,MS0,Dataset-specific region reference,898,898,0.8988515681965864,0.9101353544636519
comgenvid,VEO3,MS1,Unified region 1,898,898,0.9015208257895546,0.9127205267860191
comgenvid,VEO3,MS2,Unified region 2,898,898,0.9014575820556446,0.9122737939619703
comgenvid,VEO3,MS3,Unified equal region 1+2,898,898,0.9020614977108249,0.9133144397151088
comgenvid,VEO3,MS4,Unified equal region 1+2+3,898,898,0.9013478355762125,0.9127956937459207
videofeedback,AnimateDiff,MS0,Dataset-specific region reference,300,300,0.8751944444444444,0.8867794648362821
videofeedback,AnimateDiff,MS1,Unified region 1,300,300,0.8753500000000001,0.8869530521752352
videofeedback,AnimateDiff,MS2,Unified region 2,300,300,0.8621,0.8754488588587379
videofeedback,AnimateDiff,MS3,Unified equal region 1+2,300,300,0.8697277777777778,0.8819057719468442
videofeedback,AnimateDiff,MS4,Unified equal region 1+2+3,300,300,0.8686777777777778,0.8830536746971994
videofeedback,Fast-SVD,MS0,Dataset-specific region reference,300,300,0.9181166666666666,0.9249638423635024
videofeedback,Fast-SVD,MS1,Unified region 1,300,300,0.9181055555555555,0.924936752692345
videofeedback,Fast-SVD,MS2,Unified region 2,300,300,0.906538888888889,0.9117778136720396
videofeedback,Fast-SVD,MS3,Unified equal region 1+2,300,300,0.9127611111111111,0.9189927673968457
videofeedback,Fast-SVD,MS4,Unified equal region 1+2+3,300,300,0.9087833333333333,0.9142085792610752
videofeedback,LVDM,MS0,Dataset-specific region reference,300,300,0.9143,0.9253609179682173
videofeedback,LVDM,MS1,Unified region 1,300,300,0.9143,0.9253609136968487
videofeedback,LVDM,MS2,Unified region 2,300,300,0.8966444444444445,0.909991838682899
videofeedback,LVDM,MS3,Unified equal region 1+2,300,300,0.9069833333333334,0.9195590498147601
videofeedback,LVDM,MS4,Unified equal region 1+2+3,300,300,0.9029666666666667,0.9170672004795255
videofeedback,LaVie-base,MS0,Dataset-specific region reference,300,300,0.8519277777777778,0.8569620010310194
videofeedback,LaVie-base,MS1,Unified region 1,300,300,0.8519166666666668,0.8569374192951866
videofeedback,LaVie-base,MS2,Unified region 2,300,300,0.8495277777777779,0.8558671753925762
videofeedback,LaVie-base,MS3,Unified equal region 1+2,300,300,0.852811111111111,0.8583405214589358
videofeedback,LaVie-base,MS4,Unified equal region 1+2+3,300,300,0.8517611111111113,0.8580449144067295
videofeedback,ModelScope,MS0,Dataset-specific region reference,300,300,0.8430055555555556,0.8402053757893146
videofeedback,ModelScope,MS1,Unified region 1,300,300,0.8430388888888888,0.8402292342704585
videofeedback,ModelScope,MS2,Unified region 2,300,300,0.8396722222222223,0.842166729326759
videofeedback,ModelScope,MS3,Unified equal region 1+2,300,300,0.8429277777777777,0.8435346389400293
videofeedback,ModelScope,MS4,Unified equal region 1+2+3,300,300,0.8405444444444445,0.8402959424743615
videofeedback,Pika,MS0,Dataset-specific region reference,300,300,0.8657333333333334,0.887264425293447
videofeedback,Pika,MS1,Unified region 1,300,300,0.8657444444444444,0.8872704071159219
videofeedback,Pika,MS2,Unified region 2,300,300,0.8478500000000002,0.8704600307892303
videofeedback,Pika,MS3,Unified equal region 1+2,300,300,0.8567055555555556,0.878500431316976
videofeedback,Pika,MS4,Unified equal region 1+2+3,300,300,0.8498555555555556,0.8716290012559992
videofeedback,SoRA-Clip,MS0,Dataset-specific region reference,300,300,0.80365,0.8040939487876853
videofeedback,SoRA-Clip,MS1,Unified region 1,300,300,0.8037000000000001,0.8041580823907067
